,,,,"Single-Family Unit (3-BR, 2,000 sf, on 10,000 sq. ft. lot at density of 4 UPA and value of $200,000)",,,,,,,,,,,,,,,,,"Multi-Family Unit (2 bedroom, 1,000 sq. ft. unit, density of 12 UPA; $100,000 value; 7-2"" meters (2 for irrigation) for 240 unit complex)",,,,,,,,,,,,,,,,,"Retail per 1,000 sq. ft. (100,001 sq. ft. shopping center; 0.15 FAR; 3"" meter)",,,,,,,,,,,,,,,,,"Office per 1,000 sq. ft. (100,001 sq. ft. general office building; 0.25 FAR; 3"" meter)",,,,,,,,,,,,,,,,,"Industrial per 1,000 sq. ft. (100,001 sq. ft. building; 0.15 FAR; 3"" meter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,,,,,,,,,,,,,,,
AZ,Maricopa,Buckeye,10/6/10,,"$7,412","$3,648",$319,"$2,302","$1,462",,"$1,446",$252,$964,$417,$250,,,AZ,Maricopa,Buckeye,,"$3,179","$2,679",$166,$347,$153,,"$1,092",$190,$728,$315,$188,,,AZ,Maricopa,Buckeye,,"$4,741","$4,354","$1,314",$240,$148,,,,$731,"$2,126",$183,,,AZ,Maricopa,Buckeye,,"$2,902","$2,515",$445,$240,$148,,,,"$1,080",$720,$270,,,AZ,Maricopa,Buckeye,,"$1,840","$1,453",$232,$240,$148,,,,$676,$376,$169,,,,,,,,,,,,,,,,,
AZ,Maricopa,Chandler,10/6/10,,"$22,059","$10,453","$3,983","$6,167","$5,439",,"$5,057",$251,$577,$268,$317,,,AZ,Maricopa,Chandler,,"$12,263","$7,417","$2,446","$2,356","$2,490",,"$3,873",$192,$442,$221,$243,,,AZ,Maricopa,Chandler,,"$10,731","$8,880","$7,390",$981,$870,,,,$720,$370,$400,,,AZ,Maricopa,Chandler,,"$8,871","$7,020","$5,880",$981,$870,,,,$550,$280,$310,,,AZ,Maricopa,Chandler,,"$3,881","$2,030","$1,660",$981,$870,,,,$180,$90,$100,,,,,,,,,,,,,,,,,
AZ,Maricopa,Fountain Hills,10/6/10,,"$5,114","$5,114","$1,291",,,,"$2,192",$163,$99,$441,$928,,,AZ,Maricopa,Fountain Hills,,"$4,588","$4,588",$765,,,,"$2,192",$163,$99,$441,$928,,,AZ,Maricopa,Fountain Hills,,"$3,000","$3,000","$2,081",,,,,,$62,$276,$581,,,AZ,Maricopa,Fountain Hills,,"$2,200","$2,200","$1,281",,,,,,$62,$276,$581,,,AZ,Maricopa,Fountain Hills,,$981,$981,$62,,,,,,$62,$276,$581,,,,,,,,,,,,,,,,,
AZ,Maricopa,Gilbert,10/6/10,,"$19,684","$7,421",$423,"$6,397","$5,866",,"$4,547",,"$1,100",$643,$708,,,AZ,Maricopa,Gilbert,,"$12,854","$6,560",$297,"$2,767","$3,527",,"$3,911",,"$1,100",$643,$609,,,AZ,Maricopa,Gilbert,,"$4,863","$2,900","$1,593","$1,024",$939,,,,$586,$343,$378,,,AZ,Maricopa,Gilbert,,"$3,840","$1,877",$570,"$1,024",$939,,,,$586,$343,$378,,,AZ,Maricopa,Gilbert,,"$3,675","$1,712",$405,"$1,024",$939,,,,$586,$343,$378,,,,,,,,,,,,,,,,,
AZ,Maricopa,Glendale,10/6/10,,"$14,780","$5,790","$1,160","$6,660","$2,330",,"$2,072",$606,$409,$395,$847,,$301,AZ,Maricopa,Glendale,,"$5,185","$3,898",$591,"$1,030",$257,,"$1,555",$455,$307,$297,$635,,$58,AZ,Maricopa,Glendale,,"$6,754","$5,765","$4,131",$733,$256,,,,$303,$578,$682,,$71,AZ,Maricopa,Glendale,,"$5,025","$4,036","$2,173",$733,$256,,,,$447,$304,"$1,007",,$105,AZ,Maricopa,Glendale,,"$3,364","$2,375","$1,228",$733,$256,,,,$280,$171,$630,,$66,,,,,,,,,,,,,,,
AZ,Maricopa,Goodyear,10/7/10,,"$15,198","$5,901","$1,060","$5,567","$3,730",,"$1,032",$410,"$1,415",$606,"$1,021",,$357,AZ,Maricopa,Goodyear,,"$6,505","$5,274",$648,$830,$401,,$986,$392,"$1,352",$579,$976,,$341,AZ,Maricopa,Goodyear,,"$6,078","$5,000","$2,620",$643,$435,,,,$690,$620,$780,,$290,AZ,Maricopa,Goodyear,,"$4,558","$3,480",$800,$643,$435,,,,"$1,040",$180,"$1,020",,$440,AZ,Maricopa,Goodyear,,"$3,398","$2,320",$480,$643,$435,,,,$720,$110,$700,,$310,,,,,,,,,,,,,,,
AZ,Maricopa,Mesa,10/7/10,,"$8,451","$3,572",,"$2,220","$2,659",$366,"$1,122",$464,$272,$402,$598,,$348,AZ,Maricopa,Mesa,,"$5,291","$2,510",,"$1,265","$1,516",$195,$802,$332,$230,$388,$377,,$186,AZ,Maricopa,Mesa,,"$1,878","$1,097",,$355,$425,$238,,,$215,$318,$326,,,AZ,Maricopa,Mesa,,"$1,878","$1,097",,$355,$425,$238,,,$215,$318,$326,,,AZ,Maricopa,Mesa,,"$1,878","$1,097",,$355,$425,$238,,,$215,$318,$326,,,,,,,,,,,,,,,,,
AZ,Maricopa,Peoria,10/7/10,,"$18,874","$13,061","$8,160","$3,890","$1,923",,"$2,622",$277,$683,$452,$567,,$300,AZ,Maricopa,Peoria,,"$9,864","$9,099","$5,730",$571,$194,,"$1,802",$190,$470,$311,$390,,$206,AZ,Maricopa,Peoria,,"$20,696","$20,122","$18,490",$390,$184,,,,$654,$434,$544,,,AZ,Maricopa,Peoria,,"$8,511","$7,937","$6,305",$390,$184,,,,$654,$434,$544,,,AZ,Maricopa,Peoria,,"$5,871","$5,297","$3,665",$390,$184,,,,$654,$434,$544,,,,,,,,,,,,,,,,,
AZ,Maricopa,Phoenix,10/7/10,,"$14,066","$5,778",$650,"$5,110","$3,178",,"$4,018",$370,$322,$344,$74,, ,AZ,Maricopa,Phoenix,,"$6,163","$2,951",$449,"$2,438",$774,,"$1,876",$169,$270,$153,$34,,,AZ,Maricopa,Phoenix,,"$2,535","$1,349",$993,$857,$329,,,,$96,$189,$71,,,AZ,Maricopa,Phoenix,,"$2,247","$1,061",$682,$857,$329,,,,$119,$198,$62,,,AZ,Maricopa,Phoenix,,"$2,008",$822,$416,$857,$329,,,,$165,$216,$25,,,,,,,,,,,,,,,,,
AZ,Maricopa,Scottsdale,10/7/10,,"$11,227",$906,,"$6,450","$3,871",$906,,,,,,,,AZ,Maricopa,Scottsdale,,"$5,667",$302,,"$2,754","$2,611",$302,,,,,,,,AZ,Maricopa,Scottsdale,,"$2,206",$555,,"$1,032",$619,$555,,,,,,,,AZ,Maricopa,Scottsdale,,"$1,984",$333,,"$1,032",$619,$333,,,,,,,,AZ,Maricopa,Scottsdale,,"$2,206",$555,,"$1,032",$619,$555,,,,,,,,,,,,,,,,,,,,,,
