,,,,"Single-Family Unit (3-BR, 2,000 sf, on 10,000 sq. ft. lot at density of 4 UPA and value of $200,000)",,,,,,,,,,,,,,,,,"Multi-Family Unit (2 bedroom, 1,000 sq. ft. unit, density of 12 UPA; $100,000 value; 7-2"" meters (2 for irrigation) for 240 unit complex)",,,,,,,,,,,,,,,,,"Retail per 1,000 sq. ft. (100,001 sq. ft. shopping center; 0.15 FAR; 3"" meter)",,,,,,,,,,,,,,,,,"Office per 1,000 sq. ft. (100,001 sq. ft. general office building; 0.25 FAR; 3"" meter)",,,,,,,,,,,,,,,,,"Industrial per 1,000 sq. ft. (100,001 sq. ft. building; 0.15 FAR; 3"" meter)",,,,,,,,,,,,,,,,,,,,,,,,,,
State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,,,,,,,,,,,,,
AZ,Maricopa,Chandler,7/28/12,,"$20,009","$8,403","$3,983","$6,167","$5,439",,"$3,740",$75,$344,$164,$97,,,AZ,Maricopa,Chandler,,"$10,677","$5,831","$2,446","$2,356","$2,490",,"$2,865",$58,$263,$125,$74,,,AZ,Maricopa,Chandler,,"$9,991","$8,140","$7,390",$981,$870,,,,$430,$200,$120,,,AZ,Maricopa,Chandler,,"$8,311","$6,460","$5,880",$981,$870,,,,$330,$160,$90,,,AZ,Maricopa,Chandler,,"$3,701","$1,850","$1,660",$981,$870,,,,$110,$50,$30,,,,,,,,,,,,,,,
AZ,Maricopa,Fountain Hills,7/28/12,,"$8,298","$8,298","$5,614",,,,"$2,118",$79,$207,$112,$168,,,AZ,Maricopa,Fountain Hills,,"$6,626","$6,626","$3,942",,,,"$2,118",$79,$207,$112,$168,,,AZ,Maricopa,Fountain Hills,,"$4,139","$4,139","$3,835",,,,,,$129,$70,$105,,,AZ,Maricopa,Fountain Hills,,"$4,072","$4,072","$3,835",,,,,,$62,$70,$105,,,AZ,Maricopa,Fountain Hills,,"$1,472","$1,472","$1,235",,,,,,$62,$70,$105,,,,,,,,,,,,,,,
AZ,Maricopa,Gilbert,7/28/12,,"$18,532","$6,269",$423,"$6,397","$5,866",,"$4,030",,$821,$612,$383,,,AZ,Maricopa,Gilbert,,"$11,818","$5,524",$297,"$2,767","$3,527",,"$3,465",,$821,$612,$329,,,AZ,Maricopa,Gilbert,,"$4,525","$2,562","$1,593","$1,024",$939,,,,$438,$327,$204,,,AZ,Maricopa,Gilbert,,"$3,502","$1,539",$570,"$1,024",$939,,,,$438,$327,$204,,,AZ,Maricopa,Gilbert,,"$3,337","$1,374",$405,"$1,024",$939,,,,$438,$327,$204,,,,,,,,,,,,,,,
AZ,Maricopa,Glendale,7/28/12,,"$6,186","$2,286",$694,"$3,420",$480,,$625,$398,$317,$252,,,,AZ,Maricopa,Glendale,,"$2,245","$1,663",$408,$529,$53,,$492,$314,$250,$199,,,,AZ,Maricopa,Glendale,,"$3,089","$2,660","$2,156",$376,$53,,,,$200,$304,,,,AZ,Maricopa,Glendale,,"$3,050","$1,034","$2,173",$376,$53,,,,$302,$146,,,,AZ,Maricopa,Glendale,,"$1,476","$1,047",$735,$376,$53,,,,$208,$104,,,,,,,,,,,,,,,,
AZ,Maricopa,Goodyear,7/28/12,,"$12,434","$3,452",$941,"$4,789","$4,193",,$939,$138,"$1,057",$377,,,,AZ,Maricopa,Goodyear,,"$4,175","$2,977",$575,$737,$461,,$898,$132,"$1,011",$361,,,,AZ,Maricopa,Goodyear,,"$4,235","$3,150","$2,240",$583,$502,,,,$510,$400,,,,AZ,Maricopa,Goodyear,,"$2,655","$1,570",$680,$583,$502,,,,$770,$120,,,,AZ,Maricopa,Goodyear,,"$2,095","$1,010",$410,$583,$502,,,,$530,$70,,,,,,,,,,,,,,,,
AZ,Maricopa,Mesa,7/28/12,,"$7,505","$2,626",,"$2,220","$2,659",$366,"$1,122",$464,$272,$402,,,,AZ,Maricopa,Mesa,,"$4,728","$1,947",,"$1,265","$1,516",$195,$802,$332,$230,$388,,,,AZ,Maricopa,Mesa,,"$1,552",$771,,$355,$425,$238,,,$215,$318,,,,AZ,Maricopa,Mesa,,"$1,552",$771,,$355,$425,$238,,,$215,$318,,,,AZ,Maricopa,Mesa,,"$1,878","$1,097",,$355,$425,$238,,,$215,$318,$326,,,,,,,,,,,,,,,
AZ,Maricopa,Peoria,7/28/12,,"$17,470","$11,657","$8,160","$3,890","$1,923",,"$2,212",$209,$624,$452,,,,AZ,Maricopa,Peoria,,"$8,899","$8,134","$5,730",$571,$194,,"$1,520",$144,$429,$311,,,,AZ,Maricopa,Peoria,,"$20,100","$19,526","$18,490",$390,$184,,,,$602,$434,,,,AZ,Maricopa,Peoria,,"$7,915","$7,341","$6,305",$390,$184,,,,$602,$434,,,,AZ,Maricopa,Peoria,,"$5,275","$4,701","$3,665",$390,$184,,,,$602,$434,,,,,,,,,,,,,,,,
AZ,Maricopa,Phoenix,7/28/12,,"$11,729","$3,441","$1,273","$5,110","$3,178",,"$1,613",$53,$325,$177,,, ,AZ,Maricopa,Phoenix,,"$5,098","$1,886",$879,"$2,438",$774,,$581,$41,$250,$135,,,,AZ,Maricopa,Phoenix,,"$3,410","$2,404","$1,948",$767,$239,,$148,$29,$181,$98,,,,AZ,Maricopa,Phoenix,,"$3,008","$2,002","$1,337",$767,$239,,$313,$33,$207,$112,,,,AZ,Maricopa,Phoenix,,"$2,204","$1,198",$814,$767,$239,,$110,$26,$161,$87,,,,,,,,,,,,,,,,
AZ,Maricopa,Scottsdale,7/28/12,,"$10,321",$0,,"$6,450","$3,871",,,,,,,,,AZ,Maricopa,Scottsdale,,"$5,365",,,"$2,754","$2,611",,,,,,,,,AZ,Maricopa,Scottsdale,,"$1,350",,,$708,$642,,,,,,,,,AZ,Maricopa,Scottsdale,,"$1,350",,,$708,$642,,,,,,,,,AZ,Maricopa,Scottsdale,,"$1,350",,,$708,$642,,,,,,,,,,,,,,,,,,,,,
AZ,Maricopa,Surprise ,7/28/12,,"$15,873","$8,143","$5,396","$4,691","$3,039",,$785,$133,$688,$371,$661,,$109,AZ,Maricopa,Surprise ,,"$6,869","$5,815","$3,789",$722,$332,,$580,$98,$508,$274,$489,,$77,AZ,Maricopa,Surprise ,,"$12,323","$11,501","$9,570",$500,$322,,,,$604,$428,$493,,$406,AZ,Maricopa,Surprise ,,"$5,863","$5,041","$3,128",$500,$322,,,,$911,$126,$745,,$131,AZ,Maricopa,Surprise ,,"$4,039","$3,217","$1,918",$500,$322,,,,$628,$77,$513,,$81,,,,,,,,,,,,,
