State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,,,,,,,,,,,,,
CA,Orange,Brea,4/2/19,,"$20,172","$12,876","$1,974","$3,068","$4,228",,"$9,818",,"$1,029",$55,,,,CA,Orange,Brea,,"$11,138","$7,835","$1,453",$343,"$2,960",,"$5,611",,$731,$40,,,,CA,Orange,Brea,,"$5,153","$2,596","$2,350",$491,"$2,066",,,,$191,$55,,,,CA,Orange,Brea,,"$5,251","$2,694","$2,350",$491,"$2,066",,,,$267,$77,,,,CA,Orange,Brea,,"$3,985","$1,428","$1,250",$491,"$2,066",,,,$138,$40,,,,,,,,,,,,,,,,
CA,Placer,Rocklin,4/3/19,,"$14,177","$14,177","$6,450",,,,$711,,,,"$7,016",,,CA,Placer,Rocklin,,"$9,149","$9,149","$4,391",,,,$569,,,,"$4,189",,,CA,Placer,Rocklin,,"$10,961","$10,961","$9,501",,,,,,,,"$1,460",,,CA,Placer,Rocklin,,"$11,782","$11,782","$9,752",,,,,,,,"$2,030",,,CA,Placer,Rocklin,,"$7,420","$7,420","$6,400",,,,,,,,"$1,020",,,,,,,,,,,,,,,
CA,Sacramento,Citrus Heights,4/3/19,,"$19,449","$12,590","$2,699",,"$6,859",,"$1,079",,"$1,232",,,"$7,580",,CA,Sacramento,Citrus Heights,,"$12,462","$7,615","$2,198",,"$4,847",,$665,,$962,,,"$3,790",,CA,Sacramento,Citrus Heights,,"$9,655","$8,558","$6,348",,"$1,097",,$180,,$650,,,$610,$770,CA,Sacramento,Citrus Heights,,"$9,284","$8,187","$5,159",,"$1,097",,$370,,"$1,078",,,$610,$970,CA,Sacramento,Citrus Heights,,"$7,081","$5,984","$4,440",,"$1,097",,$90,,$584,,,$610,$260,,,,,,,,,,,,,
CA,Sacramento,Elk Grove,4/3/19,,"$42,623","$28,988","$12,204","$6,776","$6,859",,"$6,746","$1,281","$2,084","$1,124","$1,056",,"$4,493",CA,Sacramento,Elk Grove,,"$28,754","$19,672","$8,582","$4,235","$4,847",,"$4,500",$934,"$1,372",$819,$770,,"$2,695",CA,Sacramento,Elk Grove,,"$17,644","$16,276","$12,038",$271,"$1,097",$248,"$1,070",,"$1,770",$210,$200,,$740,CA,Sacramento,Elk Grove,,"$16,815","$15,447","$11,249",$271,"$1,097",$248,"$1,540",,"$1,770",$330,$310,,,CA,Sacramento,Elk Grove,,"$10,988","$9,620","$7,310",$271,"$1,097",,$530,,$580,$190,$170,,$840,,,,,,,,,,,,,
CA,Sacramento,Sacramento,4/4/19,,"$31,657","$25,353","$5,091","$1,710","$4,594","$4,120","$3,337",,,,$385,"$6,720","$5,700",CA,Sacramento,Sacramento,,"$14,858","$13,275","$2,963",$51,"$1,531","$1,180","$2,607",,,,$315,"$3,360","$2,850",CA,Sacramento,Sacramento,,"$12,997","$9,838","$5,828",$347,"$2,812","$1,570",$100,,,,,$540,"$1,800",CA,Sacramento,Sacramento,,"$12,069","$10,035","$5,575",$347,"$1,687","$1,570",$100,,,,,$540,"$2,250",CA,Sacramento,Sacramento,,"$8,957","$5,799","$3,689",$347,"$2,812",,$160,,,,,$540,"$1,410",,,,,,,,,,,,,
CA,San Bernardino,Highland,4/3/19,,"$26,262","$26,262","$16,454",,,$983,"$4,211","$1,037",$903,$254,"$2,420",,,CA,San Bernardino,Highland,,"$19,520","$19,520","$10,986",,,$421,"$4,051",$996,$293,$402,"$2,371",,,CA,San Bernardino,Highland,,"$9,512","$9,512","$8,655",,,$217,,,$219,$157,$264,,,CA,San Bernardino,Highland,,"$16,301","$16,301","$15,454",,,$217,,,$219,$147,$264,,,CA,San Bernardino,Highland,,"$11,346","$11,346","$10,750",,,$259,,,$65,$8,$264,,,,,,,,,,,,,,,
CA,San Bernardino,Redlands,4/3/19,,"$7,730","$7,730","$1,512",,,$700,"$3,960",$265,$577,$30,$686,,,CA,San Bernardino,Redlands,,"$6,442","$6,442","$1,048",,,$343,"$3,625",$242,$528,$28,$628,,,CA,San Bernardino,Redlands,,"$4,090","$4,090","$3,438",,,$170,,$110,$166,$9,$197,,,CA,San Bernardino,Redlands,,"$3,935","$3,935","$2,008",,,$170,,$150,$717,$37,$853,,,CA,San Bernardino,Redlands,,"$1,882","$1,882","$1,271",,,$150,,$50,$183,$10,$218,,,,,,,,,,,,,,,
CA,San Bernardino,Rialto,4/3/19,,"$22,368","$16,458","$3,586","$3,107","$2,803","$3,932","$4,084",$360,"$1,052","$1,430","$2,014",,,CA,San Bernardino,Rialto,,"$14,262","$11,811","$2,483",$69,"$2,382","$1,333","$3,416",$339,$993,"$1,349","$1,898",,,CA,San Bernardino,Rialto,,"$12,154","$11,052","$8,230",$332,$770,"$1,998",$140,,$276,$170,$238,,,CA,San Bernardino,Rialto,,"$9,478","$7,772","$4,950",$332,"$1,374","$1,998",$140,,$276,$170,$238,,,CA,San Bernardino,Rialto,,"$3,403","$2,623",$300,$332,$448,"$1,998",$120,,$84,$51,$70,,,,,,,,,,,,,,,
CA,San Diego,Carlsbad,4/3/19,,"$43,023","$29,629","$3,730","$9,693","$3,701",$877,"$6,689",,,,"$7,000","$7,580","$3,753",CA,San Diego,Carlsbad,,"$19,344","$18,989","$2,799",$232,$123,$292,"$5,413",,,,"$3,500","$3,790","$3,194",CA,San Diego,Carlsbad,,"$12,700","$11,124","$5,965",$984,$592,$537,,,,,"$3,500",$610,$513,CA,San Diego,Carlsbad,,"$7,855","$6,279","$1,539",$984,$592,$322,,,,,"$3,500",$610,$308,CA,San Diego,Carlsbad,,"$7,519","$5,943",$784,$984,$592,$537,,,,,"$3,500",$610,$513,,,,,,,,,,,,,
CA,San Diego,Escondido,4/4/19,,"$35,888","$18,599","$6,383","$9,789","$7,500","$1,092","$6,500",,,,"$4,624",,,CA,San Diego,Escondido,,"$21,531","$15,694","$4,433",$212,"$5,625",$437,"$6,200",,,,"$4,624",,,CA,San Diego,Escondido,,"$14,389","$12,180","$9,000",$929,"$1,280",$710,,,,,"$2,170",,$300,CA,San Diego,Escondido,,"$10,639","$8,430","$5,250",$929,"$1,280",$710,,,,,"$2,170",,$300,CA,San Diego,Escondido,,"$6,249","$4,900","$2,250",$929,$420,$710,,,,,"$1,640",,$300,,,,,,,,,,,,,
CA,San Diego,San Diego,4/4/19,,"$62,344","$49,760","$6,117","$8,460","$4,124",,"$3,475","$1,013",$131,,"$2,892","$7,580","$28,552",CA,San Diego,San Diego,,"$38,322","$33,994","$5,539",$204,"$4,124",,"$3,475","$1,013",$131,,"$2,314","$3,790","$17,732",CA,San Diego,San Diego,,"$21,213","$19,575","$17,554",$979,$660,,,,$131,,,$610,"$1,280",CA,San Diego,San Diego,,"$10,029","$8,390","$4,529",$979,$660,,,,$131,,"$1,410",,"$2,320",CA,San Diego,San Diego,,"$6,156","$4,517","$2,306",$979,$660,,,,$131,,$800,,"$1,280",,,,,,,,,,,,,
CA,San Joaquin,Lodi,4/4/19,,"$6,344","$4,346",$289,$846,"$1,152","$1,725","$1,584",,$157,$307,$251,,$33,CA,San Joaquin,Lodi,,"$2,873","$2,654",$157,$28,$191,$862,"$1,111",,$110,$215,$176,,$23,CA,San Joaquin,Lodi,,"$10,119","$9,386","$1,199",$310,$423,"$6,808",$406,,$338,$330,$270,,$35,CA,San Joaquin,Lodi,,"$7,951","$7,218",$872,$310,$423,"$4,085",$650,,$540,$582,$433,,$56,CA,San Joaquin,Lodi,,"$8,720","$7,987",$443,$310,$423,"$6,808",$217,,$180,$176,$144,,$19,,,,,,,,,,,,,
CA,San Joaquin,Ripon,4/4/19,,"$60,118","$45,657","$7,277","$10,223","$4,238","$2,708","$14,552",$484,,$555,"$2,731","$7,580","$9,770",CA,San Joaquin,Ripon,,"$34,810","$25,346","$3,526","$6,816","$2,648",$618,"$9,095",$302,,$348,"$1,706","$3,790","$5,960",CA,San Joaquin,Ripon,,"$26,729","$18,529","$12,357","$3,133","$5,067","$2,600","$1,333",,,$200,"$1,000",$560,$478,CA,San Joaquin,Ripon,,"$15,685","$10,765","$6,438","$1,880","$3,040","$1,560",$800,,,$120,"$1,000",$560,$287,CA,San Joaquin,Ripon,,"$21,887","$11,687","$6,581","$3,133","$7,067","$3,133",$533,,,$67,$333,$560,$478,,,,,,,,,,,,,
CA,San Luis Obispo,Paso Robles,4/4/19,,"$54,190","$27,031","$13,043","$19,066","$8,093",,"$3,195","$1,054","$1,128",$83,"$3,268","$5,260",,CA,San Luis Obispo,Paso Robles,,"$20,964","$20,361","$8,989",$423,$180,,"$3,195","$1,054","$1,128",$97,"$3,268","$2,630",,CA,San Luis Obispo,Paso Robles,,"$16,221","$13,510","$11,790","$1,907",$804,,,,$410,$120,"$1,190",,,CA,San Luis Obispo,Paso Robles,,"$16,221","$13,510","$11,790","$1,907",$804,,,,$410,$120,"$1,190",,,CA,San Luis Obispo,Paso Robles,,"$6,921","$4,210","$3,310","$1,907",$804,,,,$220,$30,$650,,,,,,,,,,,,,,,
CA,San Luis Obispo,San Luis Obispo,4/4/19,,"$49,689","$27,096","$9,828","$11,872","$10,721",,"$6,031",,$569,$668,,,"$10,000",CA,San Luis Obispo,San Luis Obispo,,"$35,249","$17,174","$6,940","$9,498","$8,577",,"$4,343",,$410,$481,,,"$5,000",CA,San Luis Obispo,San Luis Obispo,,"$26,617","$24,200","$13,750","$1,270","$1,147",,,,,$240,$210,,"$10,000",CA,San Luis Obispo,San Luis Obispo,,"$22,707","$20,290","$9,470","$1,270","$1,147",,,,$380,$440,,,"$10,000",CA,San Luis Obispo,San Luis Obispo,,"$18,567","$16,150","$5,820","$1,270","$1,147",,,,$150,$180,,,"$10,000",,,,,,,,,,,,,
CA,Santa Barbara,Carpinteria,4/4/19,,"$41,032","$41,032","$9,795",,,"$4,546","$17,849",,,,"$1,382","$6,960",$500,CA,Santa Barbara,Carpinteria,,"$25,538","$25,538","$6,034",,,"$1,136","$13,354",,,,"$1,034","$3,480",$500,CA,Santa Barbara,Carpinteria,,"$18,625","$18,625","$13,390",,,$960,"$3,290",,,,$380,$560,$45,CA,Santa Barbara,Carpinteria,,"$18,625","$18,625","$13,390",,,$960,"$3,290",,,,$380,$560,$45,CA,Santa Barbara,Carpinteria,,"$13,925","$13,925","$10,850",,,$680,"$1,600",,,,$190,$560,$45,,,,,,,,,,,,,
CA,Santa Barbara,Santa Maria,4/3/19,,"$23,975","$18,180","$10,120","$1,735","$4,060",,"$5,280",$560,"$1,080",$740,$400,,,CA,Santa Barbara,Santa Maria,,"$14,245","$10,530","$5,110",$77,"$3,638",,"$4,030",$280,$540,$370,$200,,,CA,Santa Barbara,Santa Maria,,"$11,691","$9,979","$9,289",$278,"$1,434",,$20,$100,$80,$290,$200,,,CA,Santa Barbara,Santa Maria,,"$7,457","$5,745","$5,055",$278,"$1,434",,$20,$100,$80,$290,$200,,,CA,Santa Barbara,Santa Maria,,"$6,535","$4,823","$4,133",$278,"$1,434",,$20,$100,$80,$290,$200,,,,,,,,,,,,,,,
CA,Santa Clara,Gilroy,4/3/19,,"$48,983","$32,188","$11,561","$4,294","$12,501",$129,,,,,"$20,498",,,CA,Santa Clara,Gilroy,,"$35,193","$26,692","$9,372","$1,737","$6,764",$74,,,,,"$17,246",,,CA,Santa Clara,Gilroy,,"$27,282","$22,639","$19,316",$687,"$3,956",$234,,,,,"$3,089",,,CA,Santa Clara,Gilroy,,"$27,188","$22,545","$19,316",$687,"$3,956",$140,,,,,"$3,089",,,CA,Santa Clara,Gilroy,,"$10,556","$5,913","$4,372",$687,"$3,956",$173,,,,,"$1,368",,,,,,,,,,,,,,,
CA,Santa Clara,Palo Alto,4/3/19,,"$81,152","$70,902","$3,473","$5,000","$5,250",,"$15,529","$1,117",,"$1,072","$1,351","$6,960","$41,400",CA,Santa Clara,Palo Alto,,"$39,732","$39,095","$2,132",$234,$402,,"$10,177",$668,,$858,"$1,080","$3,480","$20,700",CA,Santa Clara,Palo Alto,,"$43,375","$41,735","$12,827",$800,$840,,"$5,633",$282,,$599,$754,$560,"$21,080",CA,Santa Clara,Palo Alto,,"$50,812","$49,172","$5,124",$800,$840,,"$5,633",$282,,$599,$754,$560,"$36,220",CA,Santa Clara,Palo Alto,,"$32,982","$31,342","$3,336",$800,$840,,"$5,633",$282,,$200,$251,$560,"$21,080",,,,,,,,,,,,,
CA,Santa Cruz,Santa Cruz Co,4/4/19,,"$8,080","$8,080","$3,000",,,"$5,080",,,,,,,,CA,Santa Cruz,Santa Cruz Co,,"$4,640","$4,640","$2,100",,,"$2,540",,,,,,,,CA,Santa Cruz,Santa Cruz Co,,"$28,304","$28,304","$25,764",,,"$2,540",,,,,,,,CA,Santa Cruz,Santa Cruz Co,,"$9,146","$9,146","$6,606",,,"$2,540",,,,,,,,CA,Santa Cruz,Santa Cruz Co,,"$6,722","$6,722","$4,182",,,"$2,540",,,,,,,,,,,,,,,,,,,,
CA,Santa Cruz,Scotts Valley,11/16/15,,"$23,808","$17,671","$5,454",,"$6,137",$350,"$9,685",$811,,$957,$414,,,CA,Santa Cruz,Scotts Valley,,"$14,767","$10,327","$3,236",,"$4,440",$175,"$4,841",$704,,$957,$414,,,CA,Santa Cruz,Scotts Valley,,"$15,526","$15,526","$10,840",,$982,$175,,,,"$3,362",$167,,,CA,Santa Cruz,Scotts Valley,,"$14,182","$14,182","$10,840",,$982,$175,,,,"$2,017",$167,,,CA,Santa Cruz,Scotts Valley,,"$11,141","$11,141","$6,460",,$982,$175,,,,"$3,362",$161,,,,,,,,,,,,,,,
CA,Shasta,Redding,4/3/19,,"$27,256","$17,856","$5,782","$4,300","$5,100",,"$4,205",,$909,,,"$6,960",,CA,Shasta,Redding,,"$8,981","$7,988","$3,930",$143,$850,,"$3,278",,$780,,,,,CA,Shasta,Redding,,"$15,148","$15,148","$13,016",$688,$816,,,,$628,,,,,CA,Shasta,Redding,,"$12,556","$12,556","$10,123",$688,$816,,,,$929,,,,,CA,Shasta,Redding,,"$7,210","$7,210","$5,204",$688,$816,,,,$502,,,,,,,,,,,,,,,,,
CA,Solano,Vacaville,4/3/19,,"$54,358","$35,129","$10,211","$8,925","$10,304","$2,379","$4,914",,$356,$796,$791,"$6,720","$8,962",CA,Solano,Vacaville,,"$31,873","$23,132","$6,331",$498,"$8,243","$2,031","$3,378",,$122,$695,$489,"$3,360","$6,726",CA,Solano,Vacaville,,"$14,538","$14,538","$5,521","$2,071","$1,649","$1,754",,,$219,"$1,483",$443,$540,$859,CA,Solano,Vacaville,,"$12,862","$12,862","$4,192","$2,071","$2,320","$1,052",,,$132,$784,$341,$540,"$1,430",CA,Solano,Vacaville,,"$9,482","$9,482","$3,067","$2,071",$770,"$1,754",,,$219,$221,$238,$540,$601,,,,,,,,,,,,,
CA,Sonoma,Windsor,4/2/19,,"$51,320","$37,743","$12,861","$3,964","$9,613","$3,707","$11,626",,"$1,105",$101,"$1,383","$6,960",,CA,Sonoma,Windsor,,"$35,971","$26,450","$7,893","$2,022","$7,499","$3,707","$9,300",,$884,$80,"$1,106","$3,480",,CA,Sonoma,Windsor,,"$16,463","$16,463","$10,739",$396,$577,"$2,995",,,$250,$23,$922,$560,,CA,Sonoma,Windsor,,"$13,494","$13,494","$8,192",$396,$577,"$1,797",,,$413,$38,"$1,521",$560,,CA,Sonoma,Windsor,,"$10,664","$10,664","$5,299",$396,$577,"$2,995",,,$175,$16,$645,$560,,,,,,,,,,,,,,
CA,Yolo,Davis,4/3/19,,"$24,906","$24,906","$8,093",,,$305,$285,"$1,257",,$774,"$4,290","$6,000","$3,902",CA,Yolo,Davis,,"$15,794","$15,794","$4,942",,,$85,$211,$932,,$574,"$3,180","$3,000","$2,870",CA,Yolo,Davis,,"$23,895","$23,895","$20,239",,,$118,$856,,,"$1,078",$500,$470,$634,CA,Yolo,Davis,,"$9,102","$9,102","$5,192",,,$118,$856,,,"$1,078",$666,$470,$722,CA,Yolo,Davis,,"$2,307","$2,307",$480,,,$118,$223,,,$280,$334,$470,$402,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,Adams,Adams Co,2/24/19,,"$1,599","$1,599","$1,599",,,,,,,,,,,CO,Adams,Adams Co,,$983,$983,$983,,,,,,,,,,,CO,Adams,Adams Co,,"$4,264","$4,264","$4,264",,,,,,,,,,,CO,Adams,Adams Co,,"$2,357","$2,357","$2,357",,,,,,,,,,,CO,Adams,Adams Co,,"$1,552","$1,552","$1,552",,,,,,,,,,,,,,,,,,,,,,,
CO,Adams,Commerce City,2/6/19,,"$7,624","$5,723","$1,181","$1,901",,$521,"$3,402",,,,,$619,,CO,Adams,Commerce City,,"$2,172","$2,172",$726,,,$174,"$1,134",,,,,$138,,CO,Adams,Commerce City,,"$4,808","$4,808","$3,229",,,$319,"$1,260",,,,,,,CO,Adams,Commerce City,,"$2,688","$2,688","$1,741",,,$191,$756,,,,,,,CO,Adams,Commerce City,,"$2,725","$2,725","$1,146",,,$319,"$1,260",,,,,,,,,,,,,,,,,,,
CO,Boulder,Boulder,2/6/19,,"$33,870","$12,708","$3,954","$16,896","$4,266",,"$5,749",$920,$418,$468,$739,,$460,CO,Boulder,Boulder,,"$22,437","$8,915","$2,860","$10,271","$3,251",,"$4,039",$646,$293,$328,$519,,$230,CO,Boulder,Boulder,,"$16,356","$12,970","$3,030","$2,703",$683,,,,$640,$740,$400,,"$8,160",CO,Boulder,Boulder,,"$20,116","$16,730","$2,700","$2,703",$683,,,,$910,$300,$580,,"$12,240",CO,Boulder,Boulder,,"$14,276","$10,890","$2,620","$2,703",$683,,,,$590,$170,$370,,"$7,140",,,,,,,,,,,,,
CO,Eagle,Eagle Co,2/6/19,,"$6,878","$6,878","$4,378",,,,,,"$2,500",,,,,CO,Eagle,Eagle Co,,"$4,121","$4,121","$3,034",,,,,,"$1,087",,,,,CO,Eagle,Eagle Co,,"$27,950","$27,950","$9,026",,,,,,"$18,924",,,,,CO,Eagle,Eagle Co,,"$24,088","$24,088","$5,164",,,,,,"$18,924",,,,,CO,Eagle,Eagle Co,,"$22,114","$22,114","$3,190",,,,,,"$18,924",,,,,,,,,,,,,,,,,
CO,Eagle,Basalt,2/6/19,,$0,$0,,,,,,,,,,,,CO,Eagle,Basalt,,$0,$0,,,,,,,,,,,$0,CO,Eagle,Basalt,,$0,$0,,,,,,,,,,,$0,CO,Eagle,Basalt,,$0,$0,$0,,,,,,,,,,$0,CO,Eagle,Basalt,,$0,$0,$0,,,,,,,,,,$0,,,,,,,,,,,,,
CO,El Paso,Colorado Springs,2/6/19,,"$17,323","$5,258",,"$10,197","$1,868","$1,945","$1,781",,,,,"$1,532",,CO,El Paso,Colorado Springs,,"$8,788","$2,280",,"$5,295","$1,213",$648,"$1,264",,,,,$368,,CO,El Paso,Colorado Springs,,"$3,659","$1,191",,"$2,044",$424,"$1,191",,,,,,,,CO,El Paso,Colorado Springs,,"$3,182",$714,,"$2,044",$424,$714,,,,,,,,CO,El Paso,Colorado Springs,,"$3,659","$1,191",,"$2,044",$424,"$1,191",,,,,,,,,,,,,,,,,,,,
CO,Fremont,Canon City,2/6/19,,$304,$304,,,,,,,$304,,,,,CO,Fremont,Canon City,,$304,$304,,,,,,,$304,,,,,CO,Fremont,Canon City,,$152,$152,,,,,,,$152,,,,,CO,Fremont,Canon City,,$152,$152,,,,,,,$152,,,,,CO,Fremont,Canon City,,$152,$152,,,,,,,$152,,,,,,,,,,,,,,,,,
CO,Jefferson,Jefferson Co,2/6/19,,"$3,285","$3,285","$3,285",,,,,,,,,,,CO,Jefferson,Jefferson Co,,"$2,733","$2,733","$2,733",,,,,,,,,,,CO,Jefferson,Jefferson Co,,"$7,140","$7,140","$7,140",,,,,,,,,,,CO,Jefferson,Jefferson Co,,"$4,780","$4,780","$4,780",,,,,,,,,,,CO,Jefferson,Jefferson Co,,"$2,070","$2,070","$2,070",,,,,,,,,,,,,,,,,,,,,,,
CO,La Plata,Durango,2/6/19,,"$12,723","$4,553","$2,169","$6,039","$2,131",,$300,,"$1,139",,,$945,,CO,La Plata,Durango,,"$6,547","$2,463","$1,298","$3,019","$1,065",,$300,,$570,,,$295,,CO,La Plata,Durango,,"$5,177","$4,380","$3,810",$610,$188,,,,$570,,,,,CO,La Plata,Durango,,"$4,190","$3,393","$2,823",$610,$188,,,,$570,,,,,CO,La Plata,Durango,,"$3,330","$2,533","$1,963",$610,$188,,,,$570,,,,,,,,,,,,,,,,,
CO,Larimer,Larimer Co,2/6/19,,"$7,758","$7,758","$4,168",,,,"$1,259",,$840,,,"$1,491",,CO,Larimer,Larimer Co,,"$5,786","$5,786","$2,955",,,,$819,,$521,,,"$1,491",,CO,Larimer,Larimer Co,,"$5,796","$5,796","$5,461",,,,,,$335,,,,,CO,Larimer,Larimer Co,,"$3,548","$3,548","$3,213",,,,,,$335,,,,,CO,Larimer,Larimer Co,,"$1,496","$1,496","$1,296",,,,,,$200,,,,,,,,,,,,,,,,,
CO,Larimer,Loveland,2/6/19,,"$26,052","$15,655","$2,578","$6,077","$2,740",$569,"$6,802","$1,384",$895,$913,"$1,132","$1,382","$1,580",CO,Larimer,Loveland,,"$17,430","$12,310","$1,801","$3,370","$1,750",$250,"$4,727",$962,$622,$635,$787,$946,"$1,580",CO,Larimer,Loveland,,"$9,387","$9,387","$7,910",,,$452,,,$290,$300,$435,,,CO,Larimer,Loveland,,"$5,327","$5,327","$3,550",,,$752,,,$290,$300,$435,,,CO,Larimer,Loveland,,"$3,238","$3,238","$1,890",,,$708,,,$60,$518,$62,,,,,,,,,,,,,,,
CO,Larimer,Ft. Collins,2/8/19,,"$27,731","$19,864","$6,865","$4,330","$3,537","$2,286","$5,869",,$603,$337,$821,"$1,546","$1,537",CO,Larimer,Ft. Collins,,"$20,856","$18,884","$8,961","$1,698",$274,$762,"$5,319",,$546,$305,$741,$901,"$1,350",CO,Larimer,Ft. Collins,,"$13,720","$12,541","$8,961",$126,"$1,053","$1,399",,,$508,$284,"$1,389",,,CO,Larimer,Ft. Collins,,"$10,738","$9,559","$6,539",$126,"$1,053",$839,,,$508,$284,"$1,389",,,CO,Larimer,Ft. Collins,,"$5,220","$4,041","$2,130",$126,"$1,053","$1,399",,,$119,$66,$327,,,,,,,,,,,,,,,
CO,Mesa,Mesa Co,2/8/19,,"$2,822","$2,822","$1,902",,,,,,,,,$920,,CO,Mesa,Mesa Co,,$0,$0,,,,,,,,,,,,CO,Mesa,Mesa Co,,$0,$0,,,,,,,,,,,,CO,Mesa,Mesa Co,,$0,$0,,,,,,,,,,,,CO,Mesa,Mesa Co,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,
CO,Pitkin,Pitkin Co,2/8/19,,"$7,942","$7,942","$7,942",,,,,,,,,,,CO,Pitkin,Pitkin Co,,"$5,797","$5,797","$5,797",,,,$0,,,,,,,CO,Pitkin,Pitkin Co,,"$12,360","$12,360","$12,360",,,,,,,,,,,CO,Pitkin,Pitkin Co,,"$5,810","$5,810","$5,810",,,,$0,,,,,,,CO,Pitkin,Pitkin Co,,"$2,910","$2,910","$2,910",,,,$0,,,,,,,,,,,,,,,,,,,
CO,Weld,Weld Co,2/8/19,,"$3,385","$3,385","$2,488",,,$200,,,,,$697,,,CO,Weld,Weld Co,,"$2,247","$2,247","$1,630",,,$100,,,,,$517,,,CO,Weld,Weld Co,,"$4,217","$4,217","$3,450",,,$100,,,,,$667,,,CO,Weld,Weld Co,,"$2,707","$2,707","$2,275",,,$100,,,,,$332,,,CO,Weld,Weld Co,,"$2,517","$2,517","$2,251",,,$100,,,,,$166,,,,,,,,,,,,,,,
CO,Weld,Windsor,2/8/19,,"$24,917","$11,117","$4,227","$9,400","$4,400",$882,"$6,008",,,, ,,,CO,Weld,Windsor,,"$10,075","$9,252","$2,683",$246,$577,$561,"$6,008",,,,,,,CO,Weld,Windsor,,"$8,900","$6,987","$5,590","$1,303",$610,"$1,397",,,,,,,,CO,Weld,Windsor,,"$7,898","$5,985","$5,147","$1,303",$610,$838,,,,,,,,CO,Weld,Windsor,,"$4,721","$2,808","$2,220","$1,303",$610,$588,,,,,,,,,,,,,,,,,,,,
CO,Weld,Greeley,2/8/19,,"$25,520","$8,420","$3,973","$11,400","$5,700",$371,"$3,377",,$571,$128,,,,CO,Weld,Greeley,,"$7,272","$6,891","$3,565",$254,$127,$267,"$2,534",,$428,$97,,,,CO,Weld,Greeley,,"$6,375","$6,175","$5,248",$133,$67,$72,,,$699,$156,,,,CO,Weld,Greeley,,"$5,324","$5,124","$4,650",$133,$67,$72,,,$328,$74,,,,CO,Weld,Greeley,,"$2,041","$1,841","$1,609",$133,$67,$72,,,$130,$30,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,New Castle,New Castle Co,7/21/19,,"$3,299","$1,157",,,"$2,142",,$328,$138,$517,$62,$112,,,DE,New Castle,New Castle Co,,"$2,190",$762,,,"$1,428",,$225,$95,$322,$43,$77,,,DE,New Castle,New Castle Co,,"$1,011",$297,,,$714,,,,$169,$33,$95,,,DE,New Castle,New Castle Co,,"$1,167",$453,,,$714,,,,$297,$14,$142,,,DE,New Castle,New Castle Co,,$986,$272,,,$714,,,,$177,$7,$88,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,Alachua,Alachua Co,3/4/19,,"$5,776","$5,776","$5,372",,,,$252,,$152,,,,,FL,Alachua,Alachua Co,,"$2,888","$2,888","$2,686",,,,$126,,$76,,,,,FL,Alachua,Alachua Co,,"$9,050","$9,050","$8,974",,,,,,$76,,,,,FL,Alachua,Alachua Co,,"$4,351","$4,351","$4,275",,,,,,$76,,,,,FL,Alachua,Alachua Co,,"$2,933","$2,933","$2,857",,,,,,$76,,,,,,,,,,,,,,,,,
FL,Brevard,Brevard Co,3/4/19,,"$9,839","$9,839","$4,353",,,,,$64,$93,,,"$5,097",$232,FL,Brevard,Brevard Co,,"$4,920","$4,920","$2,677",,,,,$38,$81,,,"$1,941",$183,FL,Brevard,Brevard Co,,$232,$232,,,,,,,$132,,,,$100,FL,Brevard,Brevard Co,,$78,$78,,,,,,,$44,,,,$34,FL,Brevard,Brevard Co,,$78,$78,,,,,,,$44,,,,$34,,,,,,,,,,,,,
FL,Brevard,Cocoa,3/4/19,,"$9,785","$9,785","$4,353",,,,,$64,$39,,,"$5,097",$232,FL,Brevard,Cocoa,,"$4,873","$4,873","$2,677",,,,,$38,$34,,,"$1,941",$183,FL,Brevard,Cocoa,,$154,$154,,$0,,,,,$54,,,,$100,FL,Brevard,Cocoa,,$52,$52,,$0,,,,,$18,,,,$34,FL,Brevard,Cocoa,,$52,$52,,$0,,,,,$18,,,,$34,,,,,,,,,,,,,
