State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,,,,,,,,,,,,,
AZ,Maricopa,Gilbert,1/23/19,,"$16,999","$8,155",$450,"$6,286","$2,558",,"$4,081",,,,"$1,155",,"$2,469",AZ,Maricopa,Gilbert,,"$6,853","$5,592",$296,$977,$284,,"$2,805",,,,$794,,"$1,697",AZ,Maricopa,Gilbert,,"$4,305","$2,890","$1,080","$1,006",$409,,$500,,,,$300,,"$1,010",AZ,Maricopa,Gilbert,,"$4,355","$2,940",$650,"$1,006",$409,,$700,,,,$400,,"$1,190",AZ,Maricopa,Gilbert,,"$2,715","$1,300",$470,"$1,006",$409,,,,,,$200,,$630,,,,,,,,,,,,,
AZ,Maricopa,Glendale,1/23/19,,"$9,636","$4,931","$2,537","$2,761","$1,944",,$909,,"$1,146",$339,,,,AZ,Maricopa,Glendale,,"$3,420","$2,776","$1,414",$429,$215,,$517,,$652,$193,,,,AZ,Maricopa,Glendale,,"$6,030","$5,529","$5,162",$294,$207,,$29,,$239,$99,,,,AZ,Maricopa,Glendale,,"$3,405","$1,034","$2,235",$294,$207,,$67,,$563,$39,,,,AZ,Maricopa,Glendale,,"$1,386",$885,$721,$294,$207,,$23,,$129,$12,,,,,,,,,,,,,,,,
AZ,Maricopa,Goodyear,7/20/19,,"$18,546","$6,376","$2,800","$7,698","$4,472",,"$1,815",,$941,$820,,,,AZ,Maricopa,Goodyear,,"$6,501","$5,007","$2,326","$1,197",$297,,"$1,360",,$705,$616,,,,AZ,Maricopa,Goodyear,,"$6,201","$5,080","$4,069",$835,$286,,$86,,$497,$429,,,,AZ,Maricopa,Goodyear,,"$4,797","$3,676","$1,909",$835,$286,,$149,,$868,$751,,,,AZ,Maricopa,Goodyear,,"$2,246","$1,125",$341,$835,$286,,$67,,$385,$333,,,,,,,,,,,,,,,,
AZ,Maricopa,Mesa,1/29/19,,"$5,919","$1,040",,"$2,220","$2,659",$366,,,$272,$402,,,,AZ,Maricopa,Mesa,,"$3,594",$813,,"$1,265","$1,516",$195,,,$230,$388,,,,AZ,Maricopa,Mesa,,"$1,552",$771,,$355,$425,$238,,,$215,$318,,,,AZ,Maricopa,Mesa,,"$1,552",$771,,$355,$425,$238,,,$215,$318,,,,AZ,Maricopa,Mesa,,"$1,878","$1,097",,$355,$425,$238,,,$215,$318,$326,,,,,,,,,,,,,,,
AZ,Maricopa,Peoria,1/29/19,,"$11,696","$5,653","$3,956","$4,385","$1,659",,$777,,$417,$503,,,,AZ,Maricopa,Peoria,,"$4,276","$3,453","$2,448",$648,$175,,$458,,$248,$299,,,,AZ,Maricopa,Peoria,,"$6,422","$5,842","$4,785",$423,$157,,$47,,$458,$553,,,,AZ,Maricopa,Peoria,,"$9,294","$8,714","$3,616",$423,$157,,"$4,785",,$142,$171,,,,AZ,Maricopa,Peoria,,"$2,650","$2,070","$1,948",$423,$157,,$15,,$48,$58,,,,,,,,,,,,,,,,
AZ,Maricopa,Phoenix,1/29/19,,"$39,363","$4,721","$1,138","$22,157","$12,486",$639,"$1,758",$136,$561,$490,,,,AZ,Maricopa,Phoenix,,"$11,824","$2,923",$796,"$6,065","$2,836",$213,"$1,142",$88,$365,$319,,,,AZ,Maricopa,Phoenix,,"$4,643","$2,861","$1,558","$1,150",$632,$391,$88,$4,$438,$382,,,,AZ,Maricopa,Phoenix,,"$3,621","$1,839",$717,"$1,150",$632,$235,$123,$18,$398,$348,,,,AZ,Maricopa,Phoenix,,"$3,005","$1,223",$501,"$1,150",$632,$391,$35,$2,$157,$137,,,,,,,,,,,,,,,,
AZ,Maricopa,Scottsdale,1/30/19,,"$6,517",,,"$3,908","$2,609",,,,,,,,,AZ,Maricopa,Scottsdale,,$565,,,$130,$435,,,,,,,,,AZ,Maricopa,Scottsdale,,"$1,434",,,$860,$574,,,,,,,,,AZ,Maricopa,Scottsdale,,"$1,434",,,$860,$574,,,,,,,,,AZ,Maricopa,Scottsdale,,"$1,434",,,$860,$574,,,,,,,,,,,,,,,,,,,,,
AZ,Maricopa,Surprise ,1/30/19,,"$7,430","$2,079",,"$2,086","$3,265",,$785,,$688,$371,$235,,,AZ,Maricopa,Surprise ,,"$1,959","$1,271",,$325,$363,,,,$508,$274,$489,,,AZ,Maricopa,Surprise ,,"$2,060","$1,525",,$209,$327,,,,$604,$428,$493,,,AZ,Maricopa,Surprise ,,"$2,317","$1,782",,$209,$327,,,,$911,$126,$745,,,AZ,Maricopa,Surprise ,,"$1,608","$1,073",,$209,$327,,,,$558,$60,$456,,,,,,,,,,,,,,,
AZ,Maricopa,Tempe,1/30/19,,"$5,328","$2,330",$142,"$1,664","$1,334",,$991,,$562,$635,,,,AZ,Maricopa,Tempe,,"$2,107","$1,496",$94,$388,$222,,$676,,$383,$343,,,,AZ,Maricopa,Tempe,,"$2,079","$1,329",$224,$416,$334,,$251,,$148,$706,,,,AZ,Maricopa,Tempe,,"$1,820","$1,070",$97,$416,$334,,$438,,$259,$276,,,,AZ,Maricopa,Tempe,,"$1,213",$463,$33,$416,$334,,$211,,$124,$95,,,,,,,,,,,,,,,,
AZ,Mojave,Bullhead City,1/31/19,,$563,,,$563,,,,,,,,,,AZ,Mojave,Bullhead City,,$469, ,,$469,,,,,,,,,,AZ,Mojave,Bullhead City,,$23,,,$23,,,,,,,,,,AZ,Mojave,Bullhead City,,$23,,,$23,,,,,,,,,,AZ,Mojave,Bullhead City,,$23,,,$23,,,,,,,,,,,,,,,,,,,,,,
AZ,Navajo,Show Low,7/14/19,,"$6,459","$1,292","$1,112","$1,553","$3,614",,,$180,,,,,,AZ,Navajo,Show Low,,"$4,116","$1,017",$874,$238,"$2,861",,,$143,,,,,,AZ,Navajo,Show Low,,$463,,,$186,$277,,,,,,,,,AZ,Navajo,Show Low,,$463,,,$186,$277,,,,,,,,,AZ,Navajo,Show Low,,$463,,,$186,$277,,,,,,,,,,,,,,,,,,,,,
AZ,Pima,Pima County,1/31/19,,"$6,375","$6,375","$6,375",,,,,,,,,,,AZ,Pima,Pima County,,"$4,781","$4,781","$4,781",,,,,,,,,,,AZ,Pima,Pima County,,"$3,015","$3,015","$3,015",,,,,,,,,,,AZ,Pima,Pima County,,"$2,117","$2,117","$2,117",,,,,,,,,,,AZ,Pima,Pima County,,"$2,152","$2,152","$2,152",,,,,,,,,,,,,,,,,,,,,,,
AZ,Pima,Marana,1/31/19,,"$14,848","$6,573","$4,112","$2,377","$5,898",,"$2,461",,,,,,,AZ,Pima,Marana,,"$5,815","$4,529","$3,046",$370,$917,,"$1,483",,,,,,,AZ,Pima,Marana,,"$8,223",,"$7,782",$127,$314,,,,,,,,,AZ,Pima,Marana,,"$5,975",,"$5,534",$127,$314,,,,,,,,,AZ,Pima,Marana,,$689,,$248,$127,$314,,,,,,,,,,,,,,,,,,,,,
AZ,Pima,Oro Valley,1/31/19,,"$9,216","$3,156","$1,990","$6,060",,,$856,,,$310,,,,AZ,Pima,Oro Valley,,"$4,953","$2,045","$1,231","$2,908",,,$599,,,$215,,,,AZ,Pima,Oro Valley,,"$2,985","$2,859","$2,412",$126,,,,,,$447,,,,AZ,Pima,Oro Valley,,"$2,104","$1,978","$1,822",$126,,,,,,$156,,,,AZ,Pima,Oro Valley,,"$1,174","$1,048",$983,$126,,,,,,$65,,,,,,,,,,,,,,,,
AZ,Pima,Tucson,1/31/19,,"$9,422","$7,455","$4,838","$1,967",,,"$1,935",,$303,$379,,,,AZ,Pima,Tucson,,"$4,378","$4,025","$2,580",$353,,,"$1,032",,$183,$230,,,,AZ,Pima,Tucson,,"$5,040","$4,798","$4,282",$242,,,$38,,$157,$321,,,,AZ,Pima,Tucson,,"$4,555","$4,313","$3,797",$242,,,$38,,$157,$321,,,,AZ,Pima,Tucson,,"$1,564","$1,322",$806,$242,,,$38,,$157,$321,,,,,,,,,,,,,,,,
AZ,Pinal,Apache Junction,1/31/19,,"$4,925","$4,925","$2,364",,,,"$1,466",$934,,$161,,,,AZ,Pinal,Apache Junction,,"$3,907","$3,907","$1,856",,,,"$1,174",$748,,$129,,,,AZ,Pinal,Apache Junction,,"$6,520","$6,520","$5,040",,,,"$1,030",$300,,$150,,,,AZ,Pinal,Apache Junction,,"$4,440","$4,440","$2,180",,,,"$1,710",$500,,$50,,,,AZ,Pinal,Apache Junction,,"$2,930","$2,930","$1,360",,,,"$1,190",$350,,$30,,,,,,,,,,,,,,,,
AZ,Pinal,Casa Grande,1/31/19,,"$11,396","$6,996","$4,178",,"$4,400",,$624,$209,$777,$588,$620,,,AZ,Pinal,Casa Grande,,"$7,746","$4,794","$2,903",,"$2,952",,$418,$141,$521,$395,$416,,,AZ,Pinal,Casa Grande,,"$8,746","$8,220","$5,730",,$526,,,,"$1,660",$730,$100,,,AZ,Pinal,Casa Grande,,"$6,406","$5,880","$2,810",,$526,,,,"$2,610",$330,$130,,,AZ,Pinal,Casa Grande,,"$4,266","$3,740","$1,720",,$526,,,,"$1,730",$200,$90,,,,,,,,,,,,,,,
AZ,Pinal,Eloy,1/31/19,,"$4,868","$1,941",,"$1,617","$1,310",,$539,$151,,$359,,,$892,AZ,Pinal,Eloy,,"$1,773","$1,405",,$237,$131,,$391,$109,,$260,,,$645,AZ,Pinal,Eloy,,"$1,347","$1,058",,$163,$126,,,,,$375,,,$683,AZ,Pinal,Eloy,,"$1,213",$924,,$163,$126,,,,,$124,,,$800,AZ,Pinal,Eloy,,$918,$629,,$163,$126,,,,,$77,,,$552,,,,,,,,,,,,,
AZ,Pinal,Florence,1/31/19,,"$9,350","$5,230","$2,086","$1,980","$2,140",,"$1,417",$203,$917,$607,,,,AZ,Pinal,Florence,,"$4,799","$3,860","$1,313",$462,$477,,"$1,148",$164,$743,$492,,,,AZ,Pinal,Florence,,"$5,277","$4,432","$3,141",$347,$499,,$170,$24,$660,$437,,,,AZ,Pinal,Florence,,"$5,277","$4,432","$3,141",$347,$499,,$170,$24,$660,$437,,,,AZ,Pinal,Florence,,"$2,342","$1,497","$1,015",$347,$499,,$128,$18,$202,$134,,,,,,,,,,,,,,,,
AZ,Pinal,Queen Creek,1/31/19,,"$15,890","$6,794","$1,263","$4,014","$5,082",,"$3,681",$723,$490,$167,$470,,,AZ,Pinal,Queen Creek,,"$6,131","$4,954",$882,$617,$560,,"$2,710",$532,$361,$123,$346,,,AZ,Pinal,Queen Creek,,"$4,141","$3,054","$1,569",$478,$608,,$563,$111,$290,$229,$292,,,AZ,Pinal,Queen Creek,,"$3,088","$2,001",$679,$478,$608,,$552,$109,$285,$90,$286,,,AZ,Pinal,Queen Creek,,"$3,023","$1,936",$429,$478,$608,,$650,$128,$335,$56,$338,,,,,,,,,,,,,,,
AZ,Yavapai,Yavapai County,1/31/19,,"$3,400","$3,400","$3,400",,,,,,,,,,,AZ,Yavapai,Yavapai County,,"$3,400","$3,400","$3,400",,,,,,,,,,,AZ,Yavapai,Yavapai County,,,,,,,,,,,,,,,AZ,Yavapai,Yavapai County,,,,,,,,,,,,,,,AZ,Yavapai,Yavapai County,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Yavapai,Chino Valley,1/31/19,,"$10,300",$0,,"$4,120","$6,180",,,,,,,,,AZ,Yavapai,Chino Valley,,$150,$0,,$109,$41,,$0,$0,,$0,,,,AZ,Yavapai,Chino Valley,,"$3,643",$0,,$553,"$3,090",,,,,,,,,AZ,Yavapai,Chino Valley,,"$3,643",$0,$0,$553,"$3,090",,,,,$0,,,,AZ,Yavapai,Chino Valley,,"$6,423","$2,780","$2,780",$553,"$3,090",,,,,$0,,,,,,,,,,,,,,,,
AZ,Yavapai,Prescott,1/31/19,,"$12,619","$2,910",$469,"$6,575","$3,134",,,"$1,589",$392,$460,,,,AZ,Yavapai,Prescott,,"$3,551","$2,797",$469,$440,$314,,$0,$998,$941,$389,,,,AZ,Yavapai,Prescott,,"$2,506",,$630,$603,$603,,,,$370,$300,,,,AZ,Yavapai,Prescott,,"$2,506",,$630,$603,$603,,,,$370,$300,,,,AZ,Yavapai,Prescott,,"$2,506",,$630,$603,$603,,,,$370,$300,,,,,,,,,,,,,,,,
AZ,Yuma,Yuma,1/31/19,,"$2,572","$2,572",$696,,,,"$1,011",,$339,$506,$20,,,AZ,Yuma,Yuma,,"$1,957","$1,957",$479,,,,$797,,$267,$399,$15,,,AZ,Yuma,Yuma,,"$1,918","$1,918",$804,,,,,,$152,$949,$13,,,AZ,Yuma,Yuma,,"$1,184","$1,184",$436,,,,,,$258,$468,$22,,,AZ,Yuma,Yuma,,$778,$778,$296,,,,,,$171,$296,$15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Alameda,Fremont,3/31/19,,"$84,001","$84,001","$2,417",,,,"$25,783",,$399,,"$3,402",,"$52,000",CA,Alameda,Fremont,,"$44,617","$44,617","$3,009",,,,"$21,329",,$283,,"$2,446",,"$17,550",CA,Alameda,Fremont,,"$9,769","$9,769","$8,700",,,,,,$146,,$923,,,CA,Alameda,Fremont,,"$12,477","$12,477","$10,766",,,,,,$234,,"$1,477",,,CA,Alameda,Fremont,,"$4,408","$4,408","$3,552",,,,,,$117,,$739,,,,,,,,,,,,,,,
CA,Alameda,Hayward,3/31/19,,"$68,737","$54,553",,"$6,484","$7,700",,"$11,953",,,,,"$5,940","$36,660",CA,Alameda,Hayward,,"$34,812","$27,743",,$216,"$6,853",,"$9,653",,,,,"$2,970","$15,120",CA,Alameda,Hayward,,"$2,739","$2,739",,"$1,037","$1,232",,,,,,,$470,,CA,Alameda,Hayward,,"$2,739","$2,739",,"$1,037","$1,232",,,,,,,$470,,CA,Alameda,Hayward,,"$2,739","$2,739",,"$1,037","$1,232",,,,,,,$470,,,,,,,,,,,,,,
