,,,,"Single-Family Unit (3-BR, 2,000 sf, on 10,000 sq. ft. lot at density of 4 UPA and value of $200,000)",,,,,,,,,,,,,,,,,"Multi-Family Unit (2 bedroom, 1,000 sq. ft. unit, density of 12 UPA; $100,000 value; 7-2"" meters (2 for irrigation) for 240 unit complex)",,,,,,,,,,,,,,,,,"Retail per 1,000 sq. ft. (100,001 sq. ft. shopping center; 0.15 FAR; 3"" meter)",,,,,,,,,,,,,,,,,"Office per 1,000 sq. ft. (100,001 sq. ft. general office building; 0.25 FAR; 3"" meter)",,,,,,,,,,,,,,,,,"Industrial per 1,000 sq. ft. (100,001 sq. ft. building; 0.15 FAR; 3"" meter)",,,,,,,,,,,,,,,,,,,,,,,,,,
State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,,,,,,,,,,,,,
AR,Benton,Bentonville,8/31/15,,"$3,789","$1,306",,"$1,366","$1,117",,$791,,$515,,,,,AR,Benton,Bentonville,,"$1,122",$938,,$116,$68,,$568,,$370,,,,,AR,Benton,Bentonville,,$528,$180,,$191,$156,,,,$180,,,,,AR,Benton,Bentonville,,$658,$310,,$191,$156,,,,$310,,,,,AR,Benton,Bentonville,,$538,$190,,$191,$156,,,,$190,,,,,,,,,,,,,,,,,
AR,Benton,Lowell,8/31/15,,"$1,504",$504,,,"$1,000",,,,$504,,,,,AR,Benton,Lowell,,"$1,173",$373,,,$800,,,,$373,,,,,AR,Benton,Lowell,,$504,$455,,,$49,,,,$455,,,,,AR,Benton,Lowell,,$698,$649,,,$49,,,,$649,,,,,AR,Benton,Lowell,,$469,$420,,,$49,,,,$420,,,,,,,,,,,,,,,,,
AR,Faulkner,Conway,8/31/15,,"$1,698","$1,698","$1,039",,,,$659,,,,,,,AR,Faulkner,Conway,,"$1,218","$1,218",$771,,,,$447,,,,,,,AR,Faulkner,Conway,,"$1,915","$1,915","$1,915",,,,,,,,,,,AR,Faulkner,Conway,,"$1,280","$1,280","$1,280",,,,,,,,,,,AR,Faulkner,Conway,,$808,$808,$808,,,,,,,,,,,,,,,,,,,,,,,
AR,Washington,Fayetteville,8/31/15,,"$2,155",$312,,$971,$872,,,,$150,$162,,,,AR,Washington,Fayetteville,,"$1,623",$312,,$691,$620,,,,$150,$162,,,,AR,Washington,Fayetteville,,$976,$681,,$155,$140,,,,$293,$388,,,,AR,Washington,Fayetteville,,$976,$681,,$155,$140,,,,$293,$388,,,,AR,Washington,Fayetteville,,$567,$272,,$155,$140,,,,$117,$155,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Cochise,Sierra Vista,8/31/15,,"$5,609","$5,609","$2,608",,,,"$2,102",$88,$439,$372,,,,AZ,Cochise,Sierra Vista,,"$3,945","$3,945","$1,812",,,,"$1,493",$63,$312,$265,,,,AZ,Cochise,Sierra Vista,,"$5,310","$5,310","$4,100",,,,,,$250,$960,,,,AZ,Cochise,Sierra Vista,,"$2,470","$2,470","$1,930",,,,,,$110,$430,,,,AZ,Cochise,Sierra Vista,,"$1,510","$1,510","$1,180",,,,,,$70,$260,,,,,,,,,,,,,,,,
AZ,Gila,Sedona,8/31/15,,"$13,658","$6,129","$1,216",,"$7,529",$581,"$3,627",,,$511,$194,,,AZ,Gila,Sedona,,"$6,302","$6,302",$954,,"$1,255",$218,"$3,236",,,$466,$173,,,AZ,Gila,Sedona,,"$4,648","$3,443","$2,660",,"$1,205",$73, ,,,$630,$80,,,AZ,Gila,Sedona,,"$2,818","$2,818","$1,150",,"$1,205",$73, ,,,$250,$140,,,AZ,Gila,Sedona,,"$2,258","$2,258",$720,,"$1,205",$73, ,,,$160,$100,,,,,,,,,,,,,,,
AZ,Maricopa,Avondale,8/31/15,,"$18,307","$5,383","$2,945","$5,251","$7,673",,$796,$179,$607,$499,$357,,,AZ,Maricopa,Avondale,,"$12,970","$4,072","$2,058","$1,225","$7,673",,$658,$148,$501,$412,$295,, ,AZ,Maricopa,Avondale,,"$7,475","$6,160","$3,660",$496,$819,,$820,$180,$620,$510,$370,, ,AZ,Maricopa,Avondale,,"$2,930","$1,615",$158,$496,$819,,$240,$50,$917,$150,$100,, ,AZ,Maricopa,Avondale,,"$1,815",$500,$100,$496,$819,,$130,$30,$100,$80,$60,, ,,,,,,,,,,,,,
