AZ,Maricopa,Buckeye,8/31/15,,"$16,504","$3,901",$189,"$6,475","$6,128",,"$1,374",$240,,,,,"$2,098",AZ,Maricopa,Buckeye,,"$3,444","$3,077",$176,$189,$179,,"$1,074",$188,,,,,"$1,639",AZ,Maricopa,Buckeye,,"$1,605","$1,479",$318,$65,$61,,$109,$24,,,,,"$1,028",AZ,Maricopa,Buckeye,,"$1,332","$1,206",$137,$65,$61,,$182,$39,,,,,$848,AZ,Maricopa,Buckeye,,$558,$432,$127,$65,$61,,$49,$11,,,,,$245,,,,,,,,,,,,,
AZ,Maricopa,Chandler,8/31/15,,"$19,958","$7,636","$3,901","$6,518","$5,804",,"$2,875",$61,$412,$277,,,$110,AZ,Maricopa,Chandler,,"$10,369","$5,074","$2,419","$2,544","$2,751",,"$2,056",$58,$263,$125,$74,,$79,AZ,Maricopa,Chandler,,"$7,022","$5,050","$4,130","$1,043",$929,,,,$480,$320,,,$120,AZ,Maricopa,Chandler,,"$6,942","$4,970","$4,360","$1,043",$929,,,,$320,$210,,,$80,AZ,Maricopa,Chandler,,"$4,462","$2,490","$2,300","$1,043",$929,,,,$100,$70,,,$20,,,,,,,,,,,,,
AZ,Maricopa,Fountain Hills,8/31/15,,"$1,601","$1,601",,,,,"$1,301",,$300,,,,,AZ,Maricopa,Fountain Hills,,"$1,601","$1,601",,,,,"$1,301",,$300,,,,,AZ,Maricopa,Fountain Hills,,$243,$243,,,,,,,$243,,,,,AZ,Maricopa,Fountain Hills,,$243,$243,,,,,,,$243,,,,,AZ,Maricopa,Fountain Hills,,$243,$243,,,,,,,$243,,,,,,,,,,,,,,,,,
AZ,Maricopa,Gilbert,9/30/15,,"$17,652","$8,155",$450,"$5,901","$3,596",,"$4,081",,,,"$1,155",,"$2,469",AZ,Maricopa,Gilbert,,"$6,908","$5,592",$296,$917,$399,,"$2,805",,,,$794,,"$1,697",AZ,Maricopa,Gilbert,,"$4,409","$2,890","$1,080",$944,$575,,$500,,,,$300,,"$1,010",AZ,Maricopa,Gilbert,,"$4,459","$2,940",$650,$944,$575,,$700,,,,$400,,"$1,190",AZ,Maricopa,Gilbert,,"$2,819","$1,300",$470,$944,$575,,,,,,$200,,$630,,,,,,,,,,,,,
AZ,Maricopa,Glendale,8/31/15,,"$9,636","$4,931","$2,537","$2,761","$1,944",,$909,,"$1,146",$339,,,,AZ,Maricopa,Glendale,,"$3,420","$2,776","$1,414",$429,$215,,$517,,$652,$193,,,,AZ,Maricopa,Glendale,,"$6,030","$5,529","$5,162",$294,$207,,$29,,$239,$99,,,,AZ,Maricopa,Glendale,,"$3,405","$1,034","$2,235",$294,$207,,$67,,$563,$39,,,,AZ,Maricopa,Glendale,,"$1,386",$885,$721,$294,$207,,$23,,$129,$12,,,,,,,,,,,,,,,,
AZ,Maricopa,Goodyear,8/31/15,,"$14,004","$3,296","$1,441","$7,388","$3,320",,$970,,$506,$379,,,,AZ,Maricopa,Goodyear,,"$3,967","$2,501","$1,006","$1,098",$368,,$808,,$393,$294,,,,AZ,Maricopa,Goodyear,,"$3,712","$2,603","$1,818",$755,$354,,$106,,$441,$238,,,,AZ,Maricopa,Goodyear,,"$2,800","$1,691",$787,$755,$354,,$158,,$654,$93,,,,AZ,Maricopa,Goodyear,,"$2,220","$1,111",$787,$755,$354,,$46,,$193,$86,,,,,,,,,,,,,,,,
AZ,Maricopa,Mesa,8/31/15,,"$7,041","$2,162",,"$2,220","$2,659",$366,"$1,122",,$272,$402,,,,AZ,Maricopa,Mesa,,"$4,396","$1,615",,"$1,265","$1,516",$195,$802,,$230,$388,,,,AZ,Maricopa,Mesa,,"$1,552",$771,,$355,$425,$238,,,$215,$318,,,,AZ,Maricopa,Mesa,,"$1,552",$771,,$355,$425,$238,,,$215,$318,,,,AZ,Maricopa,Mesa,,"$1,878","$1,097",,$355,$425,$238,,,$215,$318,$326,,,,,,,,,,,,,,,
AZ,Maricopa,Peoria,8/31/15,,"$11,696","$5,653","$3,956","$4,385","$1,659",,$777,,$417,$503,,,,AZ,Maricopa,Peoria,,"$4,276","$3,453","$2,448",$648,$175,,$458,,$248,$299,,,,AZ,Maricopa,Peoria,,"$6,422","$5,842","$4,785",$423,$157,,$47,,$458,$553,,,,AZ,Maricopa,Peoria,,"$9,294","$8,714","$3,616",$423,$157,,"$4,785",,$142,$171,,,,AZ,Maricopa,Peoria,,"$2,650","$2,070","$1,948",$423,$157,,$15,,$48,$58,,,,,,,,,,,,,,,,
AZ,Maricopa,Phoenix,8/31/15,,"$36,021","$4,710","$2,208","$19,789","$11,522",,"$1,120",,$475,$500,,,$407,AZ,Maricopa,Phoenix,,"$10,158","$3,031","$1,546","$4,566","$2,562",,$728,,$309,$325,,,$123,AZ,Maricopa,Phoenix,,"$6,822","$3,920","$3,025","$1,847","$1,055",,$56,,$371,$390,,,$79,AZ,Maricopa,Phoenix,,"$5,123","$2,221","$1,391","$1,847","$1,055",,$78,,$337,$355,,,$60,AZ,Maricopa,Phoenix,,"$4,218","$1,316",$972,"$1,847","$1,055",,$22,,$133,$140,,,$49,,,,,,,,,,,,,
AZ,Maricopa,Scottsdale,8/31/15,,"$5,407",,,"$3,365","$2,042",,,,,,,,,AZ,Maricopa,Scottsdale,,"$1,126",,,$785,$340,,,,,,,,,AZ,Maricopa,Scottsdale,,"$1,189",,,$740,$449,,,,,,,,,AZ,Maricopa,Scottsdale,,"$1,189",,,$740,$449,,,,,,,,,AZ,Maricopa,Scottsdale,,"$1,189",,,$740,$449,,,,,,,,,,,,,,,,,,,,,
AZ,Maricopa,Surprise ,8/31/15,,"$6,351",$979,$299,"$2,107","$3,265",,,,$680,,,,,AZ,Maricopa,Surprise ,,"$1,399",$708,$209,$328,$363,,,,$499,,,,,AZ,Maricopa,Surprise ,,"$5,274","$4,737","$3,958",$211,$327,,,,$779,,,,,AZ,Maricopa,Surprise ,,"$2,024","$1,487",$240,$211,$327,,,,"$1,247",,,,,AZ,Maricopa,Surprise ,,"$1,206",$669,$150,$211,$327,,,,$519,,,,,,,,,,,,,,,,,
AZ,Maricopa,Tempe,8/31/15,,"$2,998",,,"$1,664","$1,334",,,,,,,,,AZ,Maricopa,Tempe,,$611,,,$388,$222,,,,,,,,,AZ,Maricopa,Tempe,,$750,,,$416,$334,,,,,,,,,AZ,Maricopa,Tempe,,$750,,,$416,$334,,,,,,,,,AZ,Maricopa,Tempe,,$750,,,$416,$334,,,,,,,,,,,,,,,,,,,,,
AZ,Mojave,Bullhead City,8/31/15,,$715,,,$715,,,,,,,,,,AZ,Mojave,Bullhead City,,$591, ,,$591,,,,,,,,,,AZ,Mojave,Bullhead City,,$35,,,$35,,,,,,,,,,AZ,Mojave,Bullhead City,,$35,,,$35,,,,,,,,,,AZ,Mojave,Bullhead City,,$35,,,$35,,,,,,,,,,,,,,,,,,,,,,
AZ,Navajo,Show Low,8/31/15,,"$1,849","$1,849","$1,112",,,,$557,$180,,,,,,AZ,Navajo,Show Low,,"$1,458","$1,458",$874,,,,$441,$143,,,,,,AZ,Navajo,Show Low,,$609,,$609,,,,,,,,,,,AZ,Navajo,Show Low,,$410,,$410,,,,,,,,,,,AZ,Navajo,Show Low,,$525,,$525,,,,,,,,,,,,,,,,,,,,,,,
AZ,Pima,Pima County,8/31/15,,"$5,772","$5,772","$5,772",,,,,,,,,,,AZ,Pima,Pima County,,"$4,329","$4,329","$4,329",,,,,,,,,,,AZ,Pima,Pima County,,"$2,730","$2,730","$2,730",,,,,,,,,,,AZ,Pima,Pima County,,"$1,917","$1,917","$1,917",,,,,,,,,,,AZ,Pima,Pima County,,"$2,113","$2,113","$2,113",,,,,,,,,,,,,,,,,,,,,,,
AZ,Pima,Marana,8/31/15,,"$16,338","$6,993","$4,532","$4,255","$5,090",,"$2,461",,,,,,,AZ,Pima,Marana,,"$6,834","$5,326","$3,677",$801,$707,,"$1,649",,,,,,,AZ,Pima,Marana,,"$10,672",,"$9,522",$514,$636,,,,,,,,,AZ,Pima,Marana,,"$7,756",,"$6,606",$514,$636,,,,,,,,,AZ,Pima,Marana,,"$1,943",,$793,$514,$636,,,,,,,,,,,,,,,,,,,,,
AZ,Pima,Oro Valley,8/31/15,,"$10,705","$3,156","$1,990","$7,549",,,$856,,,$310,,,,AZ,Pima,Oro Valley,,"$5,665","$2,045","$1,231","$3,620",,,$599,,,$215,,,,AZ,Pima,Oro Valley,,"$4,575","$2,859","$2,412","$1,716",,,,,,$447,,,,AZ,Pima,Oro Valley,,"$3,694","$1,978","$1,822","$1,716",,,,,,$156,,,,AZ,Pima,Oro Valley,,"$2,764","$1,048",$983,"$1,716",,,,,,$65,,,,,,,,,,,,,,,,
AZ,Pima,Tucson,8/31/15,,"$9,472","$7,505","$4,838","$1,967",,,"$1,935",,$303,$379,,,$50,AZ,Pima,Tucson,,"$4,378","$4,025","$2,580",$353,,,"$1,032",,$183,$230,,,,AZ,Pima,Tucson,,"$5,040","$4,798","$4,282",$242,,,$38,,$157,$321,,,,AZ,Pima,Tucson,,"$4,555","$4,313","$3,797",$242,,,$38,,$157,$321,,,,AZ,Pima,Tucson,,"$1,564","$1,322",$806,$242,,,$38,,$157,$321,,,,,,,,,,,,,,,,
AZ,Pinal,Apache Junction,8/31/15,,"$9,139","$9,139","$6,323",,,,"$1,801",$721,,$294,,,,AZ,Pinal,Apache Junction,,"$6,871","$6,871","$4,440",,,,"$1,555",$622,,$254,,,,AZ,Pinal,Apache Junction,,"$14,960","$14,960","$13,220",,,,,,,"$1,740",,,,AZ,Pinal,Apache Junction,,"$4,850","$4,850","$4,330",,,,,,,$520,,,,AZ,Pinal,Apache Junction,,"$2,530","$2,530","$2,260",,,,,,,$270,,,,,,,,,,,,,,,,
AZ,Pinal,Casa Grande,8/31/15,,"$10,642","$6,352","$3,465",,"$4,290",,,,$646,$345,$481,,"$1,415",AZ,Pinal,Casa Grande,,"$4,785","$4,313","$2,384",,$472,,,,$435,$234,$315,,$945,AZ,Pinal,Casa Grande,,"$8,518","$8,061","$6,912",,$457,,,,$442,$375,$332,,,AZ,Pinal,Casa Grande,,"$3,999","$3,542","$2,261",,$457,,,,$667,$112,$502,,,AZ,Pinal,Casa Grande,,"$2,718","$2,261","$1,385",,$457,,,,$460,$70,$346,,,,,,,,,,,,,,,
AZ,Pinal,Eloy,8/31/15,,"$3,468",$779,,"$1,522","$1,167",,$420,,,$359,,,,AZ,Pinal,Eloy,,$927,$565,,$234,$128,,$305,,,$260,,,,AZ,Pinal,Eloy,,$721,$434,,$162,$125,,,,,$434,,,,AZ,Pinal,Eloy,,$465,$178,,$162,$125,,,,,$178,,,,AZ,Pinal,Eloy,,$364,$77,,$162,$125,,,,,$77,,,,,,,,,,,,,,,,
AZ,Pinal,Florence,8/31/15,,"$9,350","$5,230","$2,086","$1,980","$2,140",,"$1,417",$203,$917,$607,,,,AZ,Pinal,Florence,,"$4,799","$3,860","$1,313",$462,$477,,"$1,148",$164,$743,$492,,,,AZ,Pinal,Florence,,"$5,277","$4,432","$3,141",$347,$499,,$170,$24,$660,$437,,,,AZ,Pinal,Florence,,"$5,277","$4,432","$3,141",$347,$499,,$170,$24,$660,$437,,,,AZ,Pinal,Florence,,"$2,342","$1,497","$1,015",$347,$499,,$128,$18,$202,$134,,,,,,,,,,,,,,,,
AZ,Pinal,Queen Creek,8/31/15,,"$15,890","$6,794","$1,263","$4,014","$5,082",,"$3,681",$723,$490,$167,$470,,,AZ,Pinal,Queen Creek,,"$6,131","$4,954",$882,$617,$560,,"$2,710",$532,$361,$123,$346,,,AZ,Pinal,Queen Creek,,"$4,141","$3,054","$1,569",$478,$608,,$563,$111,$290,$229,$292,,,AZ,Pinal,Queen Creek,,"$3,088","$2,001",$679,$478,$608,,$552,$109,$285,$90,$286,,,AZ,Pinal,Queen Creek,,"$3,023","$1,936",$429,$478,$608,,$650,$128,$335,$56,$338,,,,,,,,,,,,,,,
AZ,Yavapai,Yavapai County,8/31/15,,"$3,400","$3,400","$3,400",,,,,,,,,,,AZ,Yavapai,Yavapai County,,"$3,400","$3,400","$3,400",,,,,,,,,,,AZ,Yavapai,Yavapai County,,,,,,,,,,,,,,,AZ,Yavapai,Yavapai County,,,,,,,,,,,,,,,AZ,Yavapai,Yavapai County,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Yavapai,Chino Valley,8/31/15,,"$13,804","$3,804","$3,028","$4,000","$6,000",,$369,$113,,$294,,,,AZ,Yavapai,Chino Valley,,"$3,312","$2,396","$1,620",$134,$782,,$369,$113,,$294,,,,AZ,Yavapai,Chino Valley,,"$2,174","$1,130",$970,$84,$960,,,,,$160,,,,AZ,Yavapai,Chino Valley,,"$2,174","$1,130",$970,$84,$960,,,,,$160,,,,AZ,Yavapai,Chino Valley,,"$3,984","$2,940","$2,780",$84,$960,,,,,$160,,,,,,,,,,,,,,,,
AZ,Yavapai,Prescott,8/31/15,,"$16,158","$2,551",$469,"$10,334","$3,273",,$715,$253,$525,$589,,,,AZ,Yavapai,Prescott,,"$4,703","$2,551",$469,"$1,606",$546,,$715,$253,$525,$589,,,,AZ,Yavapai,Prescott,,"$2,177",,,"$1,653",$524,,,,,,,,,AZ,Yavapai,Prescott,,"$2,177",,,"$1,653",$524,,,,,,,,,AZ,Yavapai,Prescott,,"$2,177",,,"$1,653",$524,,,,,,,,,,,,,,,,,,,,,
AZ,Yuma,Yuma,8/31/15,,"$2,712","$2,712",$856,,,,"$1,011",,$339,$506,,,,AZ,Yuma,Yuma,,"$2,053","$2,053",$590,,,,$797,,$267,$399,,,,AZ,Yuma,Yuma,,"$2,087","$2,087",$986,,,,,,$152,$949,,,,AZ,Yuma,Yuma,,"$1,261","$1,261",$535,,,,,,$258,$468,,,,AZ,Yuma,Yuma,,$806,$806,$339,,,,,,$171,$296,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Alameda,Fremont,9/30/15,,"$77,194","$77,194","$3,879",,,,"$29,093",,$386,,"$3,336",,"$40,500",CA,Alameda,Fremont,,"$44,617","$44,617","$3,009",,,,"$21,329",,$283,,"$2,446",,"$17,550",CA,Alameda,Fremont,,"$9,769","$9,769","$8,700",,,,,,$146,,$923,,,CA,Alameda,Fremont,,"$12,477","$12,477","$10,766",,,,,,$234,,"$1,477",,,CA,Alameda,Fremont,,"$4,408","$4,408","$3,552",,,,,,$117,,$739,,,,,,,,,,,,,,,
CA,Alameda,Hayward,7/29/12,,"$35,909","$20,103","$1,200","$8,106","$7,700",,"$11,953",,,,,"$6,200",$750,CA,Alameda,Hayward,,"$21,479","$13,113",$960,"$1,513","$6,853",,"$9,653",,,,,"$2,050",$450,CA,Alameda,Hayward,,"$6,589","$6,589","$3,960","$1,037","$1,232",,,,,,,$360,,CA,Alameda,Hayward,,"$5,629","$5,629","$3,000","$1,037","$1,232",,,,,,,$360,,CA,Alameda,Hayward,,"$4,069","$4,069","$1,440","$1,037","$1,232",,,,,,,$360,,,,,,,,,,,,,,
CA,Alameda,Livermore,9/30/15,,"$44,580","$35,104","$11,366","$4,051","$5,425",$620,"$14,721",,,,"$1,677","$6,720",,CA,Alameda,Livermore,,"$39,019","$34,411","$7,708",$945,"$3,663",$560,"$10,225",,,,"$1,298","$2,970","$11,650",CA,Alameda,Livermore,,"$35,584","$35,584","$25,968",,"$1,210","$1,000","$1,866",,,,"$5,000",$540,,CA,Alameda,Livermore,,"$32,060","$32,060","$19,641",,"$1,210","$1,000","$2,669",,,,"$7,000",$540,,CA,Alameda,Livermore,,"$19,487","$19,487","$11,996",,"$1,210","$1,000","$1,241",,,,"$3,500",$540,,,,,,,,,,,,,,
CA,Alameda,San Leandro,9/30/15,,"$29,701","$25,559","$1,337",,"$4,142",,"$16,079",,,,,"$6,720","$1,423",CA,Alameda,San Leandro,,"$22,184","$18,751","$1,337",,"$3,433",,"$14,054",,,,,"$3,360",,CA,Alameda,San Leandro,,"$5,473","$5,473","$4,150",,$663,,,,,,,$540,$120,CA,Alameda,San Leandro,,"$3,543","$3,543","$2,220",,$663,,,,,,,$540,$120,CA,Alameda,San Leandro,,"$2,513","$2,513","$1,190",,$663,,,,,,,$540,$120,,,,,,,,,,,,,
CA,Contra Costa,Orinda,9/30/15,,"$22,678","$22,678","$6,462",,,"$2,620","$13,596",,,,,,,CA,Contra Costa,Orinda,,"$14,828","$14,828","$4,031",,,"$1,310","$9,487",,,,,,,CA,Contra Costa,Orinda,,"$4,030","$4,030","$2,720",,,"$1,310",,,,,,,,CA,Contra Costa,Orinda,,"$4,030","$4,030","$2,720",,,"$1,310",,,,,,,,CA,Contra Costa,Orinda,,"$4,030","$4,030","$2,720",,,"$1,310",,,,,,,,,,,,,,,,,,,,
CA,El Dorado,El Dorado Co,9/30/15,,"$28,294","$28,294","$22,404",,,,,,,,,"$5,890",,CA,El Dorado,El Dorado Co,,"$17,528","$17,528","$14,583",,,,,,,,,"$2,945",,CA,El Dorado,El Dorado Co,,"$9,278","$9,278","$8,788",,,,,,,,,$490,,CA,El Dorado,El Dorado Co,,"$2,739","$2,739","$2,249",,,,,,,,,$490,,CA,El Dorado,El Dorado Co,,"$1,920","$1,920","$1,430",,,,,,,,,$490,,,,,,,,,,,,,,
CA,Fresno,Clovis,9/30/15,,"$28,899","$15,397","$10,417","$4,500","$9,002",,"$3,230",$604,$672,$100,,,$374,CA,Fresno,Clovis,,"$18,117","$8,875","$4,167","$1,050","$8,192",,"$3,230",$494,$672,$100,,,$212,CA,Fresno,Clovis,,"$14,016","$12,776","$11,956",$720,$520,,$48,,$672,$100,,,,CA,Fresno,Clovis,,"$7,553","$6,313","$5,452",$720,$520,,$89,,$672,$100,,,,CA,Fresno,Clovis,,"$3,523","$2,283","$1,467",$720,$520,,$44,,$672,$100,,,,,,,,,,,,,,,,
CA,Kern,Bakersfield,9/30/15,,"$24,702","$20,702","$12,870",,"$4,000",,"$1,716",,,,,"$5,580",$536,CA,Kern,Bakersfield,,"$13,443","$10,898","$6,213",,"$2,545",,"$1,716",,,,,"$2,790",$179,CA,Kern,Bakersfield,,"$9,081","$8,441","$7,643",,$640,,,,,,,$470,$328,CA,Kern,Bakersfield,,"$3,102","$2,462","$1,795",,$640,,,,,,,$470,$197,CA,Kern,Bakersfield,,"$2,734","$2,094","$1,296",,$640,,,,,,,$470,$328,,,,,,,,,,,,,
CA,Los Angeles,Lancaster,9/30/15,,"$13,881","$13,881","$2,841",,,"$4,659","$3,534",,"$1,751",,$119,$800,$177,CA,Los Angeles,Lancaster,,"$12,162","$12,162","$2,648",,,"$4,659","$3,284",,$876,,$119,$400,$177,CA,Los Angeles,Lancaster,,"$3,443","$3,443","$1,760",,,$760,,,$876,,$47,,,CA,Los Angeles,Lancaster,,"$3,443","$3,443","$1,760",,,$760,,,$876,,$47,,,CA,Los Angeles,Lancaster,,"$2,353","$2,353",$670,,,$760,,,$876,,$47,,,,,,,,,,,,,,,
CA,Los Angeles,Long Beach,9/30/15,,"$15,674","$15,577","$1,125",,$97,,"$4,613",,$496,$703,,"$8,640",,CA,Los Angeles,Long Beach,,"$10,020","$9,923","$1,125",,$97,,"$3,563",,$378,$537,,"$4,320",,CA,Los Angeles,Long Beach,,"$4,249","$4,249","$3,000",,,,,,$267,$442,,$540,,CA,Los Angeles,Long Beach,,"$3,403","$3,403","$2,000",,,,,,$325,$538,,$540,,CA,Los Angeles,Long Beach,,"$1,990","$1,990","$1,100",,,,,,$132,$218,,$540,,,,,,,,,,,,,,
CA,Monterey,Salinas,9/30/15,,"$12,423","$8,015","$3,110",,"$4,408","$1,404","$2,409",,,,$620,,$472,CA,Monterey,Salinas,,"$8,818","$4,846","$2,068",,"$3,972",$936,"$1,606",,,,,,$236,CA,Monterey,Salinas,,"$15,441","$14,736","$13,354",,$705,$909,,,,,,,$472,CA,Monterey,Salinas,,"$5,147","$4,442","$3,424",,$705,$546,,,,,,,$472,CA,Monterey,Salinas,,"$4,254","$3,549","$2,168",,$705,$909,,,,,,,$472,,,,,,,,,,,,,
CA,Napa,St. Helena,9/30/15,,"$45,840","$38,460","$4,100","$6,440",$940,"$1,540","$15,100",,,"$2,200","$4,120","$6,400","$5,000",CA,Napa,St. Helena,,"$28,240","$24,930","$2,490","$2,610",$700,$730,"$12,850",,,"$1,100","$2,060","$3,200","$2,500",CA,Napa,St. Helena,,"$39,970","$32,650","$22,030","$6,390",$930,"$1,740",,,,"$1,100","$2,060",$510,"$5,210",CA,Napa,St. Helena,,"$18,940","$15,170","$5,650","$3,310",$460,"$1,740",,,,"$1,100","$2,060",$510,"$4,110",CA,Napa,St. Helena,,"$14,490","$9,460","$3,590","$4,410",$620,"$1,740",,,,"$1,100","$1,260",$510,"$1,260",,,,,,,,,,,,,
CA,Orange,Brea,9/30/15,,"$26,810","$12,876","$1,974","$13,934",,,"$9,818",,"$1,029",$55,,,,CA,Orange,Brea,,"$11,086","$7,835","$1,453","$3,251",,,"$5,611",,$731,$40,,,,CA,Orange,Brea,,"$4,825","$2,596","$2,350","$2,229",,,,,$191,$55,,,,CA,Orange,Brea,,"$4,923","$2,694","$2,350","$2,229",,,,,$267,$77,,,,CA,Orange,Brea,,"$3,657","$1,428","$1,250","$2,229",,,,,$138,$40,,,,,,,,,,,,,,,,
CA,Placer,Rocklin,9/30/15,,"$16,116","$16,116","$6,578",,,$293,"$2,696",,,,"$6,549",,,CA,Placer,Rocklin,,"$10,443","$10,443","$4,100",,,$116,"$2,368",,,,"$3,859",,,CA,Placer,Rocklin,,"$11,233","$11,233","$9,727",,,$106,,,,,"$1,400",,,CA,Placer,Rocklin,,"$13,424","$13,424","$11,410",,,$64,,,,,"$1,950",,,CA,Placer,Rocklin,,"$7,027","$7,027","$5,951",,,$106,,,,,$970,,,,,,,,,,,,,,,
CA,Sacramento,Citrus Heights,9/30/15,,"$17,296","$9,846","$2,593",,"$7,450","$1,894","$1,079",,,,,"$4,280",,CA,Sacramento,Citrus Heights,,"$6,171","$4,929","$2,124",,"$1,242",,$665,,,,,"$2,140",,CA,Sacramento,Citrus Heights,,"$8,670","$7,478","$6,188",,"$1,192",,$180,,,,,$340,$770,CA,Sacramento,Citrus Heights,,"$7,904","$6,712","$5,032",,"$1,192",,$370,,,,,$340,$970,CA,Sacramento,Citrus Heights,,"$6,322","$5,130","$4,440",,"$1,192",,$90,,,,,$340,$260,,,,,,,,,,,,,
