State,County,Jurisdiction,Notes,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGovt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGovt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGovt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGovt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGovt,Schools,Other,,Admin Fee
AZ,Maricopa,Gilbert,,,"$7,530","$2,219",$143,"$2,779","$2,532",,"$1,015",,$334,$395,$332,,,AZ,Maricopa,Gilbert,,"$5,380","$2,034",$100,"$1,624","$1,722",,$873,,$334,$395,$332,,,AZ,Maricopa,Gilbert,,"$1,676","$1,110",$540,$296,$270,,,,$180,$210,$180,,,AZ,Maricopa,Gilbert,,"$1,346",$780,$210,$296,$270,,,,$180,$210,$180,,,AZ,Maricopa,Gilbert,,"$1,276",$710,$140,$296,$270,,,,$180,$210,$180,,,,
AZ,Maricopa,Glendale,,,"$7,887","$3,840",$613,"$2,370","$1,677",,"$1,091",$514,$339,$359,$660,,$264,AZ,Maricopa,Glendale,,"$3,117","$2,566",$372,$366,$185,,$790,$372,$245,$260,$478,,$49,AZ,Maricopa,Glendale,,"$3,447","$3,002","$1,907",$261,$184,,,,$178,$390,$469,,$58,AZ,Maricopa,Glendale,,"$2,610","$2,165",$913,$261,$184,,,,$268,$187,$708,,$89,AZ,Maricopa,Glendale,,"$1,960","$1,515",$649,$261,$184,,,,$185,$132,$488,,$61,,
AZ,Maricopa,Goodyear,,,"$7,417","$3,328",$739,"$2,955","$1,134",,"$1,065",$205,$385,$290,$351,,$293,AZ,Maricopa,Goodyear,,"$7,008","$2,919",$512,"$2,955","$1,134",,$990,$191,$358,$269,$327,,$272,AZ,Maricopa,Goodyear,,"$3,561","$3,023","$1,371",$368,$170,,,,$178,"$1,036",$239,,$199,AZ,Maricopa,Goodyear,,"$2,905","$2,367",$803,$368,$170,,,,$277,$607,$371,,$309,AZ,Maricopa,Goodyear,,"$1,465",$927,$215,$368,$170,,,,$159,$163,$213,,$177,,
AZ,Maricopa,Mesa,,,"$3,603","$1,637",,$907,"$1,059",,$696,$378,$145,$160,,,$258,AZ,Maricopa,Mesa,,"$2,542","$1,146",,$644,$752,,$494,$268,$103,$160,,,$121,AZ,Maricopa,Mesa,,"$1,397","$1,083",,$145,$169,,,,$423,$660,,,,AZ,Maricopa,Mesa,,$874,$560,,$145,$169,,,,$219,$341,,,,AZ,Maricopa,Mesa,,$688,$374,,$145,$169,,,,$146,$228,,,,,
AZ,Maricopa,Peoria,,,"$12,453","$6,662","$4,028","$3,795","$1,996",,"$1,361",$294,$275,$186,$518,,,AZ,Maricopa,Peoria,,"$7,040","$4,454","$2,791",$590,"$1,996",,$859,$186,$174,$118,$326,,,AZ,Maricopa,Peoria,,"$22,825","$15,767","$14,339",$405,"$6,653",,,,$197,$861,$370,,,AZ,Maricopa,Peoria,,"$7,135","$5,898","$4,757",$405,$832,,,,$297,$286,$558,,,AZ,Maricopa,Peoria,,"$4,437","$3,699","$2,934",$405,$333,,,,$204,$176,$385,,,,
AZ,Maricopa,Phoenix,,,"$11,568","$6,181","$3,755","$3,551","$1,836",,"$1,472",$271,$146,$96,$79,,$362,AZ,Maricopa,Phoenix,,"$6,646","$3,266","$2,403","$2,095","$1,285",,$559,$122,$99,$40,$36,,$7,AZ,Maricopa,Phoenix,,"$15,419","$9,120","$8,637","$4,261","$2,038",,$206,$49,$86,$62,$80,,,AZ,Maricopa,Phoenix,,"$11,300","$8,751","$8,186","$1,704",$845,,$280,$68,$86,$62,$69,,,AZ,Maricopa,Phoenix,,"$4,833","$3,609","$3,229",$710,$514,,$162,$38,$86,$62,$32,,,,
AZ,Mariciopa,Scottsdale,,,"$6,567",$906,,"$3,055","$2,606",$906,,,,,,,,AZ,Mariciopa,Scottsdale,,"$4,387",$302,,"$1,909","$2,176",$302,,,,,,,,AZ,Mariciopa,Scottsdale,,"$1,461",$555,,$489,$417,$555,,,,,,,,AZ,Mariciopa,Scottsdale,,"$1,239",$333,,$489,$417,$333,,,,,,,,AZ,Mariciopa,Scottsdale,,"$1,461",$555,,$489,$417,$555,,,,,,,,,0.5%
AZ,Maricopa,Suprise ,,,"$7,509","$2,679",$524,"$2,594","$2,236",,"$1,356",,,$445,$354,,,AZ,Maricopa,Suprise ,,"$2,529","$1,888",$369,$399,$242,,$956,,,$314,$249,,,AZ,Maricopa,Suprise ,,"$1,853","$1,422",$394,$197,$234,,,,$762,,$266,,,AZ,Maricopa,Suprise ,,"$2,267","$1,836",$634,$197,$234,,,,,$774,$428,,,AZ,Maricopa,Suprise ,,"$1,601","$1,170",$410,$197,$234,,,,,$483,$277,,,,
AZ,Maricopa,Tempe,,,"$2,824",,,"$1,266","$1,558",,,,,,,,,AZ,Maricopa,Tempe,,"$2,854",,,"$1,266","$1,588",,,,,,,,,AZ,Maricopa,Tempe,,$494,,,$222,$273,,,,,,,,,AZ,Maricopa,Tempe,,$494,,,$222,$273,,,,,,,,,AZ,Maricopa,Tempe,,$494,,,$222,$273,,,,,,,,,,
AZ,Mohave,Bullhead City,,,$270,,,$270,,,,,,,,,,AZ,Mohave,Bullhead City,,$224,,,$224,,,,,,,,,,AZ,Mohave,Bullhead City,,$43,,,$43,,,,,,,,,,AZ,Mohave,Bullhead City,,$43,,,$43,,,,,,,,,,AZ,Mohave,Bullhead City,,$43,,,$43,,,,,,,,,,,
AZ,Navajo,Show Low,,,"$3,871",$856,,$907,"$2,108",,$293,$280,,$283,,,,AZ,Navajo,Show Low,,"$2,487",$678,,$140,"$1,669",,$343,$111,,$224,,,,AZ,Navajo,Show Low,,$418,,,$97,$322,,,,,,,,,AZ,Navajo,Show Low,,$418,,,$97,$322,,,,,,,,,AZ,Navajo,Show Low,,$418,,,$97,$322,,,,,,,,,,
AZ,Pima,Pima County,,,"$2,500","$2,500","$2,500",,,,,,,,,,,AZ,Pima,Pima County,,"$2,500","$2,500","$2,500",,,,,,,,,,,AZ,Pima,Pima County,,"$1,265","$1,265","$1,265",,,,,,,,,,,AZ,Pima,Pima County,,"$1,270","$1,270","$1,270",,,,,,,,,,,AZ,Pima,Pima County,,"$1,609","$1,609","$1,609",,,,,,,,,,,,
AZ,Pima,Marana,,,"$2,435","$2,435","$2,435",,,,,,,,,,,AZ,Pima,Marana,,"$1,826","$1,826","$1,826",,,,,,,,,,,AZ,Pima,Marana,,,,,,,,,,,,,,,AZ,Pima,Marana,,,,,,,,,,,,,,,AZ,Pima,Marana,,,,,,,,,,,,,,,,
AZ,Pima,Oro Valley,,,"$4,202","$2,128","$2,128","$2,074",,,,,,,,,,AZ,Pima,Oro Valley,,"$2,614","$1,596","$1,596","$1,018",,,,,,,,,,AZ,Pima,Oro Valley,,$698,,,$698,,,,,,,,,,AZ,Pima,Oro Valley,,$653,,,$653,,,,,,,,,,AZ,Pima,Oro Valley,,$653,,,$653,,,,,,,,,,,
AZ,Pima,Tucson,,,"$1,416",,,"$1,416",,,,,,,,,,AZ,Pima,Tucson,,$330,,,$330,,,,,,,,,,AZ,Pima,Tucson,,$227,,,$227,,,,,,,,,,AZ,Pima,Tucson,,$227,,,$227,,,,,,,,,,AZ,Pima,Tucson,,$227,,,$227,,,,,,,,,,,
AZ,Pinal,Apache Junction,,,"$5,448","$2,527","$1,485",$921,"$2,000",,$564,$262,,$133,$83,,,AZ,Pinal,Apache Junction,,"$2,190","$2,031","$1,029",$107,$52,,$542,$252,,$128,$80,,,AZ,Pinal,Apache Junction,,"$4,854","$4,387","$3,859",$147,$320,,,,,$325,$203,,,AZ,Pinal,Apache Junction,,"$2,543","$2,076","$1,709",$147,$320,,,,,$226,$141,,,AZ,Pinal,Apache Junction,,"$1,804","$1,337","$1,082",$147,$320,,,,,$157,$98,,,,
AZ,Pinal,Casa Grande,,,"$2,864","$1,473",$94,,"$1,391",$507,,$204,$324,$231,$113,,,AZ,Pinal,Casa Grande,,"$1,194","$1,045",$65,,$149,,$360,$145,$230,$164,$81,,,AZ,Pinal,Casa Grande,,"$1,035",$812,$309,,$223,,,,$144,$282,$77,,,AZ,Pinal,Casa Grande,,$752,$529,$102,,$223,,,,$217,$93,$117,,,AZ,Pinal,Casa Grande,,$574,$351,$63,,$223,,,,$150,$57,$81,,,,
AZ,Pinal,Florence,,,"$2,400",,,"$1,500",$900,,,,,,,,,AZ,Pinal,Florence,,"$1,970",,,"$1,230",$740,,,,,,,,,AZ,Pinal,Florence,,$455,,,$252,$203,,,,,,,,,AZ,Pinal,Florence,,$455,,,$252,$203,,,,,,,,,AZ,Pinal,Florence,,$455,,,$252,$203,,,,,,,,,,
AZ,Pinal,Queen Creek,,,"$7,309","$4,630",,,"$2,679",,"$3,229",$616,,$185,$600,,,AZ,Pinal,Queen Creek,,"$4,857","$4,562",,,$295,,"$3,182",$607,,$182,$591,,,AZ,Pinal,Queen Creek,,$730,$444,,,$286,,,,,$51,$393,,,AZ,Pinal,Queen Creek,,$896,$610,,,$286,,,,,$17,$593,,,AZ,Pinal,Queen Creek,,$705,$419,,,$286,,,,,$10,$409,,,,
AZ,Yavapai,Chino Valley,,,"$3,835","$3,835","$2,519",,,,$455,$122,$358,$252,$129,,,AZ,Yavapai,Chino Valley,,"$2,663","$2,663","$1,347",,,,$455,$122,$358,$252,$129,,,AZ,Yavapai,Chino Valley,,"$1,180","$1,180",$800,,,,,,$180,$130,$70,,,AZ,Yavapai,Chino Valley,,"$1,180","$1,180",$800,,,,,,$180,$130,$70,,,AZ,Yavapai,Chino Valley,,"$2,670","$2,670","$2,290",,,,,,$180,$130,$70,,,,
AZ,Yavapai,Prescott,,,"$2,364","$2,364",$469,,,,"$1,116",$253,$167,$84,$275,,,AZ,Yavapai,Prescott,,"$2,364","$2,364",$469,,,,"$1,116",$253,$167,$84,$275,,,AZ,Yavapai,Prescott,,,,,,,,,,,,,,,AZ,Yavapai,Prescott,,,,,,,,,,,,,,,AZ,Yavapai,Prescott,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Yolo,Davis,,,"$15,596","$12,013","$5,227","$2,198","$1,385",$376,"$3,261",,$745,,"$1,843",,$561,CA,Yolo,Davis,,"$10,366","$8,189","$3,192","$1,220",$957,$105,"$2,489",,$568,,"$1,407",,$428,CA,Yolo,Davis,,"$7,309","$7,309","$6,536",varies,varies,$72,$237,,$132,,$291,,$41,CA,Yolo,Davis,,"$2,790","$2,790","$1,677",varies,varies,$72,$237,,$405,,$358,,$41,CA,Yolo,Davis,,$498,$498,$155,varies,varies,$72,$62,,$105,,$93,,$11,,
CA,El Dorado,El Dorado Co,,,"$36,658","$24,237","$11,149","$6,613","$5,808",,"$2,762",,$900,,,"$8,541",$885,CA,El Dorado,El Dorado Co,,"$25,092","$15,776","$7,810","$4,960","$4,356",,"$3,670",,$250,,,"$3,382",$664,CA,El Dorado,El Dorado Co,,"$8,165","$8,165","$8,165",varies,varies,,,,,,,,,CA,El Dorado,El Dorado Co,,"$8,165","$8,165","$8,165",varies,varies,,,,,,,,,CA,El Dorado,El Dorado Co,,"$3,125","$3,125","$3,125",varies,varies,,,,,,,,,,
CA,Los Angeles,Lancaster,,,"$8,087","$8,087","$1,754",,,"$2,512","$2,346",$556,,,$119,$800,varies,CA,Los Angeles,Lancaster,,"$5,485","$5,485","$1,614",,,"$1,256","$2,096",,,,$119,$400,,CA,Los Angeles,Lancaster,,"$1,793","$1,793","$1,250",,,$500,,,,,$43,,,CA,Los Angeles,Lancaster,,"$1,793","$1,793","$1,250",,,$500,,,,,$43,,,CA,Los Angeles,Lancaster,,"$1,033","$1,033",$490,,,$500,,,,,$43,,,,
CA,Sacramento,Sacramento,,,"$19,764","$14,205","$1,600","$1,059","$4,500","$6,000","$1,707",,,,,"$3,680","$1,218",CA,Sacramento,Sacramento,,"$8,511","$4,920",$634,$216,"$3,375","$2,500","$1,037",,,,,,$749,CA,Sacramento,Sacramento,,"$8,734","$7,845",$590,$169,$720,"$4,591",$620,,,,,,"$2,043",CA,Sacramento,Sacramento,,"$6,593","$5,704",$756,$169,$720,"$2,755",$452,,,,,,"$1,742",CA,Sacramento,Sacramento,,"$7,565","$6,676",$417,$169,$720,"$3,826",$560,,,,,,"$1,873",,
CA,San Diego,San Diego,,,"$18,606","$11,602",,"$4,504","$2,500",,,,,,,,"$11,602",CA,San Diego,San Diego,,"$8,294","$8,294",,,,,,,,,,,"$8,294",CA,San Diego,San Diego,,"$9,763","$9,763",,,,,,,,,,,"$9,763",CA,San Diego,San Diego,,"$6,534","$6,534",,,,,,,,,,,"$6,534",CA,San Diego,San Diego,,"$7,858","$7,858",,,,,,,,,,,"$7,858",,
CA,San Francisco,San Francisco,,,"$5,256","$2,580",,"$2,676",,,,,,,,"$2,580",,CA,San Francisco,San Francisco,,"$3,536",$860,,"$2,676",,,,,,,,$860,,CA,San Francisco,San Francisco,,"$11,580","$11,580",,,,,,,,,,$240,"$11,340",CA,San Francisco,San Francisco,,"$19,580","$19,580","$5,000",,,,"$2,000",,,,,$240,"$12,340",CA,San Francisco,San Francisco,,"$11,580","$11,580",,,,,,,,,,$240,"$11,340",,
CA,Santa Cruz,Santa Cruz Co,,,"$13,000","$7,000","$4,000","$3,000","$3,000","$3,000",,,,,,,,CA,Santa Cruz,Santa Cruz Co,,"$11,800","$5,800","$2,800","$3,000","$3,000","$3,000",,,,,,,,CA,Santa Cruz,Santa Cruz Co,,"$28,780","$28,780","$27,280",varies,varies,"$1,500",,,,,,,,CA,Santa Cruz,Santa Cruz Co,,"$5,904","$5,904","$4,404",varies,varies,"$1,500",,,,,,,,CA,Santa Cruz,Santa Cruz Co,,"$4,288","$4,288","$2,788",varies,varies,"$1,500",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,Adams,Adams Co,,,"$1,599","$1,599","$1,599",,,,,,,,,,,CO,Adams,Adams Co,,$983,$983,$983,,,,,,,,,,,CO,Adams,Adams Co,,"$4,264","$4,264","$4,264",,,,,,,,,,,CO,Adams,Adams Co,,"$2,357","$2,357","$2,357",,,,,,,,,,,CO,Adams,Adams Co,,"$1,552","$1,552","$1,552",,,,,,,,,,,,
CO,Adams,Commerce City,,,"$1,181","$1,181","$1,181",,,,,,,,,,,CO,Adams,Commerce City,,$726,$726,$726,,,,,,,,,,,CO,Adams,Commerce City,,"$3,229","$3,229","$3,229",,,,,,,,,,,CO,Adams,Commerce City,,"$1,741","$1,741","$1,741",,,,,,,,,,,CO,Adams,Commerce City,,"$1,146","$1,146","$1,146",,,,,,,,,,,,
CO,Boulder,Boulder,,,"$20,923","$10,618","$1,794","$8,650","$1,655","$3,240","$2,033",$354,$189,$227,$236,"$2,080",$465,CO,Boulder,Boulder,,"$14,257","$6,013","$1,083","$6,920","$1,324","$1,620","$1,356",$236,$126,$151,$157,"$1,040",$244,CO,Boulder,Boulder,,"$5,879","$4,230","$1,575","$1,384",$265,"$1,620",,,$164,$164,$195,,$512,CO,Boulder,Boulder,,"$5,879","$4,230","$1,575","$1,384",$265,"$1,620",,,$164,$164,$195,,$512,CO,Boulder,Boulder,,"$5,879","$4,230","$1,575","$1,384",$265,"$1,620",,,$164,$164,$195,,$512,,
CO,Eagle,Eagle Co,,,"$3,433","$3,433","$1,600",,,,,,,,,"$1,833",,CO,Eagle,Eagle Co,,"$1,413","$1,413","$1,109",,,,,,,,,$304,,CO,Eagle,Eagle Co,,"$4,923","$4,923","$4,923",,,,,,,,,,,CO,Eagle,Eagle Co,,"$1,840","$1,840","$1,840",,,,,,,,,,,CO,Eagle,Eagle Co,,"$1,166","$1,166","$1,166",,,,,,,,,,,,
CO,Eagle,Basalt,,,"$14,465","$7,565",$500,"$3,400","$3,500",,"$5,178",,,,,"$1,887",,CO,Eagle,Basalt,,"$10,918","$5,958",$250,"$2,160","$2,800",,"$3,698",,,,,"$2,010",,CO,Eagle,Basalt,,"$4,157","$2,259",$250,$690,"$1,208",,"$1,509",,,,,,$500,CO,Eagle,Basalt,,"$4,502","$1,656",$250,"$1,035","$1,811",,$906,,,,,,$500,CO,Eagle,Basalt,,"$3,682","$2,259",$250,$518,$906,,"$1,509",,,,,,$500,,
CO,Eagle,Eagle,,,"$2,072","$2,072",$922,,,,,,"$1,150",,,,,CO,Eagle,Eagle,,"$1,736","$1,736",$586,,,,,,"$1,150",,,,,CO,Eagle,Eagle,,"$1,497","$1,497",$922,,,,,,$575,,,,,CO,Eagle,Eagle,,"$1,497","$1,497",$922,,,,,,$575,,,,,CO,Eagle,Eagle,,$750,$750,$175,,,,,,$575,,,,,,
,,,,"Single-Family (3-BR, 2,000 sf, on 10,000 sq. ft. lot at density of 4 UPA and value of $200,000)",,,,,,,,,,,,,,,,,"Multi-Family (2 BR; 1,000 sq. ft.; 12 UPA; $100,000 value; 7-2"" meters (2 for irrigation) for 240-unit complex)",,,,,,,,,,,,,,,,,"Retail (per 1,000 sq. ft. based on 100,000 sq. ft. shopping center; 0.15 FAR; 3"" meter)",,,,,,,,,,,,,,,,,"Office (per 1,000 sq. ft. based on 100,000 sq. ft. general office building; 0.25 FAR; 3"" meter)",,,,,,,,,,,,,,,,,"Industrial (per 1,000 sq. ft. based on 100,000 sq. ft. building; 0.15 FAR; 3"" meter)",,,,,,,,,,,,,,,
State,County,Jurisdiction,Notes,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGovt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGovt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGovt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGovt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGovt,Schools,Other,,Admin Fee
CO,El Paso,Colorado Springs,,,"$7,667","$3,155",,"$3,774",$738,"$1,604",$834,,,,,$717,,CO,El Paso,Colorado Springs,,"$4,264","$1,634",,"$2,151",$479,$535,$591,,,,,$508,,CO,El Paso,Colorado Springs,,"$1,417",$982,,$176,$259,$982,,,,,,,,CO,El Paso,Colorado Springs,,"$1,024",$589,,$176,$259,$589,,,,,,,,CO,El Paso,Colorado Springs,,"$1,417",$982,,$176,$259,$982,,,,,,,,,
CO,Jefferson,Jefferson Co,,,"$1,436","$1,436","$1,436",,,,,,,,,,,CO,Jefferson,Jefferson Co,,"$1,194","$1,194","$1,194",,,,,,,,,,,CO,Jefferson,Jefferson Co,,"$3,120","$3,120","$3,120",,,,,,,,,,,CO,Jefferson,Jefferson Co,,"$2,010","$2,010","$2,010",,,,,,,,,,,CO,Jefferson,Jefferson Co,,$900,$900,$900,,,,,,,,,,,,
CO,Larimer,Larimer Co,,,"$3,172","$3,172","$1,913",,,,"$1,259",,,,,,,CO,Larimer,Larimer Co,,"$2,145","$2,145","$1,326",,,,$819,,,,,,,CO,Larimer,Larimer Co,,"$5,870","$5,870","$5,870",,,,,,,,,,,CO,Larimer,Larimer Co,,"$2,408","$2,408","$2,408",,,,,,,,,,,CO,Larimer,Larimer Co,,"$1,392","$1,392","$1,392",,,,,,,,,,,,
CO,Larimer,Loveland,,,"$16,791","$10,981","$3,112","$3,970","$1,840",$445,"$3,650",$904,$527,$365,$700,$688,$590,CO,Larimer,Loveland,,"$13,098","$8,962","$2,030","$2,436","$1,700",$196,"$3,650",$904,$527,$365,$700,,$590,CO,Larimer,Loveland,,"$13,440","$9,553","$7,924","$3,886",,$589,,,$350,$230,$460,,,CO,Larimer,Loveland,,"$9,637","$5,751","$4,357","$3,886",,$354,,,$350,$230,$460,,,CO,Larimer,Loveland,,"$7,069","$3,183","$2,259","$3,886",,$554,,,$120,$90,$160,,,,
CO,Larimer,Ft. Collins,,,"$17,300","$7,631","$2,137","$8,639","$1,030",$669,"$3,092",$489,$175,$121,$222,$726,,CO,Larimer,Ft. Collins,,"$10,800","$5,451","$1,474","$4,519",$830,$223,"$2,285",$361,$129,$89,$164,$726,,CO,Larimer,Ft. Collins,,"$10,608","$8,245","$7,064","$1,967",$396,$655,,,$188,$129,$209,,,CO,Larimer,Ft. Collins,,"$5,819","$3,456","$2,537","$1,967",$396,$393,,,$188,$129,$209,,,CO,Larimer,Ft. Collins,,"$4,692","$2,329","$1,529","$1,967",$396,$655,,,$52,$35,$58,,,,
CO,Pitken,Pitken Co,,,"$9,883","$9,883","$5,664",,,,"$3,150",,,,,"$1,069",,CO,Pitken,Pitken Co,,"$6,969","$6,969","$3,505",,,,"$3,150",,,,,$314,,CO,Pitken,Pitken Co,,"$11,683","$11,683","$11,683",,,,,,,,,,,CO,Pitken,Pitken Co,,"$3,921","$3,921","$3,921",,,,,,,,,,,CO,Pitken,Pitken Co,,"$2,059","$2,059","$2,059",,,,,,,,,,,,
CO,Weld,Weld Co,,,"$1,987","$1,987","$1,987",,,,,,,,,,,CO,Weld,Weld Co,,"$1,377","$1,377","$1,377",,,,,,,,,,,CO,Weld,Weld Co,,"$3,059","$3,059","$3,059",,,,,,,,,,,CO,Weld,Weld Co,,"$2,068","$2,068","$2,068",,,,,,,,,,,CO,Weld,Weld Co,,"$1,618","$1,618","$1,618",,,,,,,,,,,,
CO,Weld,Windsor,,,"$13,628","$5,028","$1,993","$6,000","$2,600",$730,"$2,305",,,,,,,CO,Weld,Windsor,,"$5,653","$4,644","$1,381",$669,$341,"$1,033","$2,230",,,,,,,CO,Weld,Windsor,,"$8,074","$6,882","$4,984",$832,$360,"$1,898",,,,,,,,CO,Weld,Windsor,,"$4,840","$3,648","$2,509",$832,$360,"$1,139",,,,,,,,CO,Weld,Windsor,,"$4,538","$3,346","$1,448",$832,$360,"$1,898",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
