,,,,"Single-Family Unit (3-BR, 2,000 sf, on 10,000 sq. ft. lot at density of 4 UPA and value of $200,000)",,,,,,,,,,,,,,,,,"Multi-Family Unit (2 bedroom, 1,000 sq. ft. unit, density of 12 UPA; $100,000 value; 7-2"" meters (2 for irrigation) for 240 unit complex)",,,,,,,,,,,,,,,,,"Retail per 1,000 sq. ft. (100,000 sq. ft. shopping center; 0.15 FAR; 3"" meter)",,,,,,,,,,,,,,,,,"Office per 1,000 sq. ft. (100,000 sq. ft. general office building; 0.25 FAR; 3"" meter)",,,,,,,,,,,,,,,,,"Industrial per 1,000 sq. ft. (100,000 sq. ft. building; 0.15 FAR; 3"" meter)",,,,,,,,,,,,,,
State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,
AZ,Maricopa,Buckeye,6/20/06,,"$7,412","$3,648",$319,"$2,302","$1,462",,"$1,446",$252,$964,$417,$250,,,AZ,Maricopa,Buckeye,,"$3,080","$2,679",$166,$248,$153,,"$1,092",$190,$728,$315,$188,,,AZ,Maricopa,Buckeye,,"$4,741","$4,354","$1,314",$240,$148,,,,$731,"$2,126",$183,,,AZ,Maricopa,Buckeye,,"$2,902","$2,515",$445,$240,$148,,,,"$1,080",$720,$270,,,AZ,Maricopa,Buckeye,,"$1,840","$1,453",$232,$240,$148,,,,$676,$376,$169,,,
AZ,Maricopa,Chandler,2/3/06,,"$13,587","$5,555","$2,353","$5,542","$2,490",,"$2,250",$0,$362,$296,$294,,,AZ,Maricopa,Chandler,,"$8,191","$3,792","$1,546","$2,934","$1,465",,"$1,294",$0,$362,$296,$294,,,AZ,Maricopa,Chandler,,"$7,347","$6,170","$5,630",$779,$398,,,,$200,$170,$170,,,AZ,Maricopa,Chandler,,"$5,177","$4,000","$3,460",$779,$398,,,,$200,$170,$170,,,AZ,Maricopa,Chandler,,"$4,207","$3,030","$2,490",$779,$398,,,,$200,$170,$170,,,
AZ,Maricopa,Fountain Hills,2/3/06,,"$3,495","$3,495",$609,,,,"$2,388",,,$32,$466,,,AZ,Maricopa,Fountain Hills,,"$3,212","$3,212",$326,,,,"$2,388",,,$32,$466,,,AZ,Maricopa,Fountain Hills,,$510,$510,$190,,,,,,,$20,$300,,,AZ,Maricopa,Fountain Hills,,$510,$510,$190,,,,,,,$20,$300,,,AZ,Maricopa,Fountain Hills,,$510,$510,$190,,,,,,,$20,$300,,,
AZ,Maricopa,Gilbert,2/3/06,,"$13,576","$4,573",$280,"$4,652","$4,351",,"$2,449",,$663,$586,$595,,,AZ,Maricopa,Gilbert,,"$9,745","$4,146",$196,"$2,642","$2,957",,"$2,106",,$663,$586,$595,,,AZ,Maricopa,Gilbert,,"$2,950","$2,012","$1,054",$474,$464,,,,$331,$312,$315,,,AZ,Maricopa,Gilbert,,"$2,273","$1,335",$377,$474,$464,,,,$331,$312,$315,,,AZ,Maricopa,Gilbert,,"$2,273","$1,335",$377,$474,$464,,,,$331,$312,$315,,,
AZ,Maricopa,Glendale,2/3/06,,"$9,780","$3,840",$613,"$4,200","$1,740",,"$1,091",$514,$339,$359,$660,,$264,AZ,Maricopa,Glendale,,"$3,407","$2,566",$372,$649,$192,,$790,$372,$245,$260,$478,,$49,AZ,Maricopa,Glendale,,"$3,655","$3,002","$1,907",$462,$191,,,,$178,$390,$469,,$58,AZ,Maricopa,Glendale,,"$2,818","$2,165",$913,$462,$191,,,,$268,$187,$708,,$89,AZ,Maricopa,Glendale,,"$2,168","$1,515",$649,$462,$191,,,,$185,$132,$488,,$61,
AZ,Maricopa,Goodyear,6/27/06,,"$9,465","$3,710",$824,"$3,803","$1,952",,"$1,187",$229,$429,$323,$391,,$327,AZ,Maricopa,Goodyear,,"$3,810","$3,255",$571,$338,$217,,"$1,104",$213,$399,$300,$365,,$303,AZ,Maricopa,Goodyear,,"$4,054","$3,370","$1,530",$476,$208,,,,$200,"$1,150",$270,,$220,AZ,Maricopa,Goodyear,,"$3,324","$2,640",$900,$476,$208,,,,$310,$680,$410,,$340,AZ,Maricopa,Goodyear,,"$1,724","$1,040",$240,$476,$208,,,,$180,$180,$240,,$200,
AZ,Maricopa,Litchfield Park,6/10/05,,,,,,,,,,,,,,,AZ,Maricopa,Litchfield Park,,"$1,500","$1,500",,,,,"$1,500",,,,,,,AZ,Maricopa,Litchfield Park,,,,,,,,,,,,,,,AZ,Maricopa,Litchfield Park,,,,,,,,,,,,,,,AZ,Maricopa,Litchfield Park,,,,,,,,,,,,,,,
AZ,Maricopa,Mesa,2/3/06,,"$5,763","$2,728",,"$1,011","$2,024",$158,$962,$424,$145,$226,$446,,$367,AZ,Maricopa,Mesa,,"$3,685","$1,820",,$576,"$1,289",$84,$683,$301,$103,$160,$291,,$198,AZ,Maricopa,Mesa,,"$1,569","$1,083",,$162,$324,,,,$423,$660,,,,AZ,Maricopa,Mesa,,"$1,046",$560,,$162,$324,,,,$219,$341,,,,AZ,Maricopa,Mesa,,$860,$374,,$162,$324,,,,$146,$228,,,,
AZ,Maricopa,Peoria,1/16/07,,"$12,353","$7,011","$3,592","$3,289","$2,053",,"$1,896",$369,$415,$200,$539,,,AZ,Maricopa,Peoria,,"$4,906","$4,210","$2,489",$488,$208,,$859,$186,$243,$117,$316,,,AZ,Maricopa,Peoria,,"$16,931","$16,399","$14,339",$333,$198,,,,$356,"$1,334",$370,,,AZ,Maricopa,Peoria,,"$6,722","$6,190","$4,757",$333,$198,,,,$447,$381,$605,,,AZ,Maricopa,Peoria,,"$4,447","$3,915","$2,934",$333,$198,,,,$329,$235,$417,,,
AZ,Maricopa,Phoenix,12/7/06,,"$10,733","$5,837","$2,176","$3,136","$1,760",,"$2,788",$318,$136,$197,$40,,$182,AZ,Maricopa,Phoenix,,"$4,971","$4,239",$760,$299,$433,"$2,198",$989,$120,$111,$49,$12,,,AZ,Maricopa,Phoenix,,"$7,656","$6,167","$3,922",$609,$880,"$2,144",,,,$61,$40,,,AZ,Maricopa,Phoenix,,"$6,508","$5,912","$3,679",$244,$352,"$2,145",,,,$62,$26,,,AZ,Maricopa,Phoenix,,"$3,659","$3,410","$1,102",$102,$147,"$2,176",,,$45,$87,,,,
