State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,
AZ,Maricopa,Glendale,1/5/05,,"$7,887","$3,840",$613,"$2,370","$1,677",,"$1,091",$514,$339,$359,$660,,$264,AZ,Maricopa,Glendale,,"$3,117","$2,566",$372,$366,$185,,$790,$372,$245,$260,$478,,$49,AZ,Maricopa,Glendale,,"$3,447","$3,002","$1,907",$261,$184,,,,$178,$390,$469,,$58,AZ,Maricopa,Glendale,,"$2,610","$2,165",$913,$261,$184,,,,$268,$187,$708,,$89,AZ,Maricopa,Glendale,,"$1,960","$1,515",$649,$261,$184,,,,$185,$132,$488,,$61,
AZ,Maricopa,Goodyear,6/21/04,,"$8,135","$3,328",$739,"$2,955","$1,852",,"$1,065",$205,$385,$290,$351,,$293,AZ,Maricopa,Goodyear,,"$3,453","$2,919",$512,$328,$206,,$990,$191,$358,$269,$327,,$272,AZ,Maricopa,Goodyear,,"$3,588","$3,023","$1,371",$368,$198,,,,$178,"$1,036",$239,,$199,AZ,Maricopa,Goodyear,,"$2,932","$2,367",$803,$368,$198,,,,$277,$607,$371,,$309,AZ,Maricopa,Goodyear,,"$1,492",$927,$215,$368,$198,,,,$159,$163,$213,,$177,
AZ,Maricopa,Mesa,1/5/05,,"$3,804","$1,838",,$907,"$1,059",,$831,$378,$145,$226,,,$258,AZ,Maricopa,Mesa,,"$2,638","$1,242",,$644,$752,,$590,$268,$103,$160,,,$121,AZ,Maricopa,Mesa,,"$1,397","$1,083",,$145,$169,,,,$423,$660,,,,AZ,Maricopa,Mesa,,$874,$560,,$145,$169,,,,$219,$341,,,,AZ,Maricopa,Mesa,,$688,$374,,$145,$169,,,,$146,$228,,,,
AZ,Maricopa,Peoria,1/5/05,,"$13,555","$7,447","$4,028","$4,055","$2,053",,"$1,896",$369,$415,$200,$539,,,AZ,Maricopa,Peoria,,"$7,097","$4,454","$2,791",$590,"$2,053",,$859,$186,$174,$118,$326,,,AZ,Maricopa,Peoria,,"$23,015","$15,767","$14,339",$405,"$6,843",,,,$197,$861,$370,,,AZ,Maricopa,Peoria,,"$7,158","$5,898","$4,757",$405,$855,,,,$297,$286,$558,,,AZ,Maricopa,Peoria,,"$4,446","$3,699","$2,934",$405,$342,,,,$204,$176,$385,,,
AZ,Maricopa,Phoenix,10/4/04,,"$7,711","$5,008","$1,236","$1,719",$984,$531,"$2,496",$265,$125,$141,$36,,$178,AZ,Maricopa,Phoenix,,"$4,971","$4,239",$760,$299,$433,"$2,198",$989,$120,$111,$49,$12,,,AZ,Maricopa,Phoenix,,"$7,652","$6,163","$3,922",$609,$880,"$2,144",,,,$61,$36,,,AZ,Maricopa,Phoenix,,"$6,508","$5,912","$3,679",$244,$352,"$2,145",,,,$62,$26,,,AZ,Maricopa,Phoenix,,"$3,659","$3,410","$1,102",$102,$147,"$2,176",,,$45,$87,,,,
AZ,Mariciopa,Scottsdale,1/30/05,,"$7,084",$906,,"$3,464","$2,714",$906,,,,,,,,AZ,Mariciopa,Scottsdale,,"$4,555",$302,,"$1,987","$2,266",$302,,,,,,,,AZ,Mariciopa,Scottsdale,,"$1,543",$555,,$554,$434,$555,,,,,,,,AZ,Mariciopa,Scottsdale,,"$1,321",$333,,$554,$434,$333,,,,,,,,AZ,Mariciopa,Scottsdale,,"$1,543",$555,,$554,$434,$555,,,,,,,,
AZ,Maricopa,Suprise ,1/30/05,,"$9,050","$3,470",$885,"$3,335","$2,245",,"$1,127",$266,$454,$424,$314,,,AZ,Maricopa,Suprise ,,"$3,368","$2,613",$437,$513,$241,,$948,$224,$382,$357,$265,,,AZ,Maricopa,Suprise ,,"$4,046","$3,457",$512,$356,$234,,,,"$1,053","$1,659",$233,,,AZ,Maricopa,Suprise ,,"$3,670","$3,081",$687,$356,$234,,,,"$1,505",$556,$333,,,AZ,Maricopa,Suprise ,,"$2,543","$1,954",$474,$356,$234,,,,$973,$292,$215,,,
AZ,Maricopa,Tempe,1/5/05,,"$2,824",,,"$1,266","$1,558",,,,,,,,,AZ,Maricopa,Tempe,,"$2,854",,,"$1,266","$1,588",,,,,,,,,AZ,Maricopa,Tempe,,$494,,,$222,$273,,,,,,,,,AZ,Maricopa,Tempe,,$494,,,$222,$273,,,,,,,,,AZ,Maricopa,Tempe,,$494,,,$222,$273,,,,,,,,,
AZ,Navajo,Show Low,1/6/05,,"$3,640",$630,,$696,"$2,314",,$476,$154,,,,,,AZ,Navajo,Show Low,,"$2,484",$499,,$153,"$1,832",,$377,$122,,,,,,AZ,Navajo,Show Low,,$459,,,$106,$353,,,,,,,,,AZ,Navajo,Show Low,,$459,,,$106,$353,,,,,,,,,AZ,Navajo,Show Low,,$459,,,$106,$353,,,,,,,,,
AZ,Pima,Pima County,1/6/05,,"$6,497","$5,081","$3,581","$1,416",,,"$1,500",,,,,,,AZ,Pima,Pima County,,"$4,515","$4,185","$2,685",$330,,,"$1,500",,,,,,,AZ,Pima,Pima County,,"$2,424","$2,197","$2,197",$227,,,,,,,,,,AZ,Pima,Pima County,,"$1,526","$1,299","$1,299",$227,,,,,,,,,,AZ,Pima,Pima County,,"$1,873","$1,646","$1,646",$227,,,,,,,,,,
