State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other
AR,Benton,Bentonville,9/2/08,,"$3,358",$762,,"$1,457","$1,139",,,,$762,,,,,AR,Benton,Bentonville,,"$1,526",$548,,$118,$860,,,,$548,,,,,AR,Benton,Bentonville,,$655,$240,,$233,$182,,,,$240,,,,,AR,Benton,Bentonville,,$775,$360,,$233,$182,,,,$360,,,,,AR,Benton,Bentonville,,$635,$220,,$233,$182,,,,$220,,,,
AR,Benton,Lowell,9/2/08,,$754,$504,,,$250,,,,$504,,,,,AR,Benton,Lowell,,$415,$373,,,$42,,,,$373,,,,,AR,Benton,Lowell,,$504,$455,,,$49,,,,$455,,,,,AR,Benton,Lowell,,$698,$649,,,$49,,,,$649,,,,,AR,Benton,Lowell,,$469,$420,,,$49,,,,$420,,,,
AR,Faulkner,Conway,9/2/08,,"$1,698","$1,698","$1,039",,,,$659,,,,,,,AR,Faulkner,Conway,,"$1,218","$1,218",$771,,,,$447,,,,,,,AR,Faulkner,Conway,,"$1,915","$1,915","$1,915",,,,,,,,,,,AR,Faulkner,Conway,,"$1,280","$1,280","$1,280",,,,,,,,,,,AR,Faulkner,Conway,,$808,$808,$808,,,,,,,,,,
AR,Washington,Fayetteville,9/2/08,,"$1,455",$312,,$308,$835,,,,$150,$162,,,,AR,Washington,Fayetteville,,"$1,124",$312,,$219,$593,,,,$150,$162,,,,AR,Washington,Fayetteville,,$864,$681,,$49,$134,,,,$293,$388,,,,AR,Washington,Fayetteville,,$864,$681,,$49,$134,,,,$293,$388,,,,AR,Washington,Fayetteville,,$455,$272,,$49,$134,,,,$117,$155,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Cochise,Sierra Vista,9/2/08,,"$4,818","$4,818","$1,454",,,,"$1,888",$579,$414,$483,,,,AZ,Cochise,Sierra Vista,,"$3,345","$3,345","$1,021",,,,"$1,304",$400,$287,$333,,,,AZ,Cochise,Sierra Vista,,"$3,130","$3,130","$2,670",,,,,,$230,$230,,,,AZ,Cochise,Sierra Vista,,"$1,230","$1,230","$1,080",,,,,,$70,$80,,,,AZ,Cochise,Sierra Vista,,$720,$720,$640,,,,,,$40,$40,,,
AZ,Gila,Payson,9/30/08,,"$10,305","$2,735","$1,235","$7,570",,,"$1,000",,,$500,,,,AZ,Gila,Payson,,"$8,413","$2,735","$1,235","$5,678",,,"$1,000",,,$500,,,,AZ,Gila,Payson,,"$1,009",,,"$1,009",,,,,,,,,,AZ,Gila,Payson,,"$1,514",,,"$1,514",,,,,,,,,,AZ,Gila,Payson,,"$1,514",,,"$1,514",,,,,,,,,
AZ,Gila,Sedona,9/2/08,,"$9,475","$9,475","$1,855",,,$642,"$6,426",,,$299,$253,,,AZ,Gila,Sedona,,"$7,518","$7,518","$1,303",, ,$241,"$5,502",,,$256,$216,,,AZ,Gila,Sedona,,"$9,000","$9,000","$7,640",,,$500, ,,,$560,$300,,,AZ,Gila,Sedona,,"$3,500","$3,500","$2,590",,,$300, ,,,$190,$420,,,AZ,Gila,Sedona,,"$2,220","$2,220","$1,350",,,$500, ,,,$100,$270,,
AZ,Maricopa,Avondale,9/2/08,,"$18,021","$7,277","$1,857","$5,251","$5,493",,"$2,501",$346,$996,$344,$929,,$304,AZ,Maricopa,Avondale,,"$7,308","$5,167","$1,137","$1,225",$916,,"$1,970",$273,$785,$271,$731,, ,AZ,Maricopa,Avondale,,"$8,091","$6,934","$3,960",$562,$595,,,,$723,"$1,380",$871,, ,AZ,Maricopa,Avondale,,"$4,914","$3,757","$1,286",$562,$595,,,,"$1,067",$411,$993,, ,AZ,Maricopa,Avondale,,"$3,325","$2,168",$672,$562,$595,,,,$668,$214,$614,, 
AZ,Maricopa,Buckeye,9/25/08,,"$7,412","$3,648",$319,"$2,302","$1,462",,"$1,446",$252,$964,$417,$250,,,AZ,Maricopa,Buckeye,,"$3,179","$2,679",$166,$347,$153,,"$1,092",$190,$728,$315,$188,,,AZ,Maricopa,Buckeye,,"$4,741","$4,354","$1,314",$240,$148,,,,$731,"$2,126",$183,,,AZ,Maricopa,Buckeye,,"$2,902","$2,515",$445,$240,$148,,,,"$1,080",$720,$270,,,AZ,Maricopa,Buckeye,,"$1,840","$1,453",$232,$240,$148,,,,$676,$376,$169,,
AZ,Maricopa,Chandler,9/2/08,,"$19,538","$10,932","$2,896","$6,040","$2,566",,"$6,658",,$564,$241,$573,,,AZ,Maricopa,Chandler,,"$11,815","$7,113","$1,904","$3,192","$1,510",,"$3,831",,$564,$241,$573,,,AZ,Maricopa,Chandler,,"$8,987","$7,730","$6,930",$847,$410,,,,$330,$140,$330,,,AZ,Maricopa,Chandler,,"$6,317","$5,060","$4,260",$847,$410,,,,$330,$140,$330,,,AZ,Maricopa,Chandler,,"$5,127","$3,870","$3,070",$847,$410,,,,$330,$140,$330,,
AZ,Maricopa,Fountain Hills,9/2/08,,"$5,114","$5,114","$1,291",,,,"$2,192",$163,$99,$441,$928,,,AZ,Maricopa,Fountain Hills,,"$4,588","$4,588",$765,,,,"$2,192",$163,$99,$441,$928,,,AZ,Maricopa,Fountain Hills,,"$3,000","$3,000","$2,081",,,,,,$62,$276,$581,,,AZ,Maricopa,Fountain Hills,,"$2,200","$2,200","$1,281",,,,,,$62,$276,$581,,,AZ,Maricopa,Fountain Hills,,$981,$981,$62,,,,,,$62,$276,$581,,
AZ,Maricopa,Gilbert,9/2/08,,"$18,505","$7,010",$415,"$6,050","$5,445",,"$4,185",,"$1,093",$615,$702,,,AZ,Maricopa,Gilbert,,"$12,041","$6,202",$291,"$2,565","$3,274",,"$3,599",,"$1,093",$615,$604,,,AZ,Maricopa,Gilbert,,"$4,467","$2,847","$1,562",$834,$786,,,,$583,$328,$374,,,AZ,Maricopa,Gilbert,,"$3,464","$1,844",$559,$834,$786,,,,$583,$328,$374,,,AZ,Maricopa,Gilbert,,"$3,303","$1,683",$398,$834,$786,,,,$583,$328,$374,,
AZ,Maricopa,Glendale,9/2/08,,"$14,780","$5,790","$1,160","$6,660","$2,330",,"$2,072",$606,$409,$395,$847,,$301,AZ,Maricopa,Glendale,,"$5,185","$3,898",$591,"$1,030",$257,,"$1,555",$455,$307,$297,$635,,$58,AZ,Maricopa,Glendale,,"$6,754","$5,765","$4,131",$733,$256,,,,$303,$578,$682,,$71,AZ,Maricopa,Glendale,,"$5,025","$4,036","$2,173",$733,$256,,,,$447,$304,"$1,007",,$105,AZ,Maricopa,Glendale,,"$3,364","$2,375","$1,228",$733,$256,,,,$280,$171,$630,,$66
AZ,Maricopa,Goodyear,9/2/08,,"$14,997","$5,998",$824,"$4,337","$4,662",,"$1,187",$229,$880,$323,"$1,584",,$971,AZ,Maricopa,Goodyear,,"$6,772","$5,587",$571,$670,$515,,"$1,104",$213,$880,$300,"$1,548",,$971,AZ,Maricopa,Goodyear,,"$5,380","$4,390","$1,530",$477,$513,,,,$440,"$1,150",$780,,$490,AZ,Maricopa,Goodyear,,"$4,280","$3,290",$900,$477,$513,,,,$440,$680,$780,,$490,AZ,Maricopa,Goodyear,,"$3,120","$2,130",$240,$477,$513,,,,$440,$180,$780,,$490
AZ,Maricopa,Mesa,9/2/08,,"$8,451","$3,572",,"$2,220","$2,659",$366,"$1,122",$464,$272,$402,$598,,$348,AZ,Maricopa,Mesa,,"$5,291","$2,510",,"$1,265","$1,516",$195,$802,$332,$230,$388,$377,,$186,AZ,Maricopa,Mesa,,"$1,878","$1,097",,$355,$425,$238,,,$215,$318,$326,,,AZ,Maricopa,Mesa,,"$1,878","$1,097",,$355,$425,$238,,,$215,$318,$326,,,AZ,Maricopa,Mesa,,"$1,878","$1,097",,$355,$425,$238,,,$215,$318,$326,,
AZ,Maricopa,Peoria,9/2/08,,"$18,874","$13,061","$8,160","$3,890","$1,923",,"$2,622",$277,$683,$452,$567,,$300,AZ,Maricopa,Peoria,,"$9,864","$9,099","$5,730",$571,$194,,"$1,802",$190,$470,$311,$390,,$206,AZ,Maricopa,Peoria,,"$20,696","$20,122","$18,490",$390,$184,,,,$654,$434,$544,,,AZ,Maricopa,Peoria,,"$8,511","$7,937","$6,305",$390,$184,,,,$654,$434,$544,,,AZ,Maricopa,Peoria,,"$5,871","$5,297","$3,665",$390,$184,,,,$654,$434,$544,,
AZ,Maricopa,Phoenix,9/4/08,,"$14,444","$7,304","$2,176","$4,694","$2,446",,"$4,018",$370,$322,$344,$74,, ,AZ,Maricopa,Phoenix,,"$4,971","$4,239",$760,$299,$433,"$2,198",$989,$120,$111,$49,$12,,,AZ,Maricopa,Phoenix,,"$7,691","$6,202","$3,922",$609,$880,"$2,144",,,,$61,$75,,,AZ,Maricopa,Phoenix,,"$6,508","$5,912","$3,679",$244,$352,"$2,145",,,,$62,$26,,,AZ,Maricopa,Phoenix,,"$3,659","$3,410","$1,102",$102,$147,"$2,176",,,$45,$87,,,
AZ,Maricopa,Scottsdale,9/4/08,,"$8,462",$906,,"$4,409","$3,147",$906,,,,,,,,AZ,Maricopa,Scottsdale,,"$5,458",$302,,"$2,529","$2,627",$302,,,,,,,,AZ,Maricopa,Scottsdale,,"$1,763",$555,,$705,$503,$555,,,,,,,,AZ,Maricopa,Scottsdale,,"$1,541",$333,,$705,$503,$333,,,,,,,,AZ,Maricopa,Scottsdale,,"$1,763",$555,,$705,$503,$555,,,,,,,
AZ,Maricopa,Surprise ,9/4/08,,"$14,602","$9,022","$3,704","$3,335","$2,245",,"$2,114",$467,$706,$372,$661,,$998,AZ,Maricopa,Surprise ,,"$6,891","$6,137","$2,601",$513,$241,,"$1,563",$345,$522,$275,$489,,$342,AZ,Maricopa,Surprise ,,"$10,873","$10,283","$7,674",$356,$234,,,,$693,$501,$556,,$859,AZ,Maricopa,Surprise ,,"$8,282","$7,693","$4,279",$356,$234,,,,"$1,241",$253,$996,,$924,AZ,Maricopa,Surprise ,,"$3,563","$2,973","$1,316",$356,$234,,,,$640,$78,$513,,$426
AZ,Maricopa,Tempe,9/26/08,,"$4,823",,,"$2,621","$2,202",,,,,,,,,AZ,Maricopa,Tempe,,"$1,712",,,"$1,070",$642,,,,,,,,,AZ,Maricopa,Tempe,,"$1,206",,,$655,$551,,,,,,,,,AZ,Maricopa,Tempe,,"$1,206",,,$655,$551,,,,,,,,,AZ,Maricopa,Tempe,,"$1,206",,,$655,$551,,,,,,,,
AZ,Mojave,Bullhead City,9/4/08,,$721,,,$721,,,,,,,,,,AZ,Mojave,Bullhead City,,$596, ,,$596,,,,,,,,,,AZ,Mojave,Bullhead City,,"$1,898",,,"$1,898",,,,,,,,,,AZ,Mojave,Bullhead City,,"$1,898",,,"$1,898",,,,,,,,,,AZ,Mojave,Bullhead City,,"$1,898",,,"$1,898",,,,,,,,,
