State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other
AZ,Navajo,Show Low,9/4/08,,"$5,054","$1,770","$1,083",$759,"$2,525",,$519,$168,,,,,,AZ,Navajo,Show Low,,"$4,153","$1,395",$851,$759,"$1,999",,$411,$133,,,,,,AZ,Navajo,Show Low,,"$1,218",$385,$717,$116,$385,,,,,,,,,AZ,Navajo,Show Low,,"$1,304",$385,$803,$116,$385,,,,,,,,,AZ,Navajo,Show Low,,"$1,012",$385,$511,$116,$385,,,,,,,,
AZ,Pima,Pima County,9/4/08,,"$11,255","$6,142","$4,545",,"$5,113",,"$1,597",,,,,,,AZ,Pima,Pima County,,"$5,761","$4,909","$3,409",,$852,,"$1,500",,,,,,,AZ,Pima,Pima County,,"$3,353","$2,535","$2,535",,$818,,,,,,,,,AZ,Pima,Pima County,,"$2,267","$1,449","$1,449",,$818,,,,,,,,,AZ,Pima,Pima County,,"$2,658","$1,840","$1,840",,$818,,,,,,,,
AZ,Pima,Marana,9/4/08,,"$9,944","$7,613","$4,585","$2,331",,,"$3,028",,,,,,,AZ,Pima,Marana,,"$8,157","$7,613","$4,585",$544,,,"$3,028",,,,,,,AZ,Pima,Marana,,$350,,,$350,,,,,,,,,,AZ,Pima,Marana,,$350,,,$350,,,,,,,,,,AZ,Pima,Marana,,$350,,,$350,,,,,,,,,
AZ,Pima,Oro Valley,9/4/08,,"$7,877","$3,040","$3,040","$4,837",,,,,,,,,,AZ,Pima,Oro Valley,,"$4,135","$2,280","$2,280","$1,855",,,,,, ,,,,AZ,Pima,Oro Valley,,$866,,,$866,,,,,,,,,,AZ,Pima,Oro Valley,,$866,,,$866,,,,,,,,,,AZ,Pima,Oro Valley,,$866,,,$866,,,,,,,,,
AZ,Pima,Tucson,9/4/08,,"$8,857","$7,329","$4,100","$1,528",,,"$1,640",,$469,$643,,,$477,AZ,Pima,Tucson,,"$4,402","$4,045","$2,050",$357,,,$820,,$346,$476,,,$353,AZ,Pima,Tucson,,"$4,322","$4,078","$4,078",$244,,,,,,,,,,AZ,Pima,Tucson,,"$5,089","$4,845","$4,845",$244,,,,,,,,,,AZ,Pima,Tucson,,"$2,335","$2,091","$2,091",$244,,,,,,,,,
AZ,Pinal,Apache Junction,9/4/08,,"$12,429","$9,508","$6,323",$921,"$2,000",,"$1,801",$721,,$294,$369,,,AZ,Pinal,Apache Junction,,"$7,349","$7,190","$4,440",$107,$52,,"$1,555",$622,,$254,$319,,,AZ,Pinal,Apache Junction,,"$15,537","$15,070","$13,220",$147,$320,,,,,"$1,740",$110,,,AZ,Pinal,Apache Junction,,"$5,477","$5,010","$4,330",$147,$320,,,,,$520,$160,,,AZ,Pinal,Apache Junction,,"$3,097","$2,630","$2,260",$147,$320,,,,,$270,$100,,
AZ,Pinal,Casa Grande,9/5/08,,"$11,120","$7,004","$2,007",,"$4,116",,,,$663,$339,$834,,"$3,161",AZ,Pinal,Casa Grande,,"$5,277","$4,835","$1,382",,$442,,,,$426,$228,$561,,"$2,238",AZ,Pinal,Casa Grande,,"$7,812","$7,384","$4,796",,$428,,,,$488,$431,$654,,"$1,015",AZ,Pinal,Casa Grande,,"$4,750","$4,322","$1,549",,$428,,,,$696,$128,$934,,"$1,015",AZ,Pinal,Casa Grande,,"$3,375","$2,947",$809,,$428,,,,$451,$67,$605,,"$1,015"
AZ,Pinal,Eloy,9/5/08,,"$4,188","$1,670",,"$1,391","$1,127",,$464,$130,,$309,$767,,,AZ,Pinal,Eloy,,"$1,845","$1,209",,$410,$226,,$336,$94,,$224,$555,,,AZ,Pinal,Eloy,,"$1,239",$990,,$141,$108,,,,,$385,$605,,,AZ,Pinal,Eloy,,"$1,133",$884,,$141,$108,,,,,$129,$755,,,AZ,Pinal,Eloy,,$806,$557,,$141,$108,,,,,$68,$489,,
AZ,Pinal,Florence,9/5/08,,"$5,535","$3,765",$114,$777,$993,,"$1,205",$450,$483,$513,$745,,$255,AZ,Pinal,Florence,,"$4,991","$3,221",$57,$777,$993,,"$1,032",$385,$414,$440,$638,,$255,AZ,Pinal,Florence,,"$1,284","$1,095",$470,$83,$106,,,,$325,$122,$178,,,AZ,Pinal,Florence,,"$1,287","$1,098",$269,$83,$106,,,,$432,$161,$236,,,AZ,Pinal,Florence,,$693,$504,$83,$83,$106,,,,$218,$82,$121,,
AZ,Pinal,Queen Creek,9/5/08,,"$15,569","$10,684",$709,,"$4,885",,"$5,579","$1,336",$655,$687,"$1,718",,,AZ,Pinal,Queen Creek,,"$8,101","$7,028",$466,,"$1,073",,"$3,670",$879,$431,$452,"$1,130",,,AZ,Pinal,Queen Creek,,"$7,387","$6,872","$4,354",,$515,,,,"$1,040",$222,"$1,256",,,AZ,Pinal,Queen Creek,,"$4,332","$3,817","$1,328",,$515,,,,$317,$319,"$1,853",,,AZ,Pinal,Queen Creek,,"$2,643","$2,128",$751,,$515,,,,$179,$38,"$1,160",,
AZ,Yavapai,Yavapai County,9/5/08,,"$3,400","$3,400","$3,400",,,,,,,,,,,AZ,Yavapai,Yavapai County,,"$3,400","$3,400","$3,400",,,,,,,,,,,AZ,Yavapai,Yavapai County,,,,,,,,,,,,,,,AZ,Yavapai,Yavapai County,,,,,,,,,,,,,,,AZ,Yavapai,Yavapai County,,,,,,,,,,,,,,
AZ,Yavapai,Chino Valley,9/5/08,,"$10,353","$4,538","$3,028",$854,"$4,961",,$546,$148,$358,$303,$155,,,AZ,Yavapai,Chino Valley,,"$4,091","$3,130","$1,620",$134,$827,,$546,$148,$358,$303,$155,,,AZ,Yavapai,Chino Valley,,"$2,811","$1,350",$940,$84,"$1,377",,,,$180,$160,$70,,,AZ,Yavapai,Chino Valley,,"$2,811","$1,350",$940,$84,"$1,377",,,,$180,$160,$70,,,AZ,Yavapai,Chino Valley,,"$4,541","$3,080","$2,670",$84,"$1,377",,,,$180,$160,$70,,
AZ,Yavapai,Prescott,9/5/08,,"$12,600","$3,227",$469,"$9,373",,,"$1,116",$253,$525,$589,$275,,,AZ,Yavapai,Prescott,,"$14,884","$3,227",$469,"$11,657",,,"$1,116",$253,$525,$589,$275,,,AZ,Yavapai,Prescott,,"$1,969",$469,$469,"$1,500",,,,,,,,,,AZ,Yavapai,Prescott,,"$1,969",$469,$469,"$1,500",,,,,,,,,,AZ,Yavapai,Prescott,,"$1,969",$469,$469,"$1,500",,,,,,,,,
AZ,Yuma,Yuma,9/5/08,,"$16,130","$4,350","$1,756","$5,203","$6,577",,"$1,245",,$110,$386,$329,,$524,AZ,Yuma,Yuma,,"$5,159","$3,254","$1,209",$809,"$1,096",,$981,,$87,$305,$259,,$413,AZ,Yuma,Yuma,,"$6,126","$4,466","$2,874",$607,"$1,052",,,,$192,"$1,093",$265,,$42,AZ,Yuma,Yuma,,"$3,995","$2,335","$1,243",$607,"$1,052",,,,$280,$366,$386,,$60,AZ,Yuma,Yuma,,"$2,955","$1,295",$650,$607,"$1,052",,,,$175,$191,$241,,$38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Alameda,Fremont,9/9/08,,"$36,075","$36,075","$3,879",,,,"$29,093",,$386,,"$2,717",,,CA,Alameda,Fremont,,"$27,067","$27,067","$3,009",,,,"$21,329",,$283,,"$2,446",,,CA,Alameda,Fremont,,"$9,769","$9,769","$8,700",,,,,,$146,,$923,,,CA,Alameda,Fremont,,"$12,477","$12,477","$10,766",,,,,,$234,,"$1,477",,,CA,Alameda,Fremont,,"$4,408","$4,408","$3,552",,,,,,$117,,$739,,
CA,Alameda,Hayward,9/9/08,,"$27,886","$19,143",,"$4,343","$4,400",,"$11,953",,,,,"$5,240","$1,950",CA,Alameda,Hayward,,"$18,613","$13,683",,"$1,013","$3,917",,"$9,653",,,,,"$2,620","$1,410",CA,Alameda,Hayward,,"$5,719","$5,719",,$695,$704,,,,,,,$360,"$3,960",CA,Alameda,Hayward,,"$4,759","$4,759",,$695,$704,,,,,,,$360,"$3,000",CA,Alameda,Hayward,,"$3,199","$3,199",,$695,$704,,,,,,,$360,"$1,440"
CA,Alameda,Livermore,9/9/08,,"$57,075","$29,871","$8,965","$23,005","$4,199","$1,942","$13,704",,,,,"$5,260",,CA,Alameda,Livermore,,"$66,220","$57,632","$5,966","$5,368","$3,220",$936,"$10,509",,,,,"$2,630","$37,591",CA,Alameda,Livermore,,"$33,424","$33,424","$20,197","$3,681","$5,573",$936,"$1,737",,,,,$420,$880,CA,Alameda,Livermore,,"$29,360","$29,360","$15,699","$3,681","$5,573",$936,"$2,485",,,,,$420,$566,CA,Alameda,Livermore,,"$21,426","$21,426","$9,947","$3,681","$5,573",$936,$693,,,,,$420,$176
CA,Alameda,San Leandro,9/9/08,,"$23,445","$22,153","$1,106",,"$1,292",,"$13,858",,,,,"$5,940","$1,249",CA,Alameda,San Leandro,,"$18,435","$17,380","$1,106",,"$1,055",,"$12,113",,,,,"$2,970","$1,191",CA,Alameda,San Leandro,,"$4,237","$4,237","$3,440",,$207,,,,,,,$470,$120,CA,Alameda,San Leandro,,"$3,867","$3,867","$3,070",,$207,,,,,,,$470,$120,CA,Alameda,San Leandro,,"$1,787","$1,787",$990,,$207,,,,,,,$470,$120
CA,Contra Costa,Orinda,9/9/08,,"$18,220","$18,220","$5,478",,,$452,"$12,290",,,,,,,CA,Contra Costa,Orinda,,"$14,358","$14,358","$3,417",,,"$2,260","$8,681",,,,,,,CA,Contra Costa,Orinda,,"$4,570","$4,570","$2,310",,,"$2,260",,,,,,,,CA,Contra Costa,Orinda,,"$4,570","$4,570","$2,310",,,"$2,260",,,,,,,,CA,Contra Costa,Orinda,,"$4,570","$4,570","$2,310",,,"$2,260",,,,,,,
CA,El Dorado,El Dorado Co,9/9/08,,"$38,237","$38,237","$23,101",,,,"$7,073",,"$2,200",,,"$5,863",,CA,El Dorado,El Dorado Co,,"$26,168","$26,168","$15,064",,,,"$7,073",,"$1,100",,,"$2,931",,CA,El Dorado,El Dorado Co,,"$20,964","$20,964","$19,444",,,,,,"$1,100",,,$420,,CA,El Dorado,El Dorado Co,,"$3,848","$3,848","$2,328",,,,,,"$1,100",,,$420,,CA,El Dorado,El Dorado Co,,"$2,998","$2,998","$1,478",,,,,,"$1,100",,,$420,
CA,Fresno,Clovis,9/9/08,,"$24,183","$13,639","$8,240","$3,476","$7,068",,"$3,501",$572,$625,$100,,,$601,CA,Fresno,Clovis,,"$13,605","$11,616","$6,867",$811,"$1,178",,"$3,501",,$625,$100,,,$523,CA,Fresno,Clovis,,"$17,136","$15,449","$12,611",$556,"$1,131",,"$1,590",,$625,$100,,,$523,CA,Fresno,Clovis,,"$17,167","$15,480","$12,611",$556,"$1,131",,"$1,590",,$625,$100,,,$554,CA,Fresno,Clovis,,"$17,167","$15,480","$12,611",$556,"$1,131",,"$1,590",,$625,$100,,,$554
CA,Kern,Bakersfield,9/11/08,,"$15,326","$11,926","$5,295",,"$3,400",,"$1,615",,,,,"$4,480",$536,CA,Kern,Bakersfield,,"$8,739","$6,575","$2,541",,"$2,164",,"$1,615",,,,,"$2,240",$179,CA,Kern,Bakersfield,,"$1,308",$688,varies,,$620,,,,,,,$360,$328,CA,Kern,Bakersfield,,"$1,177",$557,varies,,$620,,,,,,,$360,$197,CA,Kern,Bakersfield,,"$1,308",$688,varies,,$620,,,,,,,$360,$328
CA,Los Angeles,Lancaster,9/11/08,,"$13,094","$13,094","$2,654",,,"$4,345","$3,369",,"$1,430",,$119,$800,$377,CA,Los Angeles,Lancaster,,"$10,535","$10,535","$1,451",,,"$4,354","$3,119",,$715,,$119,$400,$377,CA,Los Angeles,Lancaster,,"$3,102","$3,102","$1,640",,,$700,,,$715,,$47,,,CA,Los Angeles,Lancaster,,"$3,102","$3,102","$1,640",,,$700,,,$715,,$47,,,CA,Los Angeles,Lancaster,,"$2,102","$2,102",$640,,,$700,,,$715,,$47,,
CA,Los Angeles,Long Beach,9/11/08,,"$13,183","$13,105","$1,125",,$78,,"$4,221",,$496,$703,,"$6,560",,CA,Los Angeles,Long Beach,,"$8,658","$8,580","$1,125",,$78,,"$3,260",,$378,$537,,"$3,280",,CA,Los Angeles,Long Beach,,"$4,207","$4,129","$3,000",,$78,,,,$267,$442,,$420,,CA,Los Angeles,Long Beach,,"$3,361","$3,283","$2,000",,$78,,,,$325,$538,,$420,,CA,Los Angeles,Long Beach,,"$1,948","$1,870","$1,100",,$78,,,,$132,$218,,$420,
CA,Monterey,Salinas,9/12/08,,"$10,242","$6,322","$2,860",,"$3,920","$1,275","$2,187",,,,,,,CA,Monterey,Salinas,,"$6,860","$3,336","$1,028",,"$3,524",$850,"$1,458",,,,,,,CA,Monterey,Salinas,,"$5,817","$2,256","$1,430",,"$3,561",$826,,,,,,,,CA,Monterey,Salinas,,"$5,487","$1,925","$1,430",,"$3,561",$495,,,,,,,,CA,Monterey,Salinas,,"$5,453","$1,892","$1,066",,"$3,561",$826,,,,,,,
CA,Napa,St. Helena,9/12/08,,"$24,280","$10,740","$1,000","$7,200","$6,340","$1,280",,,,"$3,520","$4,940",,,CA,Napa,St. Helena,,"$12,140","$5,370",$500,"$3,600","$3,170",$640,,,,"$1,760","$2,470",,,CA,Napa,St. Helena,,"$17,180","$9,050","$4,180","$4,340","$3,790",$640,,,,"$1,760","$2,470",,,CA,Napa,St. Helena,,"$12,580","$8,340","$3,470","$2,260","$1,980",$640,,,,"$1,760","$2,470",,,CA,Napa,St. Helena,,"$11,320","$5,700",$830,"$3,000","$2,620",$640,,,,"$1,760","$2,470",,
CA,Orange,Brea,9/12/08,,"$18,071","$4,490","$3,406","$13,581",,,,,"$1,029",$55,,,,CA,Orange,Brea,,"$6,696","$3,527","$2,756","$3,169",,,,,$731,$40,,,,CA,Orange,Brea,,"$9,859","$7,686","$7,440","$2,173",,,,,$191,$55,,,,CA,Orange,Brea,,"$9,957","$7,784","$7,440","$2,173",,,,,$267,$77,,,,CA,Orange,Brea,,"$9,791","$7,618","$7,440","$2,173",,,,,$138,$40,,,
CA,Placer,Rocklin,9/12/08,,"$18,668","$18,668","$7,199",,,$293,"$2,696",,,,"$6,380",,"$2,100",CA,Placer,Rocklin,,"$12,098","$12,098","$4,490",,,$116,"$2,368",,,,"$3,727",,"$1,397",CA,Placer,Rocklin,,"$13,267","$13,267","$10,721",,,$106,,,,,"$1,390",,"$1,050",CA,Placer,Rocklin,,"$15,691","$15,691","$12,667",,,$64,,,,,"$1,910",,"$1,050",CA,Placer,Rocklin,,"$8,963","$8,963","$6,510",,,$106,,,,,$950,,"$1,397"
CA,Sacramento,Citrus Heights,9/12/08,,"$13,893","$6,793","$1,434",,"$7,100",varies,"$1,079",,,,,"$4,280",,CA,Sacramento,Citrus Heights,,"$4,118","$4,118","$1,313",,,varies,$665,,,,,"$2,140",,CA,Sacramento,Citrus Heights,,"$6,876","$5,740","$4,450",,"$1,136",varies,$180,,,,,$340,$770,CA,Sacramento,Citrus Heights,,"$6,456","$5,320","$3,640",,"$1,136",varies,$370,,,,,$340,$970,CA,Sacramento,Citrus Heights,,"$5,816","$4,680","$3,640",,"$1,136",varies,$90,,,,,$340,$610
