State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other
CA,Sacramento,Citrus Heights,9/12/09,,"$14,243","$6,793","$1,434",,"$7,450",,"$1,079",,,,,"$4,280",,CA,Sacramento,Citrus Heights,,"$5,360","$4,118","$1,313",,"$1,242",,$665,,,,,"$2,140",,CA,Sacramento,Citrus Heights,,"$6,932","$5,740","$4,450",,"$1,192",,$180,,,,,$340,$770,CA,Sacramento,Citrus Heights,,"$6,512","$5,320","$3,640",,"$1,192",,$370,,,,,$340,$970,CA,Sacramento,Citrus Heights,,"$5,872","$4,680","$3,640",,"$1,192",,$90,,,,,$340,$610
CA,Sacramento,Elk Grove,9/12/09,,"$50,225","$33,131","$11,743","$5,894","$11,200","$9,960","$3,036",$398,"$1,618",$846,"$1,195",,"$4,335",CA,Sacramento,Elk Grove,,"$28,166","$22,138","$8,091","$3,536","$2,492","$6,666","$2,487",$264,"$1,107",$563,$799,,"$2,161",CA,Sacramento,Elk Grove,,"$22,945","$19,080","$13,880",$377,"$3,488","$1,395","$1,387",,"$1,308",$130,$180,,$800,CA,Sacramento,Elk Grove,,"$21,362","$18,415","$12,430",$377,"$2,569",1440,"$1,717",,"$1,308",$210,$310,,"$1,000",CA,Sacramento,Elk Grove,,"$14,049","$10,185","$6,310",$377,"$3,488",$935,"$1,752",,$418,$60,$70,,$640
CA,Sacramento,Sacramento,9/14/09,,"$34,191","$25,359","$4,651","$1,382","$7,450",,"$5,191",,,,,"$5,983","$9,533",CA,Sacramento,Sacramento,,"$18,957","$13,078","$3,851",$291,"$5,588",,"$3,058",,,,,"$2,992","$3,178",CA,Sacramento,Sacramento,,"$16,800","$15,328","$7,014",$280,"$1,192",,$360,,,,,$428,"$7,526",CA,Sacramento,Sacramento,,"$14,565","$13,092","$6,552",$280,"$1,192",,$500,,,,,$428,"$5,612",CA,Sacramento,Sacramento,,"$11,378","$9,906","$2,162",$280,"$1,192",,$160,,,,,$428,"$7,156"
CA,San Bernardino,Highland,9/16/09,,"$21,498","$21,498","$12,854",,,$839,"$3,724",$917,$799,$225,"$2,140",,,CA,San Bernardino,Highland,,"$16,117","$16,117","$8,580",,,$359,"$3,583",$883,$259,$356,"$2,097",,,CA,San Bernardino,Highland,,"$12,819","$12,819","$12,074",,,$186,,,$195,$129,$235,,,CA,San Bernardino,Highland,,"$12,819","$12,819","$12,074",,,$186,,,$195,$129,$235,,,CA,San Bernardino,Highland,,"$8,919","$8,919","$8,398",,,$222,,,$57,$7,$235,,
CA,San Bernardino,Redlands,9/16/09,,"$13,880","$13,880","$2,488",,,$700,"$4,482",$764,$996,"$1,806","$2,644",,,CA,San Bernardino,Redlands,,"$9,608","$9,608","$1,747",,,$343,"$3,151",$538,$700,"$1,270","$1,859",,,CA,San Bernardino,Redlands,,"$12,714","$12,714","$11,164",,,$170,,$110,$500,$310,$460,,,CA,San Bernardino,Redlands,,"$5,033","$5,033","$2,863",,,$170,,$150,$720,$460,$670,,,CA,San Bernardino,Redlands,,"$2,622","$2,622","$1,812",,,$150,,$50,$240,$150,$220,,
CA,San Bernardino,Rialto,10/10/09,,"$18,184","$9,714","$2,829","$5,100","$3,370","$3,051","$2,709",$66,$390,$422,$247,,,CA,San Bernardino,Rialto,,"$10,706","$6,543","$1,958",$793,"$3,370",$769,"$2,116",$52,$413,$988,$247,,,CA,San Bernardino,Rialto,,"$9,326","$7,980","$6,500",$510,$836,$900,$140,,$240,$100,$100,,,CA,San Bernardino,Rialto,,"$7,451","$5,390","$3,910",$510,"$1,551",$900,$140,,$240,$100,$100,,,CA,San Bernardino,Rialto,,"$3,889","$3,240","$2,220",$510,$139,$790,$120,,$10,$20,$80,,
CA,San Diego,Carlsbad,10/10/09,,"$31,706","$20,566","$3,066","$8,041","$3,099",$685,"$6,208",,,,"$7,000",,"$3,607",CA,San Diego,Carlsbad,,"$16,034","$14,173","$2,080","$1,344",$517,$416,"$5,025",,,,"$3,500",,"$3,152",CA,San Diego,Carlsbad,,"$11,615","$10,306","$5,625",$813,$496,$763,,,,,"$3,500",,$418,CA,San Diego,Carlsbad,,"$6,960","$5,651","$1,442",$813,$496,$458,,,,,"$3,500",,$251,CA,San Diego,Carlsbad,,"$6,903","$5,594",$913,$813,$496,$763,,,,,"$3,500",,$418
CA,San Diego,Escondido,10/10/09,,"$29,257","$12,741","$2,890","$9,016","$7,500","$1,071","$4,129",,,,"$4,533",,$118,CA,San Diego,Escondido,,"$21,789","$11,998","$2,550","$4,166","$5,625",$428,"$4,129",,,,"$4,533",,$358,CA,San Diego,Escondido,,"$8,653","$6,490","$3,360",$883,"$1,280",$700,,,,,"$2,130",,$300,CA,San Diego,Escondido,,"$6,003","$3,840",$710,$883,"$1,280",$700,,,,,"$2,130",,$300,CA,San Diego,Escondido,,"$4,463","$2,950",$340,$883,$630,$700,,,,,"$1,610",,$300
CA,San Diego,San Diego,10/10/09,,"$28,598","$17,598","$2,378","$6,876","$4,124",,,,,,,"$5,260","$9,960",CA,San Diego,San Diego,,"$16,842","$9,512","$1,902","$3,206","$4,124",,,,,,,"$2,630","$4,980",CA,San Diego,San Diego,,"$2,543",,,$823,$660,,,,,,,$420,$640,CA,San Diego,San Diego,,"$2,963",,,$823,$660,,,,,,,$420,"$1,060",CA,San Diego,San Diego,,"$2,543",,,$823,$660,,,,,,,$420,$640
CA,San Joaquin,Lodi,10/10/09,,"$26,309","$19,190","$3,794","$1,334","$5,785","$4,877","$7,365",,$512,$524,"$2,118",,,CA,San Joaquin,Lodi,,"$23,232","$15,896","$3,857","$1,551","$5,785","$1,626","$6,874",,$738,$825,"$1,976",,,CA,San Joaquin,Lodi,,"$15,013","$13,564","$4,831",$522,$926,"$3,971","$1,443",,$844,"$1,322","$1,154",,,CA,San Joaquin,Lodi,,"$12,009","$10,769","$4,557",$313,$926,"$2,383","$1,461",,$463,$716,"$1,190",,,CA,San Joaquin,Lodi,,"$11,765","$10,626","$4,645",$212,$926,"$3,818","$1,037",,$201,$96,$830,,
CA,San Joaquin,Ripon,10/10/09,,"$65,375","$53,642","$12,474","$8,903","$2,830","$2,057","$13,846",$616,"$2,463","$2,083","$4,085","$7,700","$8,318",CA,San Joaquin,Ripon,,"$37,117","$29,413","$5,111","$5,935","$1,769",$821,"$8,654",$385,"$1,642","$1,301","$2,943","$3,850","$4,706",CA,San Joaquin,Ripon,,"$28,269","$22,136","$14,112","$2,733","$3,400","$2,133","$1,400",,"$1,396",$867,"$1,380",$470,$378,CA,San Joaquin,Ripon,,"$17,468","$13,788","$7,869","$1,640","$2,040","$1,280",$840,,"$1,642",$520,$940,$470,$227,CA,San Joaquin,Ripon,,"$20,852","$13,318","$7,244","$2,733","$4,800","$2,600",$600,,$903,$400,$723,$470,$378
CA,San Luis Obispo,Paso Robles,10/10/09,,"$36,849","$21,698","$6,989","$9,684","$5,467",$954,"$6,165","$1,090",$835,$70,"$5,595",,,CA,San Luis Obispo,Paso Robles,,"$30,957","$18,318","$5,591","$7,678","$4,961",$477,"$5,481",$971,$742,$83,"$4,973",,,CA,San Luis Obispo,Paso Robles,,"$10,728","$8,820","$7,200","$1,033",$875,$650,,,$520,$50,$400,,,CA,San Luis Obispo,Paso Robles,,"$10,728","$8,820","$7,200","$1,033",$875,$650,,,$520,$50,$400,,,CA,San Luis Obispo,Paso Robles,,"$6,038","$4,130","$3,510","$1,033",$875,$430,,,$50,$20,$120,,
CA,San Luis Obispo,San Luis Obispo,10/10/09,,"$32,988","$13,220","$3,220","$15,919","$3,849",,,,,,,,"$10,000",CA,San Luis Obispo,San Luis Obispo,,"$23,672","$7,858","$2,858","$12,735","$3,079",,,,,,,,"$5,000",CA,San Luis Obispo,San Luis Obispo,,"$9,569","$6,783","$6,783","$2,229",$558,,,,,,,,,CA,San Luis Obispo,San Luis Obispo,,"$9,266","$6,480","$6,480","$2,229",$558,,,,,,,,,CA,San Luis Obispo,San Luis Obispo,,"$4,656","$1,870","$1,870","$2,229",$558,,,,,,,,
CA,Santa Barbara,Carpinteria,10/10/09,,"$40,860","$40,860","$14,211",,,"$2,557","$18,171",,,,"$1,821","$4,100",,CA,Santa Barbara,Carpinteria,,"$27,416","$27,416","$9,335",,,$914,"$13,740",,,,"$1,377","$2,050",,CA,Santa Barbara,Carpinteria,,"$18,402","$18,402","$13,350",,,"$1,887","$2,500",,,,$290,$330,$45,CA,Santa Barbara,Carpinteria,,"$17,647","$17,647","$13,350",,,"$1,132","$2,500",,,,$290,$330,$45,CA,Santa Barbara,Carpinteria,,"$10,637","$10,637","$6,355",,,"$1,887","$1,820",,,,$200,$330,$45
CA,Santa Barbara,Santa Maria,10/10/09,,"$27,276","$18,112","$8,730","$5,373","$3,791",,"$6,672",$824,$822,$736,$328,,,CA,Santa Barbara,Santa Maria,,"$17,398","$11,249","$4,511","$2,731","$3,418",,"$5,379",$412,$411,$368,$168,,,CA,Santa Barbara,Santa Maria,,"$12,044","$9,080","$8,306","$1,612","$1,352",,$24,$155,$59,$368,$168,,,CA,Santa Barbara,Santa Maria,,"$8,258","$5,294","$4,520","$1,612","$1,352",,$24,$155,$59,$368,$168,,,CA,Santa Barbara,Santa Maria,,"$7,358","$4,394","$3,620","$1,612","$1,352",,$24,$155,$59,$368,$168,,
CA,Santa Clara,Gilroy,10/10/09,,"$51,320","$33,553","$11,809","$5,236","$12,531",$158,,,,,"$21,586",,,CA,Santa Clara,Gilroy,,"$36,847","$27,948","$9,572","$2,118","$6,781",$90,,,,,"$18,286",,,CA,Santa Clara,Gilroy,,"$27,915","$23,111","$19,687",$838,"$3,966",$285,,,,,"$3,139",,,CA,Santa Clara,Gilroy,,"$27,736","$22,932","$19,687",$838,"$3,966",$171,,,,,"$3,074",,,CA,Santa Clara,Gilroy,,"$23,842","$19,038","$5,178",$838,"$3,966",$210,,,,,"$13,650",,
CA,Santa Clara,Palo Alto,10/10/09,,"$68,156","$57,056","$2,890","$3,600","$7,500",,"$53,264",$902,,,,,,CA,Santa Clara,Palo Alto,,"$40,981","$38,944","$1,774",$788,"$1,250",,"$36,631",$539,,,,,,CA,Santa Clara,Palo Alto,,"$32,558","$31,358","$10,672",,"$1,200",,"$4,473",$203,,,,,"$16,010",CA,Santa Clara,Palo Alto,,"$26,149","$24,949","$4,263",,"$1,200",,"$4,473",$203,,,,,"$16,010",CA,Santa Clara,Palo Alto,,"$24,661","$23,461","$2,775",,"$1,200",,"$4,473",$203,,,,,"$16,010"
CA,Santa Cruz,Santa Cruz Co,10/10/09,,"$7,323","$7,323","$3,083",,,"$4,240",,,,,,,,CA,Santa Cruz,Santa Cruz Co,,"$3,798","$3,798","$1,678",,,"$2,120",,,,,,,,CA,Santa Cruz,Santa Cruz Co,,"$15,356","$15,356","$13,236",,,"$2,120",,,,,,,,CA,Santa Cruz,Santa Cruz Co,,"$5,514","$5,514","$3,394",,,"$2,120",,,,,,,,CA,Santa Cruz,Santa Cruz Co,,"$4,269","$4,269","$2,149",,,"$2,120",,,,,,,
CA,Santa Cruz,Scotts Valley,10/10/09,,"$21,085","$14,948","$4,612",,"$6,137",$300,"$8,191",$686,,$809,$350,,,CA,Santa Cruz,Scotts Valley,,"$15,550","$11,110","$2,737",,"$4,440",$150,"$6,378",$686,,$809,$350,,,CA,Santa Cruz,Scotts Valley,,"$13,289","$13,289","$9,170",,$982,$150,,,,"$2,843",$144,,,CA,Santa Cruz,Scotts Valley,,"$12,093","$12,093","$9,170",,$982,$150,,,,"$1,706",$85,,,CA,Santa Cruz,Scotts Valley,,"$9,582","$9,582","$5,470",,$982,$150,,,,"$2,843",$137,,
CA,Shasta,Redding,10/10/09,,"$24,494","$10,670","$5,149","$6,896","$6,928",$892,"$3,763",,$866,,,,,CA,Shasta,Redding,,"$10,143","$7,380","$3,312","$1,609","$1,155",$438,"$2,934",,$696,,,,,CA,Shasta,Redding,,"$15,115","$15,115","$11,743","$1,103","$1,108",$559,,,$601,,,,,CA,Shasta,Redding,,"$12,747","$12,747","$9,132","$1,103","$1,108",$514,,,$889,,,,,CA,Shasta,Redding,,"$7,778","$7,778","$4,712","$1,103","$1,108",$374,,,$480,,,,
CA,Solano,Vacaville,10/10/09,,"$46,612","$29,911","$8,869","$7,752","$8,949","$2,068","$4,268",,$310,$692,$687,"$4,100","$8,917",CA,Solano,Vacaville,,"$32,002","$21,813","$5,498","$3,030","$7,159","$1,762","$2,935",,$106,$603,$424,"$2,050","$8,435",CA,Solano,Vacaville,,"$12,942","$12,942","$4,795","$1,798","$1,790","$1,524",,,$191,"$1,288",$385,$330,$841,CA,Solano,Vacaville,,"$11,415","$11,415","$3,641","$1,798","$2,240",$914,,,$114,$681,$297,$330,"$1,399",CA,Solano,Vacaville,,"$16,443","$16,443","$2,664","$1,798","$8,949","$1,524",,,$191,$192,$207,$330,$588
CA,Sonoma,Windsor,10/10/09,,"$41,501","$25,968","$9,945","$1,583","$13,950","$2,797","$11,321",,,,"$1,905",,,CA,Sonoma,Windsor,,"$27,940","$18,022","$6,104",$209,"$9,709","$2,797","$7,808",,,,"$1,313",,,CA,Sonoma,Windsor,,"$13,240","$13,240","$8,304",$127,"$2,232","$2,261",,,,,$317,,,CA,Sonoma,Windsor,,"$10,579","$10,579","$6,335",$127,"$2,232","$1,356",,,,,$529,,,CA,Sonoma,Windsor,,"$8,945","$8,945","$4,099",$127,"$2,232","$2,261",,,,,$227,,
CA,Yolo,Davis,10/10/09,,"$23,216","$23,216","$8,093",,,$305,"$5,877",,,$992,"$2,389","$5,560",,CA,Yolo,Davis,,"$14,873","$14,873","$4,942",,,$85,"$4,486",,,$757,"$1,823","$2,780",,CA,Yolo,Davis,,"$23,559","$23,559","$20,239",,,$118,$856,,,"$1,078",$928,$340,,CA,Yolo,Davis,,"$8,512","$8,512","$5,192",,,$118,$856,,,"$1,078",$928,$340,,CA,Yolo,Davis,,"$1,682","$1,682",$480,,,$118,$223,,,$280,$241,$340,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,Adams,Adams Co,10/11/09,,"$1,599","$1,599","$1,599",,,,,,,,,,,CO,Adams,Adams Co,,$983,$983,$983,,,,,,,,,,,CO,Adams,Adams Co,,"$2,131","$2,131","$2,131",,,,,,,,,,,CO,Adams,Adams Co,,"$1,178","$1,178","$1,178",,,,,,,,,,,CO,Adams,Adams Co,,$776,$776,$776,,,,,,,,,,
CO,Adams,Commerce City,10/11/09,,"$2,700","$2,700","$1,181",,,,$900,,,,,$619,,CO,Adams,Commerce City,,"$1,191","$1,191",$726,,,,$327,,,,,$138,,CO,Adams,Commerce City,,"$3,562","$3,562","$3,229",,,,$333,,,,,,,CO,Adams,Commerce City,,"$1,941","$1,941","$1,741",,,,$200,,,,,,,CO,Adams,Commerce City,,"$1,479","$1,479","$1,146",,,,$333,,,,,,
CO,Boulder,Boulder,10/11/09,,"$45,889","$31,821","$20,692","$11,507","$2,561","$4,680","$2,338",$407,$217,$261,$346,"$2,420",$460,CO,Boulder,Boulder,,"$15,126","$7,341","$1,245","$6,322","$1,463","$2,340","$1,496",$271,$145,$173,$231,"$1,210",$230,CO,Boulder,Boulder,,"$7,561","$5,310","$1,794","$1,841",$410,"$2,340",,,$186,$186,$314,,$490,CO,Boulder,Boulder,,"$7,561","$5,310","$1,794","$1,841",$410,"$2,340",,,$186,$186,$314,,$490,CO,Boulder,Boulder,,"$7,561","$5,310","$1,794","$1,841",$410,"$2,340",,,$186,$186,$314,,$490
CO,Eagle,Eagle Co,10/11/09,,"$6,596","$6,596","$4,378",,,,,,"$2,218",,,,,CO,Eagle,Eagle Co,,"$3,893","$3,893","$3,034",,,,,,$859,,,,,CO,Eagle,Eagle Co,,"$9,510","$9,510","$9,026",,,,,,$484,,,,,CO,Eagle,Eagle Co,,"$5,648","$5,648","$5,164",,,,,,$484,,,,,CO,Eagle,Eagle Co,,"$3,674","$3,674","$3,190",,,,,,$484,,,,
CO,Eagle,Basalt,10/12/09,,"$5,967",$750,$750,"$5,217",,,,,,,,,,CO,Eagle,Basalt,,"$2,910",$750,$750,"$2,160",,,,,,,,,,CO,Eagle,Basalt,,"$1,690","$1,000","$1,000",$690,,,,,,,,,,CO,Eagle,Basalt,,"$2,035","$1,000","$1,000","$1,035",,,,,,,,,,CO,Eagle,Basalt,,"$1,518","$1,000","$1,000",$518,,,,,,,,,
CO,El Paso,Colorado Springs,10/11/09,,"$16,067","$5,083",,"$9,323","$1,661","$1,770","$1,781",,,,,"$1,532",,CO,El Paso,Colorado Springs,,"$10,949","$2,222",,"$7,066","$1,661",$590,"$1,264",,,,,$368,,CO,El Paso,Colorado Springs,,"$2,841","$1,084",,"$1,492",$266,"$1,084",,,,,,,,CO,El Paso,Colorado Springs,,"$2,407",$650,,"$1,492",$266,$650,,,,,,,,CO,El Paso,Colorado Springs,,"$2,841","$1,084",,"$1,492",$266,"$1,084",,,,,,,
CO,Fremont,Canon City,10/11/09,,$304,$304,,,,,,,$304,,,,,CO,Fremont,Canon City,,$304,$304,,,,,,,$304,,,,,CO,Fremont,Canon City,,$152,$152,,,,,,,$152,,,,,CO,Fremont,Canon City,,$152,$152,,,,,,,$152,,,,,CO,Fremont,Canon City,,$152,$152,,,,,,,$152,,,,
CO,Jefferson,Jefferson Co,10/11/09,,"$3,276","$3,276","$3,276",,,,,,,,,,,CO,Jefferson,Jefferson Co,,"$2,725","$2,725","$2,725",,,,,,,,,,,CO,Jefferson,Jefferson Co,,"$7,120","$7,120","$7,120",,,,,,,,,,,CO,Jefferson,Jefferson Co,,"$4,790","$4,790","$4,790",,,,,,,,,,,CO,Jefferson,Jefferson Co,,"$2,060","$2,060","$2,060",,,,,,,,,,
CO,La Plata,Durango,10/11/09,,"$10,516","$3,414","$2,169","$5,582","$1,520",,$300,,,,,$945,,CO,La Plata,Durango,,"$8,995","$1,893","$1,298","$5,582","$1,520",,$300,,,,,$295,,CO,La Plata,Durango,,"$4,534","$3,810","$3,810",$558,$166,,,,,,,,,CO,La Plata,Durango,,"$3,547","$2,823","$2,823",$558,$166,,,,,,,,,CO,La Plata,Durango,,"$2,687","$1,963","$1,963",$558,$166,,,,,,,,
CO,Larimer,Larimer Co,10/11/09,,"$4,346","$4,346","$3,087",,,,"$1,259",,,,,,,CO,Larimer,Larimer Co,,"$2,986","$2,986","$2,167",,,,$819,,,,,,,CO,Larimer,Larimer Co,,"$7,958","$7,958","$7,958",,,,,,,,,,,CO,Larimer,Larimer Co,,"$4,269","$4,269","$4,269",,,,,,,,,,,CO,Larimer,Larimer Co,,"$2,614","$2,614","$2,614",,,,,,,,,,
CO,Larimer,Loveland,10/11/09,,"$22,873","$14,983","$2,443","$5,470","$2,420",$569,"$6,057","$1,163",$696,$904,$679,"$1,382","$1,090",CO,Larimer,Loveland,,"$11,965","$7,829","$1,715","$2,366","$1,770",$250,"$2,363",$453,$271,$353,$388,$946,"$1,090",CO,Larimer,Loveland,,"$8,355","$7,093","$5,900",$875,$387,$113,,,$290,$380,$410,,,CO,Larimer,Loveland,,"$5,413","$4,151","$2,958",$875,$387,$113,,,$290,$380,$410,,,CO,Larimer,Loveland,,"$3,301","$2,038","$1,812",$875,$387,$106,,,$30,$40,$50,,
CO,Larimer,Ft. Collins,10/11/09,,"$19,730","$12,206","$2,807","$4,330","$3,194",$507,"$3,419",$540,$194,$134,$245,"$1,591","$2,769",CO,Larimer,Ft. Collins,,"$12,245","$8,706","$1,940","$1,470","$2,069",$184,"$2,529",$400,$144,$98,$181,$923,"$2,307",CO,Larimer,Ft. Collins,,"$14,203","$11,563","$10,440","$1,425","$1,215",$541,,,$207,$144,$231,,,CO,Larimer,Ft. Collins,,"$6,826","$4,186","$3,378","$1,425","$1,215",$226,,,$207,$144,$231,,,CO,Larimer,Ft. Collins,,"$5,218","$2,578","$2,042","$1,425","$1,215",$376,,,$57,$39,$64,,
CO,Mesa,Mesa Co,10/13/09,,"$2,558","$2,558","$1,718",,,,$150,,,,,$690,,CO,Mesa,Mesa Co,,"$2,029","$2,029","$1,189",,,,$150,,,,,$690,,CO,Mesa,Mesa Co,,"$2,647","$2,647","$2,647",,,,,,,,,,,CO,Mesa,Mesa Co,,"$1,801","$1,801","$1,801",,,,,,,,,,,CO,Mesa,Mesa Co,,"$1,249","$1,249","$1,249",,,,,,,,,,
CO,Pitkin,Pitkin Co,10/11/09,,"$22,856","$22,856","$7,158",,,,"$13,287",,,,,$917,"$1,494",CO,Pitkin,Pitkin Co,,"$14,695","$14,695","$4,501",,,,"$8,858",,,,,$340,$996,CO,Pitkin,Pitkin Co,,"$41,478","$41,478","$12,143",,,,"$4,100",,,,,,"$25,235",CO,Pitkin,Pitkin Co,,"$47,385","$47,385","$4,381",,,,"$4,100",,,,,,"$38,904",CO,Pitkin,Pitkin Co,,"$16,733","$16,733","$2,519",,,,"$4,100",,,,,,"$10,114"
CO,Weld,Weld Co,10/11/09,,"$2,862","$2,862","$1,987",,,$300,,,,,,,$575,CO,Weld,Weld Co,,"$2,252","$2,252","$1,377",,,$300,,,,,,,$575,CO,Weld,Weld Co,,"$1,419","$1,419","$1,024",,,$300,,,,,,,$95,CO,Weld,Weld Co,,"$2,825","$2,825","$2,430",,,$300,,,,,,,$95,CO,Weld,Weld Co,,"$2,013","$2,013","$1,618",,,$300,,,,,,,$95
CO,Weld,Windsor,10/11/09,,"$18,360","$7,935","$2,257","$6,725","$3,700",$735,"$4,943",,,, ,,,CO,Weld,Windsor,,"$8,703","$6,984","$1,574","$1,234",$485,$467,"$4,943",,,,,,,CO,Weld,Windsor,,"$6,750","$5,305","$4,141",$932,$513,"$1,164",,,,,,,,CO,Weld,Windsor,,"$5,160","$3,715","$3,017",$932,$513,$698,,,,,,,,CO,Weld,Windsor,,"$4,221","$2,776","$1,796",$932,$513,$980,,,,,,,
CO,Weld,Greeley,10/11/09,,"$5,433","$5,433","$1,571",,,$280,"$3,174",,$275,$133,,,,CO,Weld,Greeley,,"$3,790","$3,790","$1,082",,,$202,"$2,221",,$192,$93,,,,CO,Weld,Greeley,,"$8,420","$8,420","$7,454",,,$298,,,$499,$170,,,,CO,Weld,Greeley,,"$3,526","$3,526","$2,560",,,$254,,,$623,$89,,,,CO,Weld,Greeley,,"$1,733","$1,733","$1,144",,,$136,,,$403,$50,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,New Castle,New Castle Co,10/12/09,,"$9,321","$1,157",,,"$8,164",,$328,$138,$517,$62,$112,,,DE,New Castle,New Castle Co,,"$6,025",$762,,,"$5,263",,$225,$95,$322,$43,$77,,,DE,New Castle,New Castle Co,,"$1,603",$297,,,"$1,306",,,,$169,$33,$95,,,DE,New Castle,New Castle Co,,"$1,759",$453,,,"$1,306",,,,$297,$14,$142,,,DE,New Castle,New Castle Co,,"$1,578",$272,,,"$1,306",,,,$177,$7,$88,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,Alachua,Alachua Co,10/12/09,,"$5,776","$5,776","$5,372",,,,$252,,$152,,,,,FL,Alachua,Alachua Co,,"$2,888","$2,888","$2,686",,,,$126,,$76,,,,,FL,Alachua,Alachua Co,,"$9,050","$9,050","$8,974",,,,,,$76,,,,,FL,Alachua,Alachua Co,,"$4,351","$4,351","$4,275",,,,,,$76,,,,,FL,Alachua,Alachua Co,,"$2,933","$2,933","$2,857",,,,,,$76,,,,
FL,Brevard,Brevard Co,10/12/09,,"$4,834","$4,834",,,,,,$64,$93,,,"$4,445",$232,FL,Brevard,Brevard Co,,"$3,046","$3,046",,,,,,$38,$53,,,"$2,794",$161,FL,Brevard,Brevard Co,,$367,$367,,,,,,,$207,,,,$160,FL,Brevard,Brevard Co,,$78,$78,,,,,,,$44,,,,$34,FL,Brevard,Brevard Co,,$78,$78,,,,,,,$44,,,,$34
FL,Brevard,Cocoa,10/12/09,,"$5,780","$4,780",,"$1,000",,,,$64,$39,,,"$4,445",$232,FL,Brevard,Cocoa,,"$3,849","$3,049",,$800,,,,$38,$34,,,"$2,794",$183,FL,Brevard,Cocoa,,$406,$246,,$160,,,,,$86,,,,$160,FL,Brevard,Cocoa,,$212,$52,,$160,,,,,$18,,,,$34,FL,Brevard,Cocoa,,$212,$52,,$160,,,,,$18,,,,$34
FL,Brevard,Melbourne,10/12/09,,"$5,570","$5,570",,,,,$540,$64,$39,,$250,"$4,445",$232,FL,Brevard,Melbourne,,"$3,722","$3,722",,,,,$450,$38,$34,,$223,"$2,794",$183,FL,Brevard,Melbourne,,$914,$914,,,,,,,$86,,$668,,$160,FL,Brevard,Melbourne,,$239,$239,,,,,,,$18,,$187,,$34,FL,Brevard,Melbourne,,$128,$128,,,,,,,$18,,$76,,$34
FL,Brevard,Palm Bay,10/12/09,,"$5,771","$5,771",,,,,$670,$64,$322,$38,,"$4,445",$232,FL,Brevard,Palm Bay,,"$3,698","$3,698",,,,,$422,$38,$233,$28,,"$2,794",$183,FL,Brevard,Palm Bay,,$517,$517,,,,,,,$291,$66,,,$160,FL,Brevard,Palm Bay,,$230,$230,,,,,,,$153,$43,,,$34,FL,Brevard,Palm Bay,,$210,$210,,,,,,,$157,$19,,,$34
FL,Brevard,Rockledge,10/12/09,,"$4,780","$4,780",,,,,,$64,$39,,,"$4,445",$232,FL,Brevard,Rockledge,,"$3,049","$3,049",,,,,,$38,$34,,,"$2,794",$183,FL,Brevard,Rockledge,,$246,$246,,,,,,,$86,,,,$160,FL,Brevard,Rockledge,,$52,$52,,,,,,,$18,,,,$34,FL,Brevard,Rockledge,,$52,$52,,,,,,,$18,,,,$34
FL,Broward,Broward Co,10/12/09,,"$5,731","$5,731",$457,,,,$694,,,,,"$4,580",,FL,Broward,Broward Co,,"$3,958","$3,958",$275,,,,$496,,,,,"$3,187",,FL,Broward,Broward Co,,"$1,132","$1,132","$1,132",,,,,,,,,,,FL,Broward,Broward Co,,$661,$661,$661,,,,,,,,,,,FL,Broward,Broward Co,,$358,$358,$358,,,,,,,,,,
FL,Broward,Ft. Lauderdale,10/12/09,,"$6,955","$6,955",,,,,"$2,375",,,,,"$4,580",,FL,Broward,Ft. Lauderdale,,"$5,062","$5,062",,,,,"$1,875",,,,,"$3,187",,FL,Broward,Ft. Lauderdale,,,,,,,,,,,,,,,FL,Broward,Ft. Lauderdale,,,,,,,,,,,,,,,FL,Broward,Ft. Lauderdale,,,,,,,,,,,,,,
FL,Charlotte,Charlotte Co,10/12/09,,"$4,002","$4,002","$2,188",,,,$851,$169,$217,$98,$479,,,FL,Charlotte,Charlotte Co,,"$2,575","$2,575","$1,537",,,,$569,$113,$145,$66,$145,,,FL,Charlotte,Charlotte Co,,"$3,499","$3,499","$2,731",,,,,,$210,$95,$463,,,FL,Charlotte,Charlotte Co,,"$1,232","$1,232",$783,,,,,,$123,$55,$271,,,FL,Charlotte,Charlotte Co,,"$1,689","$1,689","$1,412",,,,,,$76,$35,$166,,
