State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other
AZ,Maricopa,Glendale,9/2/08,,"$14,780","$5,790","$1,160","$6,660","$2,330",,"$2,072",$606,$409,$395,$847,,$301,AZ,Maricopa,Glendale,,"$5,185","$3,898",$591,"$1,030",$257,,"$1,555",$455,$307,$297,$635,,$58,AZ,Maricopa,Glendale,,"$6,754","$5,765","$4,131",$733,$256,,,,$303,$578,$682,,$71,AZ,Maricopa,Glendale,,"$5,025","$4,036","$2,173",$733,$256,,,,$447,$304,"$1,007",,$105,AZ,Maricopa,Glendale,,"$3,364","$2,375","$1,228",$733,$256,,,,$280,$171,$630,,$66
AZ,Maricopa,Goodyear,9/12/09,,"$15,198","$5,901","$1,060","$5,567","$3,730",,"$1,032",$410,"$1,415",$606,"$1,021",,$357,AZ,Maricopa,Goodyear,,"$6,505","$5,274",$648,$830,$401,,$986,$392,"$1,352",$579,$976,,$341,AZ,Maricopa,Goodyear,,"$6,078","$5,000","$2,620",$643,$435,,,,$690,$620,$780,,$290,AZ,Maricopa,Goodyear,,"$4,558","$3,480",$800,$643,$435,,,,"$1,040",$180,"$1,020",,$440,AZ,Maricopa,Goodyear,,"$3,398","$2,320",$480,$643,$435,,,,$720,$110,$700,,$310
AZ,Maricopa,Mesa,9/12/09,,"$8,451","$3,572",,"$2,220","$2,659",$366,"$1,122",$464,$272,$402,$598,,$348,AZ,Maricopa,Mesa,,"$5,291","$2,510",,"$1,265","$1,516",$195,$802,$332,$230,$388,$377,,$186,AZ,Maricopa,Mesa,,"$1,878","$1,097",,$355,$425,$238,,,$215,$318,$326,,,AZ,Maricopa,Mesa,,"$1,878","$1,097",,$355,$425,$238,,,$215,$318,$326,,,AZ,Maricopa,Mesa,,"$1,878","$1,097",,$355,$425,$238,,,$215,$318,$326,,
AZ,Maricopa,Peoria,9/12/09,,"$18,874","$13,061","$8,160","$3,890","$1,923",,"$2,622",$277,$683,$452,$567,,$300,AZ,Maricopa,Peoria,,"$9,864","$9,099","$5,730",$571,$194,,"$1,802",$190,$470,$311,$390,,$206,AZ,Maricopa,Peoria,,"$20,696","$20,122","$18,490",$390,$184,,,,$654,$434,$544,,,AZ,Maricopa,Peoria,,"$8,511","$7,937","$6,305",$390,$184,,,,$654,$434,$544,,,AZ,Maricopa,Peoria,,"$5,871","$5,297","$3,665",$390,$184,,,,$654,$434,$544,,
AZ,Maricopa,Phoenix,9/12/09,,"$13,566","$6,426","$1,298","$4,694","$2,446",,"$4,018",$370,$322,$344,$74,, ,AZ,Maricopa,Phoenix,,"$5,994","$5,262",$896,$299,$433,"$2,198","$1,876",$120,$111,$49,$12,,,AZ,Maricopa,Phoenix,,"$5,755","$4,266","$1,986",$609,$880,"$2,144",,,,$61,$75,,,AZ,Maricopa,Phoenix,,"$4,192","$3,596","$1,363",$244,$352,"$2,145",,,,$62,$26,,,AZ,Maricopa,Phoenix,,"$3,388","$3,139",$831,$102,$147,"$2,176",,,$45,$87,,,
AZ,Maricopa,Scottsdale,9/4/08,,"$8,462",$906,,"$4,409","$3,147",$906,,,,,,,,AZ,Maricopa,Scottsdale,,"$5,458",$302,,"$2,529","$2,627",$302,,,,,,,,AZ,Maricopa,Scottsdale,,"$1,763",$555,,$705,$503,$555,,,,,,,,AZ,Maricopa,Scottsdale,,"$1,541",$333,,$705,$503,$333,,,,,,,,AZ,Maricopa,Scottsdale,,"$1,763",$555,,$705,$503,$555,,,,,,,
AZ,Maricopa,Surprise ,9/12/09,,"$14,602","$9,022","$3,704","$3,335","$2,245",,"$2,114",$467,$706,$372,$661,,$998,AZ,Maricopa,Surprise ,,"$6,891","$6,137","$2,601",$513,$241,,"$1,563",$345,$522,$275,$489,,$342,AZ,Maricopa,Surprise ,,"$10,873","$10,283","$7,674",$356,$234,,,,$693,$501,$556,,$859,AZ,Maricopa,Surprise ,,"$8,282","$7,693","$4,279",$356,$234,,,,"$1,241",$253,$996,,$924,AZ,Maricopa,Surprise ,,"$3,563","$2,973","$1,316",$356,$234,,,,$640,$78,$513,,$426
AZ,Maricopa,Tempe,9/12/09,,"$5,893",,,"$3,045","$2,848",,,,,,,,,AZ,Maricopa,Tempe,,"$1,185",,,$711,$475,,,,,,,,,AZ,Maricopa,Tempe,,$825,,,$426,$399,,,,,,,,,AZ,Maricopa,Tempe,,$825,,,$426,$399,,,,,,,,,AZ,Maricopa,Tempe,,$825,,,$426,$399,,,,,,,,
AZ,Mojave,Bullhead City,9/12/09,,$708,,,$708,,,,,,,,,,AZ,Mojave,Bullhead City,,$585, ,,$585,,,,,,,,,,AZ,Mojave,Bullhead City,,$113,,,$113,,,,,,,,,,AZ,Mojave,Bullhead City,,$113,,,$113,,,,,,,,,,AZ,Mojave,Bullhead City,,$113,,,$113,,,,,,,,,
AZ,Navajo,Show Low,9/12/09,,"$5,376","$1,849","$1,112",$815,"$2,712",,$557,$180,,,,,,AZ,Navajo,Show Low,,"$3,785","$1,458",$874,$180,"$2,147",,$441,$143,,,,,,AZ,Navajo,Show Low,,"$1,213",$464,$609,$140,$464,,,,,,,,,AZ,Navajo,Show Low,,"$1,014",$464,$410,$140,$464,,,,,,,,,AZ,Navajo,Show Low,,"$1,129",$464,$525,$140,$464,,,,,,,,
